ID	CHARACTER	PINYIN	DOCULECT	DOCULECT_IN_SOURCE	READING	SEMANTIC_CLASS	PHONETIC_CLASS	KARLGREN_ID	CONCEPT
4635	讎	chóu	Late_Han_Chinese	Eastern Han Chinese	ʒhǝw	149	1091	1091 a-b	
4636	讎	chóu	Middle_Chinese	Middle Chinese	ʒ́ǝw	149	1091	1091 a-b	
4637	祊	bēng	Old_Chinese	Classical Old Chinese	prāŋ	0	0740	0740 |j ́	
4638	祊	bēng	Late_Han_Chinese	Eastern Han Chinese	prēŋ	0	0740	0740 |j ́	
4639	祊	bēng	Middle_Chinese	Middle Chinese	pạ̈iŋ	0	0740	0740 |j ́	
4640	祭	jì	Old_Chinese	Classical Old Chinese	ceć	113	0337	0337 a-d	
4641	祭	jì	Late_Han_Chinese	Eastern Han Chinese	cjaś	113	0337	0337 a-d	
4642	祭	jì	Middle_Chinese	Middle Chinese	cjèj	113	0337	0337 a-d	
4643	供	gōng	Old_Chinese	Classical Old Chinese	koŋ	9	1182	1182 f	
4644	供	gōng	Late_Han_Chinese	Eastern Han Chinese	koŋ	9	1182	1182 f	
4645	供	gōng	Middle_Chinese	Middle Chinese	köuŋ	9	1182	1182 f	
4646	審	shěn	Old_Chinese	Classical Old Chinese	tǝ́m	40	0665	0665 a	
4647	審	shěn	Late_Han_Chinese	Eastern Han Chinese	ćǝ́m	40	0665	0665 a	
4648	審	shěn	Middle_Chinese	Middle Chinese	śím	40	0665	0665 a	
4649	絹	juàn	Old_Chinese	Classical Old Chinese	kwenh	120	0228	0228 f	
4650	絹	juàn	Late_Han_Chinese	Eastern Han Chinese	kjwanh	120	0228	0228 f	
4651	絹	juàn	Middle_Chinese	Middle Chinese	kjwèn	120	0228	0228 f	
4652	懶	lǎn	Old_Chinese	Classical Old Chinese	rā́n	61			
4653	懶	lǎn	Late_Han_Chinese	Eastern Han Chinese	rā́n	61			
4654	懶	lǎn	Middle_Chinese	Middle Chinese	lấn	61			
4655	敝	bì	Old_Chinese	Classical Old Chinese	beć	66	0341	0341 a-c	
4656	敝	bì	Late_Han_Chinese	Eastern Han Chinese	bjaś	66	0341	0341 a-c	
4657	敝	bì	Middle_Chinese	Middle Chinese	bjèj	66	0341	0341 a-c	
4658	棄	qì	Old_Chinese	Classical Old Chinese	khǝć	75	0535	0535 a-b	
4659	棄	qì	Late_Han_Chinese	Eastern Han Chinese	khǝś	75	0535	0535 a-b	
4660	棄	qì	Middle_Chinese	Middle Chinese	khjì	75	0535	0535 a-b	
4661	巳	sì	Old_Chinese	Classical Old Chinese	lhǝ́	49	0967	0967 a-c	
4662	巳	sì	Late_Han_Chinese	Eastern Han Chinese	zhjǝ́	49	0967	0967 a-c	
4663	巳	sì	Middle_Chinese	Middle Chinese	zjɨ́	49	0967	0967 a-c	
4664	奸	jiān	Old_Chinese	Classical Old Chinese	kān	38	0139	0139 c-d	
4665	奸	jiān	Late_Han_Chinese	Eastern Han Chinese	kān	38	0139	0139 c-d	
4666	奸	jiān	Middle_Chinese	Middle Chinese	kân	38	0139	0139 c-d	
4667	願	yuàn	Old_Chinese	Classical Old Chinese	ŋwanh	181	0258	0258 f	
4668	願	yuàn	Late_Han_Chinese	Eastern Han Chinese	ŋwanh	181	0258	0258 f	
4669	願	yuàn	Middle_Chinese	Middle Chinese	ŋʷǝ̀n	181	0258	0258 f	
4670	枝	zhī	Old_Chinese	Classical Old Chinese	ke	75	0864	0864 b	
4671	枝	zhī	Late_Han_Chinese	Eastern Han Chinese	kje	75	0864	0864 b	
4672	枝	zhī	Middle_Chinese	Middle Chinese	će	75	0864	0864 b	
4673	去	qù	Old_Chinese	Classical Old Chinese	khá	28			
4674	去	qù	Late_Han_Chinese	Eastern Han Chinese	khá	28			
4675	去	qù	Middle_Chinese	Middle Chinese	khö́	28			
4676	麟	lín	Old_Chinese	Classical Old Chinese	r(h)in	198	0387	0387 j	
4677	麟	lín	Late_Han_Chinese	Eastern Han Chinese	r(h)jǝn	198	0387	0387 j	
4678	麟	lín	Middle_Chinese	Middle Chinese	lin	198	0387	0387 j	
4679	盈	yíng	Old_Chinese	Classical Old Chinese	leŋ	108	0815	0815 a-b	
4680	盈	yíng	Late_Han_Chinese	Eastern Han Chinese	źeŋ	108	0815	0815 a-b	
4681	盈	yíng	Middle_Chinese	Middle Chinese	jeŋ	108	0815	0815 a-b	
4682	痯	guǎn	Old_Chinese	Classical Old Chinese	kwā́n	0	0157	0157 g	
4683	痯	guǎn	Late_Han_Chinese	Eastern Han Chinese	kwā́n	0	0157	0157 g	
4684	痯	guǎn	Middle_Chinese	Middle Chinese	kwấn	0	0157	0157 g	
4685	彭	péng	Old_Chinese	Classical Old Chinese	b(h)āŋ	59	0750	0750 a-d	
4686	彭	péng	Late_Han_Chinese	Eastern Han Chinese	b(h)āŋ	59	0750	0750 a-d	
4687	彭	péng	Middle_Chinese	Middle Chinese	bwâŋ	59	0750	0750 a-d	
4688	撓	náo	Old_Chinese	Classical Old Chinese	ŋhrēw	64	1164	1164 s	
4689	撓	náo	Late_Han_Chinese	Eastern Han Chinese	ŋhriāw	64	1164	1164 s	
4690	撓	náo	Middle_Chinese	Middle Chinese	ṇạw	64	1164	1164 s	
4691	鹵	lǔ	Old_Chinese	Classical Old Chinese	rhā́	197	0071	0071 a-b	
4692	鹵	lǔ	Late_Han_Chinese	Eastern Han Chinese	rhā́	197	0071	0071 a-b	
4693	鹵	lǔ	Middle_Chinese	Middle Chinese	ló	197	0071	0071 a-b	
4694	括	kuò guā	Old_Chinese	Classical Old Chinese	kwāt	64	0302	0302 h	
4695	括	kuò guā	Late_Han_Chinese	Eastern Han Chinese	kwāt	64	0302	0302 h	
4696	括	kuò guā	Middle_Chinese	Middle Chinese	kwât	64	0302	0302 h	
4697	話	huà	Old_Chinese	Classical Old Chinese	ghwrāć	149	0302	0302 o	
4698	話	huà	Late_Han_Chinese	Eastern Han Chinese	wrāś	149	0302	0302 o	
4699	話	huà	Middle_Chinese	Middle Chinese	ɣwạ̀i	149	0302	0302 o	
4700	跌	dié	Old_Chinese	Classical Old Chinese	Ł(h)īt	157	0402	0402 j	
4701	跌	dié	Late_Han_Chinese	Eastern Han Chinese	liǝ̄t (~ lh-)	157	0402	0402 j	
4702	跌	dié	Middle_Chinese	Middle Chinese	diet	157	0402	0402 j	
4703	各	gè	Old_Chinese	Classical Old Chinese	kāk	30	0766	0766 a-c	
4704	各	gè	Late_Han_Chinese	Eastern Han Chinese	kāk	30	0766	0766 a-c	
4705	各	gè	Middle_Chinese	Middle Chinese	kâk	30	0766	0766 a-c	
4706	城	chéng	Old_Chinese	Classical Old Chinese	d(h)eŋ	32	0818	0818 e-g	
4707	城	chéng	Late_Han_Chinese	Eastern Han Chinese	ʒ́(h)eŋ	32	0818	0818 e-g	
4708	城	chéng	Middle_Chinese	Middle Chinese	ʒ́eŋ	32	0818	0818 e-g	
4709	狀	zhuàng	Old_Chinese	Classical Old Chinese	ʒ(h)raŋh	94	0727	0727 s	
4710	狀	zhuàng	Late_Han_Chinese	Eastern Han Chinese	ʒ̣(h)aŋh	94	0727	0727 s	
4711	狀	zhuàng	Middle_Chinese	Middle Chinese	ʒ̣ àŋ	94	0727	0727 s	
4712	英	yīng	Old_Chinese	Classical Old Chinese	ʔraŋ	140	0718	0718 k	
4713	英	yīng	Late_Han_Chinese	Eastern Han Chinese	ʔreŋ	140	0718	0718 k	
4714	英	yīng	Middle_Chinese	Middle Chinese	ʔaiŋ	140	0718	0718 k	
4715	僅	jǐn	Old_Chinese	Classical Old Chinese	grǝnh	9	0480	0480 m, z	
4716	僅	jǐn	Late_Han_Chinese	Eastern Han Chinese	grǝnh	9	0480	0480 m, z	
4717	僅	jǐn	Middle_Chinese	Middle Chinese	gìn	9	0480	0480 m, z	
4718	袍	páo	Old_Chinese	Classical Old Chinese	bhū	145	1113	1113 i	
4719	袍	páo	Late_Han_Chinese	Eastern Han Chinese	bhǝ̄w	145	1113	1113 i	
4720	袍	páo	Middle_Chinese	Middle Chinese	bâw	145	1113	1113 i	
4721	尋	xún	Old_Chinese	Classical Old Chinese	lhǝm	0	0662	0662 a	
4722	尋	xún	Late_Han_Chinese	Eastern Han Chinese	zhǝm	0	0662	0662 a	
4723	尋	xún	Middle_Chinese	Middle Chinese	zjim	0	0662	0662 a	
4724	婁	lóu	Old_Chinese	Classical Old Chinese	ro	38	0123	0123 a	
4725	婁	lóu	Late_Han_Chinese	Eastern Han Chinese	rwa	38	0123	0123 a	
4726	婁	lóu	Middle_Chinese	Middle Chinese	lü	38	0123	0123 a	
4727	侍	shì	Old_Chinese	Classical Old Chinese	d(h)ǝh	9	0961	0961 x	
4728	侍	shì	Late_Han_Chinese	Eastern Han Chinese	ʒ́(h)ǝh	9	0961	0961 x	
4729	侍	shì	Middle_Chinese	Middle Chinese	ʒ́ɨ̀	9	0961	0961 x	
4730	婚	hūn	Old_Chinese	Classical Old Chinese	m̥ǝ̄n	38	0457	0457 m	
4731	婚	hūn	Late_Han_Chinese	Eastern Han Chinese	m̥ǝ̄n	38	0457	0457 m	
4732	婚	hūn	Middle_Chinese	Middle Chinese	xon	38	0457	0457 m	
4733	酒	jiǔ	Old_Chinese	Classical Old Chinese	cú	164	1096	1096 k	
4734	酒	jiǔ	Late_Han_Chinese	Eastern Han Chinese	cjǝ́w	164	1096	1096 k	
4735	酒	jiǔ	Middle_Chinese	Middle Chinese	cjǝ́w	164	1096	1096 k	
4736	絲	sī	Old_Chinese	Classical Old Chinese	sǝ	120	0974	0974 a-c	
4737	絲	sī	Late_Han_Chinese	Eastern Han Chinese	sjǝ	120	0974	0974 a-c	
4738	絲	sī	Middle_Chinese	Middle Chinese	sjɨ	120	0974	0974 a-c	
4739	承	chéng	Old_Chinese	Classical Old Chinese	d(h)ǝŋ	64	0896	0896 c	
4740	承	chéng	Late_Han_Chinese	Eastern Han Chinese	ʒ́(h)ǝŋ	64	0896	0896 c	
4741	承	chéng	Middle_Chinese	Middle Chinese	ʒ́iŋ	64	0896	0896 c	
4742	局	jú	Old_Chinese	Classical Old Chinese	gok	44	1214	1214 a	
4743	局	jú	Late_Han_Chinese	Eastern Han Chinese	gok	44	1214	1214 a	
4744	局	jú	Middle_Chinese	Middle Chinese	göuk	44	1214	1214 a	
4745	畜	xù (chù)	Old_Chinese	Classical Old Chinese	ƛhuk	102	1018	1018 a-b	
4746	畜	xù (chù)	Late_Han_Chinese	Eastern Han Chinese	l̥ǝuk	102	1018	1018 a-b	
4747	畜	xù (chù)	Middle_Chinese	Middle Chinese	xük	102	1018	1018 a-b	
4748	塤	xuān	Old_Chinese	Classical Old Chinese	w̥an	0	0227	0227 d	
4749	塤	xuān	Late_Han_Chinese	Eastern Han Chinese	hjwan	0	0227	0227 d	
4750	塤	xuān	Middle_Chinese	Middle Chinese	xwǝn	0	0227	0227 d	
4751	膴	hū	Old_Chinese	Classical Old Chinese	m(h)á	130	0103	0103 o	
4752	膴	hū	Late_Han_Chinese	Eastern Han Chinese	m(h)wá	130	0103	0103 o	
4753	膴	hū	Middle_Chinese	Middle Chinese	mǘ	130	0103	0103 o	
4754	式	shì	Old_Chinese	Classical Old Chinese	ƛǝk	56	0918	0918 f	
4755	式	shì	Late_Han_Chinese	Eastern Han Chinese	śǝk	56	0918	0918 f	
4756	式	shì	Middle_Chinese	Middle Chinese	śik	56	0918	0918 f	
4757	鴳	jiāo	Old_Chinese	Classical Old Chinese	ʔrānh	196	0146	0146 g	
4758	鴳	jiāo	Late_Han_Chinese	Eastern Han Chinese	ʔrānh	196	0146	0146 g	
4759	鴳	jiāo	Middle_Chinese	Middle Chinese	ʔạ̀n	196	0146	0146 g	
4760	殉	xùn	Old_Chinese	Classical Old Chinese	whinh	78	0392	0392 g-i	
4761	殉	xùn	Late_Han_Chinese	Eastern Han Chinese	whjǝnh	78	0392	0392 g-i	
4762	殉	xùn	Middle_Chinese	Middle Chinese	zjwìn	78	0392	0392 g-i	
4763	丞	chéng	Old_Chinese	Classical Old Chinese	d(h)ǝŋ	1	0896	0896 g	
4764	丞	chéng	Late_Han_Chinese	Eastern Han Chinese	ʒ́(h)ǝŋ	1	0896	0896 g	
4765	丞	chéng	Middle_Chinese	Middle Chinese	ʒ́iŋ	1	0896	0896 g	
4766	道	dào	Old_Chinese	Classical Old Chinese	lhū́	162	1048	1048 a-c	
4767	道	dào	Late_Han_Chinese	Eastern Han Chinese	lhǝ̄́w	162	1048	1048 a-c	
4768	道	dào	Middle_Chinese	Middle Chinese	dấw	162	1048	1048 a-c	
4769	畛	zhěn	Old_Chinese	Classical Old Chinese	tǝ́n	0	0453	0453 d	
4770	畛	zhěn	Late_Han_Chinese	Eastern Han Chinese	ćǝ́n	0	0453	0453 d	
4771	畛	zhěn	Middle_Chinese	Middle Chinese	ćín	0	0453	0453 d	
4772	鍛	duàn	Old_Chinese	Classical Old Chinese	twānh	167	0172	0172 c	
4773	鍛	duàn	Late_Han_Chinese	Eastern Han Chinese	twānh	167	0172	0172 c	
4774	鍛	duàn	Middle_Chinese	Middle Chinese	twần	167	0172	0172 c	
4775	蘩	fán	Old_Chinese	Classical Old Chinese	b(h)an	140	0265	0265 d	
4776	蘩	fán	Late_Han_Chinese	Eastern Han Chinese	b(h)wan	140	0265	0265 d	
4777	蘩	fán	Middle_Chinese	Middle Chinese	bwǝn	140	0265	0265 d	
4778	篷	péng	Old_Chinese	Classical Old Chinese	bhōŋ	118			
4779	篷	péng	Late_Han_Chinese	Eastern Han Chinese	bhōŋ	118			
4780	篷	péng	Middle_Chinese	Middle Chinese	buŋ	118			
4781	刑	xíng	Old_Chinese	Classical Old Chinese	g(h)īŋ	18	0808	0808 b-c	
4782	刑	xíng	Late_Han_Chinese	Eastern Han Chinese	gīŋ (~ ɣ-)	18	0808	0808 b-c	
4783	刑	xíng	Middle_Chinese	Middle Chinese	ɣieŋ	18	0808	0808 b-c	
4784	隕	yǔn	Old_Chinese	Classical Old Chinese	w(h)rǝ́n	170	0227	0227 g-h	
4785	隕	yǔn	Late_Han_Chinese	Eastern Han Chinese	w(h)rǝ́n	170	0227	0227 g-h	
4786	隕	yǔn	Middle_Chinese	Middle Chinese	wín	170	0227	0227 g-h	
4787	蠱	gǔ	Old_Chinese	Classical Old Chinese	kā́	142	0052	0052 a-b	
4788	蠱	gǔ	Late_Han_Chinese	Eastern Han Chinese	kā́	142	0052	0052 a-b	
4789	蠱	gǔ	Middle_Chinese	Middle Chinese	kó	142	0052	0052 a-b	
4790	儇	xuān	Old_Chinese	Classical Old Chinese	w̥ran	9	0256	0256 z	
4791	儇	xuān	Late_Han_Chinese	Eastern Han Chinese	hjwran	9	0256	0256 z	
4792	儇	xuān	Middle_Chinese	Middle Chinese	xwen	9	0256	0256 z	
4793	潸	shān	Old_Chinese	Classical Old Chinese	srān	85	0156	0156 c	
4794	潸	shān	Late_Han_Chinese	Eastern Han Chinese	ṣān	85	0156	0156 c	
4795	潸	shān	Middle_Chinese	Middle Chinese	ṣạn	85	0156	0156 c	
4796	婉	wǎn	Old_Chinese	Classical Old Chinese	ʔwán	38			
4797	婉	wǎn	Late_Han_Chinese	Eastern Han Chinese	ʔwán	38			
4798	婉	wǎn	Middle_Chinese	Middle Chinese	ʔwǝ́n	38			
4799	每	měi	Old_Chinese	Classical Old Chinese	mǝ̄́	80	0947	0947 i-k	
4800	每	měi	Late_Han_Chinese	Eastern Han Chinese	mǝ̄́	80	0947	0947 i-k	
4801	每	měi	Middle_Chinese	Middle Chinese	mój	80	0947	0947 i-k	
4802	嫁	jià	Old_Chinese	Classical Old Chinese	krāh	38	0032	0032 e	
4803	嫁	jià	Late_Han_Chinese	Eastern Han Chinese	krǟh	38	0032	0032 e	
4804	嫁	jià	Middle_Chinese	Middle Chinese	kạ̀	38	0032	0032 e	
4805	仕	shì	Old_Chinese	Classical Old Chinese	ʒ(h)rǝ́	9	0970	0970 d	
4806	仕	shì	Late_Han_Chinese	Eastern Han Chinese	ʒ̣(h)ǝ́	9	0970	0970 d	
4807	仕	shì	Middle_Chinese	Middle Chinese	ʒ̣ɨ́	9	0970	0970 d	
4808	泣	qì	Old_Chinese	Classical Old Chinese	khrǝp	85	0694	0694 h	
4809	泣	qì	Late_Han_Chinese	Eastern Han Chinese	khrǝp	85	0694	0694 h	
4810	泣	qì	Middle_Chinese	Middle Chinese	khip	85	0694	0694 h	
4811	鞠	jū	Old_Chinese	Classical Old Chinese	kuk	177	1017	1017 h	
4812	鞠	jū	Late_Han_Chinese	Eastern Han Chinese	kǝuk	177	1017	1017 h	
4813	鞠	jū	Middle_Chinese	Middle Chinese	kük	177	1017	1017 h	
4814	則	zé	Old_Chinese	Classical Old Chinese	cǝ̄k	18	0906	0906 a-b	
4815	則	zé	Late_Han_Chinese	Eastern Han Chinese	cǝ̄k	18	0906	0906 a-b	
4816	則	zé	Middle_Chinese	Middle Chinese	cʌk	18	0906	0906 a-b	
4817	貽	yí	Old_Chinese	Classical Old Chinese	Łǝ	154	0976	0976 v	
4818	貽	yí	Late_Han_Chinese	Eastern Han Chinese	źǝ	154	0976	0976 v	
4819	貽	yí	Middle_Chinese	Middle Chinese	jɨ	154	0976	0976 v	
4820	沮	jù	Old_Chinese	Classical Old Chinese	cah	85	0046	0046 k-l	
4821	沮	jù	Late_Han_Chinese	Eastern Han Chinese	cjah	85	0046	0046 k-l	
4822	沮	jù	Middle_Chinese	Middle Chinese	cjö̀	85	0046	0046 k-l	
4823	縈	yíng	Old_Chinese	Classical Old Chinese	ʔweŋ	120	0843	0843 h	
4824	縈	yíng	Late_Han_Chinese	Eastern Han Chinese	ʔweŋ	120	0843	0843 h	
4825	縈	yíng	Middle_Chinese	Middle Chinese	ʔjweŋ	120	0843	0843 h	
4826	貝	bèi	Old_Chinese	Classical Old Chinese	pāć	154	0320	0320 a-e	
4827	貝	bèi	Late_Han_Chinese	Eastern Han Chinese	pāś	154	0320	0320 a-e	
4828	貝	bèi	Middle_Chinese	Middle Chinese	pwâj̀	154	0320	0320 a-e	
4829	娵	jū	Old_Chinese	Classical Old Chinese	co	0	0131	0131 i	
4830	娵	jū	Late_Han_Chinese	Eastern Han Chinese	cjwa	0	0131	0131 i	
4831	娵	jū	Middle_Chinese	Middle Chinese	cjü	0	0131	0131 i	
4832	楚	chǔ	Old_Chinese	Classical Old Chinese	shrá	75	0088	0088 a-c	
4833	楚	chǔ	Late_Han_Chinese	Eastern Han Chinese	ṣhá	75	0088	0088 a-c	
4834	楚	chǔ	Middle_Chinese	Middle Chinese	c̣hö́	75	0088	0088 a-c	
4835	畟	cè	Old_Chinese	Classical Old Chinese	chrǝk	0	0922	0922 a	
4836	畟	cè	Late_Han_Chinese	Eastern Han Chinese	c̣hǝk	0	0922	0922 a	
4837	畟	cè	Middle_Chinese	Middle Chinese	c̣hik	0	0922	0922 a	
4838	母	mǔ	Old_Chinese	Classical Old Chinese	mǝ̄́	80	0947	0947 a-e	
4839	母	mǔ	Late_Han_Chinese	Eastern Han Chinese	mǝ̄́	80	0947	0947 a-e	
4840	母	mǔ	Middle_Chinese	Middle Chinese	mʌ́w	80	0947	0947 a-e	
4841	鄙	bǐ	Old_Chinese	Classical Old Chinese	prǝ́	163			
4842	鄙	bǐ	Late_Han_Chinese	Eastern Han Chinese	prǝ́	163			
4843	鄙	bǐ	Middle_Chinese	Middle Chinese	pí	163			
4844	慢	màn	Old_Chinese	Classical Old Chinese	mrānh	61	0266	0266 h	
4845	慢	màn	Late_Han_Chinese	Eastern Han Chinese	mrānh	61	0266	0266 h	
4846	慢	màn	Middle_Chinese	Middle Chinese	mạ̀n	61	0266	0266 h	
4847	騑	táo	Old_Chinese	Classical Old Chinese	pǝj	187	0579	0579 k	
4848	騑	táo	Late_Han_Chinese	Eastern Han Chinese	pwǝj	187	0579	0579 k	
4849	騑	táo	Middle_Chinese	Middle Chinese	pwɨj	187	0579	0579 k	
4850	中	zhōng zhòng	Old_Chinese	Classical Old Chinese	truŋ truŋh	2	1007	1007 a-e	
4851	中	zhōng zhòng	Late_Han_Chinese	Eastern Han Chinese	ṭǝuŋ ṭǝuŋh	2	1007	1007 a-e	
4852	中	zhōng zhòng	Middle_Chinese	Middle Chinese	ṭüŋ ṭǜŋ	2	1007	1007 a-e	
4853	犀	xī	Old_Chinese	Classical Old Chinese	sl̥ǝ̄j	93	0596	0596 a-b	
4854	犀	xī	Late_Han_Chinese	Eastern Han Chinese	l̥ǝ̄j	93	0596	0596 a-b	
4855	犀	xī	Middle_Chinese	Middle Chinese	siej	93	0596	0596 a-b	
4856	旆	pèi	Old_Chinese	Classical Old Chinese	b(h)āć	0	0501	0501 d	
4857	旆	pèi	Late_Han_Chinese	Eastern Han Chinese	b(h)āś	0	0501	0501 d	
4858	旆	pèi	Middle_Chinese	Middle Chinese	bwầj	0	0501	0501 d	
4859	菅	jiān	Old_Chinese	Classical Old Chinese	krān	140	0157	0157 n	
4860	菅	jiān	Late_Han_Chinese	Eastern Han Chinese	krān	140	0157	0157 n	
4861	菅	jiān	Middle_Chinese	Middle Chinese	kạn	140	0157	0157 n	
4862	頞	è	Old_Chinese	Classical Old Chinese	ʔāt	181	0146	0146 h	
4863	頞	è	Late_Han_Chinese	Eastern Han Chinese	ʔāt	181	0146	0146 h	
4864	頞	è	Middle_Chinese	Middle Chinese	ʔât	181	0146	0146 h	
4865	誨	huì	Old_Chinese	Classical Old Chinese	m̥ǝ̄h	149	0947	0947 u-v	
4866	誨	huì	Late_Han_Chinese	Eastern Han Chinese	m̥ǝ̄h	149	0947	0947 u-v	
4867	誨	huì	Middle_Chinese	Middle Chinese	xòj	149	0947	0947 u-v	
4868	戎	róng	Old_Chinese	Classical Old Chinese	nuŋ	62	1013	1013 a-d	
4869	戎	róng	Late_Han_Chinese	Eastern Han Chinese	ńǝuŋ	62	1013	1013 a-d	
4870	戎	róng	Middle_Chinese	Middle Chinese	ńüŋ	62	1013	1013 a-d	
4871	秦	qín	Old_Chinese	Classical Old Chinese	ʒin	115	0380	0380 a-d	
4872	秦	qín	Late_Han_Chinese	Eastern Han Chinese	ʒjǝn	115	0380	0380 a-d	
4873	秦	qín	Middle_Chinese	Middle Chinese	ʒjin	115	0380	0380 a-d	
4874	所	suǒ	Old_Chinese	Classical Old Chinese	srá	63	0091	0091 a-c	
4875	所	suǒ	Late_Han_Chinese	Eastern Han Chinese	ṣá	63	0091	0091 a-c	
4876	所	suǒ	Middle_Chinese	Middle Chinese	ṣö́	63	0091	0091 a-c	
4877	屏	píng	Old_Chinese	Classical Old Chinese	bhēŋ	44	0824	0824 f	
4878	屏	píng	Late_Han_Chinese	Eastern Han Chinese	bhiēŋ	44	0824	0824 f	
4879	屏	píng	Middle_Chinese	Middle Chinese	bieŋ	44	0824	0824 f	
4880	綴	zhuì	Old_Chinese	Classical Old Chinese	trwać	120	0295	0295 b	
4881	綴	zhuì	Late_Han_Chinese	Eastern Han Chinese	ṭwaś	120	0295	0295 b	
4882	綴	zhuì	Middle_Chinese	Middle Chinese	ṭwèj	120	0295	0295 b	
4883	忖	cǔn	Old_Chinese	Classical Old Chinese	shwǝ̄́n	61	0431	0431 d	
4884	忖	cǔn	Late_Han_Chinese	Eastern Han Chinese	shwǝ̄́n	61	0431	0431 d	
4885	忖	cǔn	Middle_Chinese	Middle Chinese	chón	61	0431	0431 d	
4886	顯	xiǎn	Old_Chinese	Classical Old Chinese	hḗn	181	0242	0242 a-b	
4887	顯	xiǎn	Late_Han_Chinese	Eastern Han Chinese	hiā́n	181	0242	0242 a-b	
4888	顯	xiǎn	Middle_Chinese	Middle Chinese	xíen	181	0242	0242 a-b	
4889	蜚	fěi	Old_Chinese	Classical Old Chinese	pǝ́j	142	0579	0579 r	
4890	蜚	fěi	Late_Han_Chinese	Eastern Han Chinese	pwǝ́j	142	0579	0579 r	
4891	蜚	fěi	Middle_Chinese	Middle Chinese	pwɨ́j	142	0579	0579 r	
4892	謫	zhé	Old_Chinese	Classical Old Chinese	trēk	149	0877	0877 r, u	
4893	謫	zhé	Late_Han_Chinese	Eastern Han Chinese	ṭiēk	149	0877	0877 r, u	
4894	謫	zhé	Middle_Chinese	Middle Chinese	ṭạ̈ik	149	0877	0877 r, u	
4895	舅	jiù	Old_Chinese	Classical Old Chinese	gú	134	1067	1067 b	
4896	舅	jiù	Late_Han_Chinese	Eastern Han Chinese	gǝ́w	134	1067	1067 b	
4897	舅	jiù	Middle_Chinese	Middle Chinese	gǝ́w	134	1067	1067 b	
4898	巫	wú	Old_Chinese	Classical Old Chinese	m(h)a	48	0105	0105 a	
4899	巫	wú	Late_Han_Chinese	Eastern Han Chinese	m(h)wa	48	0105	0105 a	
4900	巫	wú	Middle_Chinese	Middle Chinese	mü	48	0105	0105 a	
4901	鼓	gǔ	Old_Chinese	Classical Old Chinese	kā́	207	0050	0050 a-b	
4902	鼓	gǔ	Late_Han_Chinese	Eastern Han Chinese	kā́	207	0050	0050 a-b	
4903	鼓	gǔ	Middle_Chinese	Middle Chinese	kó	207	0050	0050 a-b	
4904	胈	bo	Old_Chinese	Classical Old Chinese	pāt	0	0276	0276 f	
4905	胈	bo	Late_Han_Chinese	Eastern Han Chinese	pāt	0	0276	0276 f	
4906	胈	bo	Middle_Chinese	Middle Chinese	pwât	0	0276	0276 f	
4907	娛	yú	Old_Chinese	Classical Old Chinese	ŋhwa	38	0059	0059 g	
4908	娛	yú	Late_Han_Chinese	Eastern Han Chinese	ŋhwa	38	0059	0059 g	
4909	娛	yú	Middle_Chinese	Middle Chinese	ŋü	38	0059	0059 g	
4910	頭	tóu	Old_Chinese	Classical Old Chinese	dhō	181	0118	0118 e	
4911	頭	tóu	Late_Han_Chinese	Eastern Han Chinese	dhwā	181	0118	0118 e	
4912	頭	tóu	Middle_Chinese	Middle Chinese	dʌw	181	0118	0118 e	
4913	過	guò	Old_Chinese	Classical Old Chinese	kwājh	162	0018	0018 e	
4914	過	guò	Late_Han_Chinese	Eastern Han Chinese	kwǟh	162	0018	0018 e	
4915	過	guò	Middle_Chinese	Middle Chinese	kwầ	162	0018	0018 e	
4916	帚	zhǒu	Old_Chinese	Classical Old Chinese	tú	50	1087	1087 a-d	
4917	帚	zhǒu	Late_Han_Chinese	Eastern Han Chinese	ćǝ́w	50	1087	1087 a-d	
4918	帚	zhǒu	Middle_Chinese	Middle Chinese	ćǝ́w	50	1087	1087 a-d	
4919	琴	qín	Old_Chinese	Classical Old Chinese	gh(r)ǝm	96	0651	0651 q	
4920	琴	qín	Late_Han_Chinese	Eastern Han Chinese	gh(r)ǝm	96	0651	0651 q	
4921	琴	qín	Middle_Chinese	Middle Chinese	gim	96	0651	0651 q	
4922	悄	qiǎo	Old_Chinese	Classical Old Chinese	shéw	61	1149	1149 s	
4923	悄	qiǎo	Late_Han_Chinese	Eastern Han Chinese	shjáw	61	1149	1149 s	
4924	悄	qiǎo	Middle_Chinese	Middle Chinese	chjéw	61	1149	1149 s	
4925	記	jì	Old_Chinese	Classical Old Chinese	kǝh	149	0953	0953 j	
4926	記	jì	Late_Han_Chinese	Eastern Han Chinese	kǝh	149	0953	0953 j	
4927	記	jì	Middle_Chinese	Middle Chinese	kɨ̀	149	0953	0953 j	
4928	姊	zǐ	Old_Chinese	Classical Old Chinese	cǝ́j	38	0554	0554 b-c	
4929	姊	zǐ	Late_Han_Chinese	Eastern Han Chinese	cjǝ́j	38	0554	0554 b-c	
4930	姊	zǐ	Middle_Chinese	Middle Chinese	cjí	38	0554	0554 b-c	
4931	討	tǎo	Old_Chinese	Classical Old Chinese	thū́	149	1073	1073 d	
4932	討	tǎo	Late_Han_Chinese	Eastern Han Chinese	thǝ̄́w	149	1073	1073 d	
4933	討	tǎo	Middle_Chinese	Middle Chinese	thấw	149	1073	1073 d	
