ID	CHARACTER_ID	GROUP	CHARACTER	PINYIN	DOCULECT	RADICAL	PHONETIC	FANQIE	RHYME	CHAPTER	IMAGE
1269	w0330890	1132	近	jìn	Old_Chinese	辵	斤	渠遴	三	v04	074a-15
1270	w0330891	1132	𣥍	𣥍	Old_Chinese					v04	074a-16
1271	w0330900	1133	邋	lā	Old_Chinese	辵	巤	良涉	八	v04	074a-17
1272	w0330910	1134	迫	pò	Old_Chinese	辵	白	博陌	五	v04	074a-18
1273	w0330920	1135	𨖹	𨖹	Old_Chinese	辵			至	v04	074a-19
1274	w0330930	1136	邇	ěr	Old_Chinese	辵	爾	兒氏	五	v04	074b-01
1275	w0330931	1136	𨒛	𨒛	Old_Chinese					v04	074b-02
1276	w0330940	1137	遏	è	Old_Chinese	辵	曷		五	v04	074b-03
1277	w0330950	1138	遮	zhē	Old_Chinese	辵	庶	止車	五	v04	074b-04
1278	w0330960	1139	䢭	䢭	Old_Chinese	辵	羨	于線	四	v04	074b-05
1279	w0330970	1140	迣	zhì	Old_Chinese	辵	世		五	v04	074b-06
1280	w0330980	1141	迾	liè	Old_Chinese	辵	列	良薛	五	v04	074b-07
1281	w0330990	1142	迀	gān	Old_Chinese	辵	干	古寒	四	v04	074b-08
1282	w0331000	1143	𨓲	𨓲	Old_Chinese	辵	侃		四	v04	074b-09
1283	w0331010	1144	遱	lóu	Old_Chinese	辵	婁	洛侯	四	v04	074b-10
1284	w0331020	1145	䢡	䢡	Old_Chinese	辵	枼		七	v04	074b-11
1285	w0331030	1146	𨔣	𨔣	Old_Chinese	辵	枷	古牙	七	v04	074b-12
1286	w0331040	1147	𨒋	𨒋	Old_Chinese	辵	戉	王伐	五	v04	075a-01
1287	w0331050	1148	逞	chěng	Old_Chinese	辵	呈	丑郢	一	v04	075a-02
1288	w0331060	1149	遼	liáo	Old_Chinese	辵	尞	洛蕭	二	v04	075a-03
1289	w0331070	1150	遠	yuǎn	Old_Chinese	辵	袁	雲阮	四	v04	075a-04
1290	w0331071	1150	𢕱	𢕱	Old_Chinese					v04	075a-05
1291	w0331080	1151	逖	tì	Old_Chinese	辵	狄	他歷	六	v04	075a-06
1292	w0331081	1151	逷	tì	Old_Chinese				同	v04	075a-07
1293	w0331090	1152	迥	jiǒng	Old_Chinese	辵	冋	戶穎	一	v04	075a-08
1294	w0331100	1153	逴	chuō	Old_Chinese	辵	卓	敕角	二	v04	075a-09
1295	w0331110	1154	迂	yū	Old_Chinese	辵	于	憶俱	五	v04	075a-10
1296	w0331120	1155	𨔥	𨔥	Old_Chinese	辵	𦘔	子僊	二	v04	075a-11
1297	w0331130	1156	邍	yuán	Old_Chinese				四	v04	075a-12
1298	w0331140	1157	道	dào	Old_Chinese				三	v04	075b-01
1299	w0331141	1157	𡬹	𡬹	Old_Chinese					v04	075b-02
1300	w0331150	1158	遽	jù	Old_Chinese	辵	豦	其倨	五	v04	075b-03
1301	w0331160	1159	迒	háng	Old_Chinese	辵	亢	胡郞	十	v04	075b-04
1302	w0331161	1159	𨁈	𨁈	Old_Chinese				十	v04	075b-05
1303	w0331170	1160	𨑩	𨑩	Old_Chinese	辵	弔	都歷	二	v04	075b-06
1304	w0331180	1161	𨘢	𨘢	Old_Chinese	辵	𦤝	布賢	二	v04	075b-07
1305	w0340010	1162	彳	chì	Old_Chinese					v04	076a-01
1306	w0340020	1163	德	dé	Old_Chinese	彳	𢛳	多則	一	v04	076a-02
1307	w0340030	1164	徑	jìng	Old_Chinese	彳	巠	居正	一	v04	076a-03
1308	w0340040	1165	復	fù	Old_Chinese	彳	𡕨	房六	三	v04	076a-04
1309	w0340050	1166	𢔟	𢔟	Old_Chinese	彳	柔	人九	三	v04	076a-05
1310	w0340060	1167	徎	chěng	Old_Chinese	彳	呈	丑郢	一	v04	076a-06
1311	w0340070	1168	往	wǎng	Old_Chinese	彳	𡉚	于兩	十	v04	076a-07
1312	w0340071	1168	𨓹	𨓹	Old_Chinese					v04	076a-08
1313	w0340080	1169	忂	qú	Old_Chinese	彳	瞿	其俱	五	v04	076a-09
1314	w0340090	1170	彼	bǐ	Old_Chinese	彳	皮	補委	七	v04	076a-10
1315	w0340100	1171	徼	jiǎo	Old_Chinese	彳	敫	古堯	二	v04	076a-11
1316	w0340110	1172	循	xún	Old_Chinese	彳	盾	詳遵	二	v04	076a-12
1317	w0340120	1173	彶	jí	Old_Chinese	彳	及	居立	七	v04	076b-01
1318	w0340130	1174	𢕬	𢕬	Old_Chinese	彳	歰	穌合	七	v04	076b-02
1319	w0340140	1175	微	wēi	Old_Chinese	彳	𢼸	無非	五	v04	076b-03
1320	w0340150	1176	徥	shì	Old_Chinese	彳	是	是支	六	v04	076b-04
1321	w0340160	1177	徐	xú	Old_Chinese	彳	余	似魚	五	v04	076b-05
1322	w0340170	1178	𢓡	𢓡	Old_Chinese	彳	夷	以脂	五	v04	076b-06
1323	w0340180	1179	𢖊	𢖊	Old_Chinese	彳	䛣		一	v04	076b-07
