ID	CHARACTER	PINYIN	DOCULECT	PHONETIC_CLASS	KARLGREN_ID	READING	SOURCE
141	陀	tuó	Old_Chinese	0004	0004-		Karlgren1954
142	陀	tuó	Middle_Chinese		0004-	da	Wikibooks2016a
143	舵	duò	Old_Chinese	0004	0004-		Karlgren1954
144	舵	duò	Middle_Chinese		0004-	da	Wikibooks2016a
145	左	zuǒ	Old_Chinese	0005	0005a		Karlgren1954
146	左	zuǒ	Middle_Chinese		0005a	tsaH	Wikibooks2016a
147	左	zuǒ	Middle_Chinese		0005a	tsaX	Wikibooks2016a
148	佐	zuǒ	Old_Chinese	0005	0005e		Karlgren1954
149	佐	zuǒ	Middle_Chinese		0005e	tsaH	Wikibooks2016a
150	差	chà	Old_Chinese	0005	0005f		Karlgren1954
151	差	chà	Middle_Chinese		0005f	tsha	Wikibooks2016a
152	差	chà	Middle_Chinese		0005f	tsrhae	Wikibooks2016a
153	差	chà	Middle_Chinese		0005f	tsrhea	Wikibooks2016a
154	差	chà	Middle_Chinese		0005f	tsrhje	Wikibooks2016a
155	槎	chá	Old_Chinese	0005	0005h		Karlgren1954
156	槎	chá	Middle_Chinese		0005h	dzrae	Wikibooks2016a
157	槎	chá	Middle_Chinese		0005h	dzraeX	Wikibooks2016a
158	瑳	cuō	Old_Chinese	0005	0005i		Karlgren1954
159	瑳	cuō	Middle_Chinese		0005i	tshaX	Wikibooks2016a
160	磋	cuō	Old_Chinese	0005	0005j		Karlgren1954
161	磋	cuō	Middle_Chinese		0005j	tsha	Wikibooks2016a
162	傞	suō	Old_Chinese	0005	0005k		Karlgren1954
163	傞	suō	Middle_Chinese		0005k	sa	Wikibooks2016a
164	傞	suō	Middle_Chinese		0005k	tsha	Wikibooks2016a
165	瘥	chài	Old_Chinese	0005	0005l		Karlgren1954
166	瘥	chài	Middle_Chinese		0005l	dza	Wikibooks2016a
167	瘥	chài	Middle_Chinese		0005l	tsjae	Wikibooks2016a
168	鹺	cuó	Old_Chinese	0005	0005m		Karlgren1954
169	鹺	cuó	Middle_Chinese		0005m	dza	Wikibooks2016a
170	嗟	jiē	Old_Chinese	0005	0005n		Karlgren1954
171	嗟	jiē	Middle_Chinese		0005n	tsjae	Wikibooks2016a
172	髊	cī	Old_Chinese	0005	0005o		Karlgren1954
173	髊	cī	Middle_Chinese		0005o	dzjeH	Wikibooks2016a
174	羅	luó	Old_Chinese	0006	0006a		Karlgren1954
175	羅	luó	Middle_Chinese		0006a	la	Wikibooks2016a
176	蘿	luó	Old_Chinese	0006	0006b		Karlgren1954
177	蘿	luó	Middle_Chinese		0006b	la	Wikibooks2016a
178	戈	gē	Old_Chinese	0007	0007a		Karlgren1954
179	戈	gē	Middle_Chinese		0007a	kwa	Wikibooks2016a
180	划	huà	Old_Chinese	0007	0007e		Karlgren1954
181	划	huà	Middle_Chinese		0007e	hwae	Wikibooks2016a
182	禾	hé	Old_Chinese	0008	0008a		Karlgren1954
183	禾	hé	Middle_Chinese		0008a	hwa	Wikibooks2016a
184	和	hé	Old_Chinese	0008	0008e		Karlgren1954
185	和	hé	Middle_Chinese		0008e	hwa	Wikibooks2016a
186	和	hé	Middle_Chinese		0008e	hwaH	Wikibooks2016a
187	龢	hé	Old_Chinese	0008	0008g		Karlgren1954
188	龢	hé	Middle_Chinese		0008g	hwa	Wikibooks2016a
189	盉	hé	Old_Chinese	0008	0008k		Karlgren1954
190	盉	hé	Middle_Chinese		0008k	hwa	Wikibooks2016a
191	科	kē	Old_Chinese	0008	0008n		Karlgren1954
192	科	kē	Middle_Chinese		0008n	khwa	Wikibooks2016a
193	臥	wò	Old_Chinese	0009	0009a		Karlgren1954
194	臥	wò	Middle_Chinese		0009a	ngwaH	Wikibooks2016a
195	隓	huī	Old_Chinese	0011	0011a		Karlgren1954
196	隓	huī	Middle_Chinese		0011a	dwaX	Wikibooks2016a
197	隋	suí	Old_Chinese	0011	0011b		Karlgren1954
198	隋	suí	Middle_Chinese		0011b	dwaX	Wikibooks2016a
199	隋	suí	Middle_Chinese		0011b	sjweH	Wikibooks2016a
200	隋	suí	Middle_Chinese		0011b	thwaX	Wikibooks2016a
201	隋	suí	Middle_Chinese		0011b	xjwieH	Wikibooks2016a
202	隋	suí	Old_Chinese	0011	0011b		Karlgren1954
203	隋	suí	Middle_Chinese		0011b	sjweH	Wikibooks2016a
204	隋	suí	Middle_Chinese		0011b	xjwieH	Wikibooks2016a
205	橢	tuǒ	Old_Chinese	0011	0011c		Karlgren1954
206	橢	tuǒ	Middle_Chinese		0011c	thwaX	Wikibooks2016a
207	嶞	duò	Old_Chinese	0011	0011d		Karlgren1954
208	嶞	duò	Middle_Chinese		0011d	dwaX	Wikibooks2016a
209	墮	duò	Old_Chinese	0011	0011e		Karlgren1954
210	墮	duò	Middle_Chinese		0011e	dwaX	Wikibooks2016a
211	墮	duò	Middle_Chinese		0011e	xjwie	Wikibooks2016a
212	隳	huī	Old_Chinese	0011	0011f		Karlgren1954
213	隳	huī	Middle_Chinese		0011f	xjwie	Wikibooks2016a
214	隨	suí	Old_Chinese	0011	0011g		Karlgren1954
215	隨	suí	Middle_Chinese		0011g	zjwe	Wikibooks2016a
216	髓	suǐ	Old_Chinese	0011	0011h		Karlgren1954
217	髓	suǐ	Middle_Chinese		0011h	sjweX	Wikibooks2016a
218	瀡	suǐ	Old_Chinese	0011	0011i		Karlgren1954
219	瀡	suǐ	Middle_Chinese		0011i	sjweH	Wikibooks2016a
220	鬌	tuǒ	Old_Chinese	0011	0011j		Karlgren1954
221	鬌	tuǒ	Middle_Chinese		0011j	drjwe	Wikibooks2016a
222	鬌	tuǒ	Middle_Chinese		0011j	dwaX	Wikibooks2016a
223	鬌	tuǒ	Middle_Chinese		0011j	twaX	Wikibooks2016a
224	媠	tuǒ	Old_Chinese	0011	0011k		Karlgren1954
225	媠	tuǒ	Middle_Chinese		0011k	dwaH	Wikibooks2016a
226	媠	tuǒ	Middle_Chinese		0011k	thwaX	Wikibooks2016a
227	惰	duò	Old_Chinese	0011	0011l		Karlgren1954
228	惰	duò	Middle_Chinese		0011l	dwaH	Wikibooks2016a
229	惰	duò	Middle_Chinese		0011l	dwaX	Wikibooks2016a
230	坐	zuò	Old_Chinese	0012	0012a		Karlgren1954
231	坐	zuò	Middle_Chinese		0012a	dzwaX	Wikibooks2016a
232	坐	zuò	Middle_Chinese		0012a	dzwaH	Wikibooks2016a
233	痤	cuó	Old_Chinese	0012	0012b		Karlgren1954
234	痤	cuó	Middle_Chinese		0012b	dzwa	Wikibooks2016a
235	挫	cuò	Old_Chinese	0012	0012c		Karlgren1954
236	挫	cuò	Middle_Chinese		0012c	tswaH	Wikibooks2016a
237	蓌	cuò	Old_Chinese	0012	0012d		Karlgren1954
238	蓌	cuò	Middle_Chinese		0012d	tsraeH	Wikibooks2016a
239	蓌	cuò	Middle_Chinese		0012d	tswaH	Wikibooks2016a
240	剉	cuò	Old_Chinese	0012	0012e		Karlgren1954
241	剉	cuò	Middle_Chinese		0012e	tshwaH	Wikibooks2016a
242	脞	cuǒ	Old_Chinese	0012	0012f		Karlgren1954
243	脞	cuǒ	Middle_Chinese		0012f	tshwaX	Wikibooks2016a
244	髽	zhuā	Old_Chinese	0012	0012g		Karlgren1954
245	髽	zhuā	Middle_Chinese		0012g	tsrwae	Wikibooks2016a
246	鎖	suǒ	Old_Chinese	0013	0013?		Karlgren1954
247	鎖	suǒ	Middle_Chinese		0013?	swaX	Wikibooks2016a
248	瑣	suǒ	Old_Chinese	0013	0013b		Karlgren1954
249	瑣	suǒ	Middle_Chinese		0013b	swaX	Wikibooks2016a
250	蠃	luǒ	Old_Chinese	0014	0014b		Karlgren1954
251	蠃	luǒ	Middle_Chinese		0014b	lwaX	Wikibooks2016a
252	羸	léi	Old_Chinese	0014	0014c		Karlgren1954
253	羸	léi	Middle_Chinese		0014c	ljwe	Wikibooks2016a
254	加	jiā	Old_Chinese	0015	0015a		Karlgren1954
255	加	jiā	Middle_Chinese		0015a	kae	Wikibooks2016a
256	枷	jiā	Old_Chinese	0015	0015c		Karlgren1954
257	枷	jiā	Middle_Chinese		0015c	kae	Wikibooks2016a
258	枷	jiā	Middle_Chinese		0015c	kaeH	Wikibooks2016a
259	珈	jiā	Old_Chinese	0015	0015d		Karlgren1954
260	珈	jiā	Middle_Chinese		0015d	kae	Wikibooks2016a
261	駕	jià	Old_Chinese	0015	0015e		Karlgren1954
262	駕	jià	Middle_Chinese		0015e	kaeH	Wikibooks2016a
263	嘉	jiā	Old_Chinese	0015	0015g		Karlgren1954
264	嘉	jiā	Middle_Chinese		0015g	kae	Wikibooks2016a
265	哿	gě	Old_Chinese	0015	0015i		Karlgren1954
266	哿	gě	Middle_Chinese		0015i	kaX	Wikibooks2016a
267	賀	hè	Old_Chinese	0015	0015j		Karlgren1954
268	賀	hè	Middle_Chinese		0015j	haH	Wikibooks2016a
269	伽	jiā	Old_Chinese	0015	0015-		Karlgren1954
270	伽	jiā	Middle_Chinese		0015-	gja	Wikibooks2016a
271	伽	jiā	Middle_Chinese		0015-	(?)	Wikibooks2016a
272	迦	jiā	Old_Chinese	0015	0015-		Karlgren1954
273	迦	jiā	Middle_Chinese		0015-	kja	Wikibooks2016a
274	迦	jiā	Middle_Chinese		0015-	(?)	Wikibooks2016a
275	沙	shā	Old_Chinese	0016	0016a		Karlgren1954
276	沙	shā	Middle_Chinese		0016a	srae	Wikibooks2016a
277	鯊	shā	Old_Chinese	0016	0016d		Karlgren1954
278	鯊	shā	Middle_Chinese		0016d	srae	Wikibooks2016a
279	娑	suō	Old_Chinese	0016	0016e		Karlgren1954
280	娑	suō	Middle_Chinese		0016e	sa	Wikibooks2016a
281	莎	shā	Old_Chinese	0016	0016f		Karlgren1954
282	莎	shā	Middle_Chinese		0016f	srae	Wikibooks2016a
283	莎	shā	Middle_Chinese		0016f	swa	Wikibooks2016a
284	麻	má	Old_Chinese	0017	0017a		Karlgren1954
285	麻	má	Middle_Chinese		0017a	mae	Wikibooks2016a
286	塺	méi	Old_Chinese	0017	0017c		Karlgren1954
287	塺	méi	Middle_Chinese		0017c	maH	Wikibooks2016a
288	麽	me	Old_Chinese	0017	0017d		Karlgren1954
289	麽	me	Middle_Chinese		0017d	maX	Wikibooks2016a
290	摩	mó	Old_Chinese	0017	0017e		Karlgren1954
291	摩	mó	Middle_Chinese		0017e	ma	Wikibooks2016a
292	磨	mó	Old_Chinese	0017	0017f		Karlgren1954
293	磨	mó	Middle_Chinese		0017f	ma	Wikibooks2016a
294	磨	mó	Middle_Chinese		0017f	maH	Wikibooks2016a
295	糜	mí	Old_Chinese	0017	0017g		Karlgren1954
296	糜	mí	Middle_Chinese		0017g	mje	Wikibooks2016a
297	靡	mí	Old_Chinese	0017	0017h		Karlgren1954
298	靡	mí	Middle_Chinese		0017h	mje	Wikibooks2016a
299	靡	mí	Middle_Chinese		0017h	mjeX	Wikibooks2016a
300	麾	huī	Old_Chinese	0017	0017i		Karlgren1954
301	麾	huī	Middle_Chinese		0017i	xjwe	Wikibooks2016a
302	攠	mí	Old_Chinese	0017	0017j		Karlgren1954
303	攠	mí	Middle_Chinese		0017j	mje	Wikibooks2016a
304	魔	mó	Old_Chinese	0017	0017-		Karlgren1954
305	魔	mó	Middle_Chinese		0017-	ma	Wikibooks2016a
306	咼	guō	Old_Chinese	0018	0018a		Karlgren1954
307	咼	guō	Middle_Chinese		0018a	kwaeX	Wikibooks2016a
308	騧	guā	Old_Chinese	0018	0018b		Karlgren1954
309	騧	guā	Middle_Chinese		0018b	kwae	Wikibooks2016a
310	蝸	wō	Old_Chinese	0018	0018c		Karlgren1954
311	蝸	wō	Middle_Chinese		0018c	kwae	Wikibooks2016a
312	過	guò	Old_Chinese	0018	0018e		Karlgren1954
313	過	guò	Middle_Chinese		0018e	kwa	Wikibooks2016a
314	過	guò	Middle_Chinese		0018e	kwaH	Wikibooks2016a
315	薖	kē	Old_Chinese	0018	0018h		Karlgren1954
316	薖	kē	Middle_Chinese		0018h	khwa	Wikibooks2016a
317	化	huà	Old_Chinese	0019	0019a		Karlgren1954
318	化	huà	Middle_Chinese		0019a	xwaeH	Wikibooks2016a
319	貨	huò	Old_Chinese	0019	0019c		Karlgren1954
320	貨	huò	Middle_Chinese		0019c	xwaH	Wikibooks2016a
321	吪	é	Old_Chinese	0019	0019d		Karlgren1954
322	吪	é	Middle_Chinese		0019d	ngwa	Wikibooks2016a
323	訛	é	Old_Chinese	0019	0019e		Karlgren1954
324	訛	é	Middle_Chinese		0019e	ngwa	Wikibooks2016a
325	瓦	wǎ	Old_Chinese	0020	0020a		Karlgren1954
326	瓦	wǎ	Middle_Chinese		0020a	ngwaeX	Wikibooks2016a
327	宜	yí	Old_Chinese	0021	0021a		Karlgren1954
328	宜	yí	Middle_Chinese		0021a	ngje	Wikibooks2016a
329	䖒	xī	Old_Chinese	0022	0022a		Karlgren1954
330	䖒	xī	Middle_Chinese		0022a	xje	Wikibooks2016a
331	戲	xì	Old_Chinese	0022	0022b		Karlgren1954
332	戲	xì	Middle_Chinese		0022b	xjeH	Wikibooks2016a
333	离	lí	Old_Chinese	0023	0023a		Karlgren1954
334	离	lí	Middle_Chinese		0023a	trhje	Wikibooks2016a
335	魑	chī	Old_Chinese	0023	0023b		Karlgren1954
336	魑	chī	Middle_Chinese		0023b	trhje	Wikibooks2016a
337	螭	chī	Old_Chinese	0023	0023c		Karlgren1954
338	螭	chī	Middle_Chinese		0023c	trhje	Wikibooks2016a
339	離	lí	Old_Chinese	0023	0023f		Karlgren1954
340	離	lí	Middle_Chinese		0023f	lje	Wikibooks2016a
341	離	lí	Middle_Chinese		0023f	ljeH	Wikibooks2016a
342	籬	lí	Old_Chinese	0023	0023g		Karlgren1954
343	籬	lí	Middle_Chinese		0023g	lje	Wikibooks2016a
344	漓	lí	Old_Chinese	0023	0023-		Karlgren1954
345	漓	lí	Middle_Chinese		0023-	lje	Wikibooks2016a
346	罹	lí	Old_Chinese	0024	0024a		Karlgren1954
347	罹	lí	Middle_Chinese		0024a	lje	Wikibooks2016a
348	皮	pí	Old_Chinese	0025	0025a		Karlgren1954
349	皮	pí	Middle_Chinese		0025a	bje	Wikibooks2016a
350	疲	pí	Old_Chinese	0025	0025d		Karlgren1954
351	疲	pí	Middle_Chinese		0025d	bje	Wikibooks2016a
352	被	bèi	Old_Chinese	0025	0025e		Karlgren1954
353	被	bèi	Middle_Chinese		0025e	bjeX	Wikibooks2016a
354	詖	bì	Old_Chinese	0025	0025h		Karlgren1954
355	詖	bì	Middle_Chinese		0025h	pje	Wikibooks2016a
356	陂	bēi	Old_Chinese	0025	0025i		Karlgren1954
357	陂	bēi	Middle_Chinese		0025i	pje	Wikibooks2016a
358	披	pī	Old_Chinese	0025	0025j		Karlgren1954
359	披	pī	Middle_Chinese		0025j	phje	Wikibooks2016a
360	波	bō	Old_Chinese	0025	0025l		Karlgren1954
361	波	bō	Middle_Chinese		0025l	pa	Wikibooks2016a
362	跛	bǒ	Old_Chinese	0025	0025m		Karlgren1954
363	跛	bǒ	Middle_Chinese		0025m	paX	Wikibooks2016a
364	簸	bǒ	Old_Chinese	0025	0025n		Karlgren1954
365	簸	bǒ	Middle_Chinese		0025n	paX	Wikibooks2016a
366	簸	bǒ	Old_Chinese	0025	0025n		Karlgren1954
367	簸	bǒ	Middle_Chinese		0025n	paH	Wikibooks2016a
368	破	pò	Old_Chinese	0025	0025o		Karlgren1954
369	破	pò	Middle_Chinese		0025o	phaH	Wikibooks2016a
370	婆	pó	Old_Chinese	0025	0025q		Karlgren1954
371	婆	pó	Middle_Chinese		0025q	ba	Wikibooks2016a
372	罷	bà	Old_Chinese	0026	0026a		Karlgren1954
373	罷	bà	Middle_Chinese		0026a	beaX	Wikibooks2016a
374	罷	bà	Middle_Chinese		0026a	bje	Wikibooks2016a
375	羆	pí	Old_Chinese	0026	0026b		Karlgren1954
376	羆	pí	Middle_Chinese		0026b	pje	Wikibooks2016a
377	爲	wèi	Old_Chinese	0027	0027a		Karlgren1954
378	爲	wèi	Middle_Chinese		0027a	hjwe	Wikibooks2016a
379	爲	wèi	Middle_Chinese		0027a	hjweH	Wikibooks2016a
380	䦱	wěi	Old_Chinese	0027	0027f		Karlgren1954
381	䦱	wěi	Middle_Chinese		0027f	hjweX	Wikibooks2016a
382	嬀	guī	Old_Chinese	0027	0027g		Karlgren1954
383	嬀	guī	Middle_Chinese		0027g	kjwe	Wikibooks2016a
384	僞	wěi	Old_Chinese	0027	0027k		Karlgren1954
385	僞	wěi	Middle_Chinese		0027k	ngjweH	Wikibooks2016a
386	撝	huī	Old_Chinese	0027	0027l		Karlgren1954
387	撝	huī	Middle_Chinese		0027l	xjwe	Wikibooks2016a
388	譌	é	Old_Chinese	0027	0027m		Karlgren1954
389	譌	é	Middle_Chinese		0027m	ngwa	Wikibooks2016a
390	虧	kuī	Old_Chinese	0028	0028a		Karlgren1954
391	虧	kuī	Middle_Chinese		0028a	khjwe	Wikibooks2016a
392	危	wēi	Old_Chinese	0029	0029a		Karlgren1954
393	危	wēi	Middle_Chinese		0029a	ngjwe	Wikibooks2016a
394	詭	guǐ	Old_Chinese	0029	0029b		Karlgren1954
395	詭	guǐ	Middle_Chinese		0029b	kjweX	Wikibooks2016a
396	佹	guǐ	Old_Chinese	0029	0029c		Karlgren1954
397	佹	guǐ	Middle_Chinese		0029c	kjweX	Wikibooks2016a
398	垝	guǐ	Old_Chinese	0029	0029d		Karlgren1954
399	垝	guǐ	Middle_Chinese		0029d	kjweX	Wikibooks2016a
400	恑	guǐ	Old_Chinese	0029	0029e		Karlgren1954
401	恑	guǐ	Middle_Chinese		0029e	kjweX	Wikibooks2016a
402	跪	guì	Old_Chinese	0029	0029f		Karlgren1954
403	跪	guì	Middle_Chinese		0029f	gjweX	Wikibooks2016a
404	跪	guì	Middle_Chinese		0029f	khjweX	Wikibooks2016a
405	吹	chuī	Old_Chinese	0030	0030a		Karlgren1954
406	吹	chuī	Middle_Chinese		0030a	tsyhwe	Wikibooks2016a
407	吹	chuī	Middle_Chinese		0030a	tsyhweH	Wikibooks2016a
