ID	DOCULECT	CONCEPT	VALUE	SEGMENTS	STRUCTURE	BENZI	CHARACTERS	COGNATE_SET	COGNATE_SETS
9907	Lanzhou	twelve	ʂʅ¹³⁻²²ɯ¹³	ʂ ʅ ¹³/²² + ɯ ¹³	i n t + n t	十二	十二	2884	0
9908	Xining	twelve	ʂʅ²⁴⁻²¹ɛ²¹³	ʂ ʅ ²⁴/²¹ + ɛ ²¹³	i n t + n t	十二	十二	2884	0
9909	Wulumuqi	twelve	ʂʅ⁵¹ɚ²¹³	ʂ ʅ ⁵¹ + ə r ²¹³	i n t + n r t	十二	十二	2884	0
9910	Shanghai	twenty	ȵie¹³	ɲ i e ¹³	i m n t	念	念	2885	0
9911	Suzhou	twenty	ȵiɪ³¹	ɲ i ɪ ³¹	i m n t	廿	廿	2886	0
9912	Hangzhou	twenty	əl⁴⁴⁵zəʔ²	ə l ⁴⁴⁵ + z ə ʔ ²	n r t + i n c t	二十	二十	2887	0
9913	Wenzhou	twenty	ȵi²²	ɲ i ²²	i n t	念	念	2885	0
9914	Guangzhou	twenty	ji²²sɐp²	j i ²² + s ɐ p ²	i n t + i n c t	二十	二十	2887	0
9915	Guangzhou	twenty	ja²²	j a ²²	i n t	廿	廿	2886	0
9916	Nanning	twenty	ji²²sɐp²²	j i ²² + s ɐ p ²²	i n t + i n c t	二十	二十	2887	0
9917	Xianggang	twenty	ji²²sɐp²	j i ²² + s ɐ p ²	i n t + i n c t	二十	二十	2887	0
9918	Xianggang	twenty	ja²²	j a ²²	i n t	廿	廿	2886	0
9919	Xiamen	twenty	li²²⁻²¹ʦap⁵	l i ²²/²¹ + ts a p ⁵	i n t + i n c t	二十	二十	2887	0
9920	Xiamen	twenty	liap⁵	l i a p ⁵	i m n c t	廿	廿	2886	0
9921	Fuzhou	twenty	ni²⁴²⁻⁴⁴lɛiʔ⁵	n i ²⁴²/⁴⁴ + l ɛ i ʔ ⁵	i n t + i n N c t	二十	二十	2887	0
9922	Jian'ou	twenty	ni⁴⁴si⁴⁴	n i ⁴⁴ + s i ⁴⁴	i n t + i n t	二十	二十	2887	0
9923	Shantou	twenty	zi³⁵⁻³¹ʦap⁵	z i ³⁵/³¹ + ts a p ⁵	i n t + i n c t	二十	二十	2887	0
9924	Haikou	twenty	zi²³tap³	z i ²³ + t a p ³	i n t + i n c t	二十	二十	2887	0
9925	Taibei	twenty	li³³⁻¹¹ʦap⁴⁴	l i ³³/¹¹ + ts a p ⁴⁴	i n t + i n c t	二十	二十	2887	0
9926	Taibei	twenty	liap⁴⁴	l i a p ⁴⁴	i m n c t	廿	廿	2886	0
9927	Meixian	twenty	ŋi⁵³səp⁵	ŋ i ⁵³ + s ə p ⁵	i n t + i n c t	二十	二十	2887	0
9928	Taoyuan	twenty	ŋi⁵⁵ʃïp⁵⁵	ŋ i ⁵⁵ + ʃ ï p ⁵⁵	i n t + i n c t	二十	二十	2887	0
9929	Nanchang	twenty	ɵ²¹sɨʔ⁰²	ɵ ²¹ + s ɨ ʔ ⁰²	n t + i n c t	二十	二十	2887	0
9930	Changsha	twenty	ə¹¹ʂʅ²⁴	ə ¹¹ + ʂ ʅ ²⁴	n t + i n t	二十	二十	2887	0
9931	Xiangtan	twenty	e²¹ʂʅ⁵⁵	e ²¹ + ʂ ʅ ⁵⁵	n t + i n t	二十	二十	2887	0
9932	Shexian	twenty	ɛ²²ɕi²²	ɛ ²² + ɕ i ²²	n t + i n t	二十	二十	2887	0
9933	Shexian	twenty	lia³⁵ɕi²²	l i a ³⁵ + ɕ i ²²	i m n t + i n t	两拾	两拾	2888	0
9934	Tunxi	twenty	n̩¹¹⁻²¹ɕi	n n̩ ∼ ¹¹/²¹ + ɕ i ⁰	i n c t + i n t	二十	二十	2887	0
9935	Tunxi	twenty	liau²⁴ɕi¹¹	l i a u ²⁴ + ɕ i ¹¹	i m n N t + i n t	两十	两十	2889	0
9936	Taiyuan	twenty	ər⁴⁵səʔ⁵⁴	ə r ⁴⁵ + s ə ʔ ⁵⁴	n r t + i n c t	二十	二十	2887	0
9937	Pingyao	twenty	ər³⁵ʂʌʔ⁵³	ə r ³⁵ + ʂ ʌ ʔ ⁵³	n r t + i n c t	二十	二十	2887	0
9938	Huhehaote	twenty	ar⁵⁵səʔ⁴³⁻²¹	a r ⁵⁵ + s ə ʔ ⁴³/²¹	n r t + i n c t	二十	二十	2887	0
9939	Beijing	twenty	ər⁵¹ʂʅ³⁵	ə r ⁵¹ + ʂ ʅ ³⁵	n r t + i n t	二十	二十	2887	0
9940	Tianjin	twenty	ər⁵³ʂʅ⁴⁵	ə r ⁵³ + ʂ ʅ ⁴⁵	n r t + i n t	二十	二十	2887	0
9941	Jinan	twenty	ər²¹ʂʅ⁴²	ə r ²¹ + ʂ ʅ ⁴²	n r t + i n t	二十	二十	2887	0
9942	Qingdao	twenty	ɭə⁴²⁻³¹ʃɿ⁴	ɭ ə ⁴²/³¹ + ʃ ɿ ⁴	i n t + i n t	二十	二十	2887	0
9943	Qingdao	twenty	ər⁴²⁻³¹ʃɿ⁴	ə r ⁴²/³¹ + ʃ ɿ ⁴	n r t + i n t	二十	二十	2887	0
9944	Nanjing	twenty	ər⁴⁴⁻⁴²ʂʅʔ⁵	ə r ⁴⁴/⁴² + ʂ ʅ ʔ ⁵	n r t + i n c t	二十	二十	2887	0
9945	Hefei	twenty	a⁵³ʂəʔ⁵	a ⁵³ + ʂ ə ʔ ⁵	n t + i n c t	二十	二十	2887	0
9946	Zhengzhou	twenty	ʅ³¹²⁻³¹ʂʅ⁴²	ʅ ³¹²/³¹ + ʂ ʅ ⁴²	n t + i n t	二十	二十	2887	0
9947	Wuhan	twenty	ɯ³⁵sɿ²¹³	ɯ ³⁵ + s ɿ ²¹³	n t + i n t	二十	二十	2887	0
9948	Chengdu	twenty	ər¹³sɿ³¹	ə r ¹³ + s ɿ ³¹	n r t + i n t	二十	二十	2887	0
9949	Guiyang	twenty	ɚ²¹³sɿ²¹	ə r ²¹³ + s ɿ ²¹	n r t + i n t	二十	二十	2887	0
9950	Kunming	twenty	ə²¹²ʂʅ³¹	ə ²¹² + ʂ ʅ ³¹	n t + i n t	二十	二十	2887	0
9951	Haerbin	twenty	ɚ⁵³ʂʅ²⁴	ə r ⁵³ + ʂ ʅ ²⁴	n r t + i n t	二十	二十	2887	0
9952	Xi'an	twenty	ər⁴⁴ʂʅ	ə r ⁴⁴ + ʂ ʅ ⁰	n r t + i n t	二十	二十	2887	0
9953	Yinchuan	twenty	ər¹³ʂʅ¹³	ə r ¹³ + ʂ ʅ ¹³	n r t + i n t	二十	二十	2887	0
9954	Lanzhou	twenty	ɯ¹³⁻¹¹ʂʅ⁵³	ɯ ¹³/¹¹ + ʂ ʅ ⁵³	n t + i n t	二十	二十	2887	0
9955	Xining	twenty	ɛ²¹³⁻²ʂʅ²⁴⁻⁵³	ɛ ²¹³/² + ʂ ʅ ²⁴/⁵³	n t + i n t	二十	二十	2887	0
9956	Wulumuqi	twenty	ɚ²¹³⁻¹³ʂʅ⁵¹	ə r ²¹³/¹³ + ʂ ʅ ⁵¹	n r t + i n t	二十	二十	2887	0
9957	Shanghai	twenty one	ȵie¹³⁻²²iɪʔ⁵⁻⁴	ɲ i e ¹³/²² + i ɪ ʔ ⁵/⁴	i m n t + m n c t	念一	念一	2890	0
9958	Suzhou	twenty one	ȵiɪ³¹iəʔ⁵	ɲ i ɪ ³¹ + i ə ʔ ⁵	i m n t + m n c t	廿一	廿一	2891	0
9959	Hangzhou	twenty one	ȵiᴇ̃¹³ʔiəʔ	ɲ i ᴇ̃ ∼ ¹³ + ʔ i ə ʔ ⁰	i m n c t + i m n c t	念一	念一	2890	0
9960	Hangzhou	twenty one	əl⁴⁴⁵zəʔ²ʔiəʔ⁵	ə l ⁴⁴⁵ + z ə ʔ ² + ʔ i ə ʔ ⁵	n r t + i n c t + i m n c t	二十一	二十一	2892	0
9961	Wenzhou	twenty one	ȵi²²⁻³⁵jai²¹³⁻¹³	ɲ i ²²/³⁵ + j a i ²¹³/¹³	i n t + i n N t	念一	念一	2890	0
9962	Guangzhou	twenty one	ji²²sɐp²jɐt⁵	j i ²² + s ɐ p ² + j ɐ t ⁵	i n t + i n c t + i n c t	二十一	二十一	2892	0
9963	Guangzhou	twenty one	ja²²jɐt⁵	j a ²² + j ɐ t ⁵	i n t + i n c t	廿一	廿一	2891	0
9964	Nanning	twenty one	ji²²a²²jɐt⁵⁵	j i ²² + a ²² + j ɐ t ⁵⁵	i n t + n t + i n c t	二十一	二十一	2892	0
9965	Xianggang	twenty one	ji²²sɐp²jɐt⁵	j i ²² + s ɐ p ² + j ɐ t ⁵	i n t + i n c t + i n c t	二十一	二十一	2892	0
9966	Xianggang	twenty one	ja²²jɐt⁵	j a ²² + j ɐ t ⁵	i n t + i n c t	廿一	廿一	2891	0
9967	Xiamen	twenty one	li²²⁻²¹ʦap⁵⁻²¹it³²	l i ²²/²¹ + ts a p ⁵/²¹ + i t ³²	i n t + i n c t + n c t	二十一	二十一	2892	0
9968	Xiamen	twenty one	liap⁵⁻²¹it³²	l i a p ⁵/²¹ + i t ³²	i m n c t + n c t	廿一	廿一	2891	0
9969	Fuzhou	twenty one	nieʔ²⁴⁻⁴⁴ɛiʔ²⁴	n i e ʔ ²⁴/⁴⁴ + ɛ i ʔ ²⁴	i m n c t + n N c t	廿一	廿一	2891	0
9970	Jian'ou	twenty one	ni⁴⁴i²⁴	n i ⁴⁴ + i ²⁴	i n t + n t	二一	二一	2893	0
9971	Jian'ou	twenty one	ni⁴⁴si⁴⁴i²⁴	n i ⁴⁴ + s i ⁴⁴ + i ²⁴	i n t + i n t + n t	二十一	二十一	2892	0
9972	Shantou	twenty one	ziʔ⁵⁻²ʦap⁵⁻²ik²	z i ʔ ⁵/² + ts a p ⁵/² + i k ²	i n c t + i n c t + n c t	二十一	二十一	2892	0
9973	Haikou	twenty one	zi²³tap³ʔbit⁵	z i ²³ + t a p ³ + ʔb i t ⁵	i n t + i n c t + i n c t	二十一	二十一	2892	0
9974	Haikou	twenty one	zip²³ʔbit⁵	z i p ²³ + ʔb i t ⁵	i n c t + i n c t	二+十一	二+十一	2894	0
9975	Taibei	twenty one	li³³⁻¹¹ʦap⁴⁴⁻³²it³²	l i ³³/¹¹ + ts a p ⁴⁴/³² + i t ³²	i n t + i n c t + n c t	二十一	二十一	2892	0
9976	Taibei	twenty one	liap⁴⁴it³²	l i a p ⁴⁴ + i t ³²	i m n c t + n c t	廿一	廿一	2891	0
9977	Meixian	twenty one	ŋi⁵³səp⁵it¹	ŋ i ⁵³ + s ə p ⁵ + i t ¹	i n t + i n c t + n c t	二十一	二十一	2892	0
9978	Taoyuan	twenty one	ŋi⁵⁵ʃïp⁵⁵ʒït²²	ŋ i ⁵⁵ + ʃ ï p ⁵⁵ + ʒ ï t ²²	i n t + i n c t + i n c t	二十一	二十一	2892	0
9979	Nanchang	twenty one	ɵ²¹sɨʔ⁰²iʔ⁵	ɵ ²¹ + s ɨ ʔ ⁰² + i ʔ ⁵	n t + i n c t + n c t	二十一	二十一	2892	0
9980	Changsha	twenty one	ə¹¹ʂʅ²⁴i²⁴	ə ¹¹ + ʂ ʅ ²⁴ + i ²⁴	n t + i n t + n t	二十一	二十一	2892	0
9981	Xiangtan	twenty one	e²¹ʂʅ⁵⁵i²⁴	e ²¹ + ʂ ʅ ⁵⁵ + i ²⁴	n t + i n t + n t	二十一	二十一	2892	0
9982	Shexian	twenty one	ɛ²²ɕi²²iʔ²¹	ɛ ²² + ɕ i ²² + i ʔ ²¹	n t + i n t + n c t	二十一	二十一	2892	0
9983	Tunxi	twenty one	n̩¹¹⁻²¹ɕi¹¹i⁵	n n̩ ∼ ¹¹/²¹ + ɕ i ¹¹ + i ⁵	i n c t + i n t + n t	二十一	二十一	2892	0
9984	Taiyuan	twenty one	ər⁴⁵səʔ⁵⁴iəʔ²	ə r ⁴⁵ + s ə ʔ ⁵⁴ + i ə ʔ ²	n r t + i n c t + m n c t	二十一	二十一	2892	0
9985	Pingyao	twenty one	ər³⁵ʂʌʔ⁵³iʌʔ¹³	ə r ³⁵ + ʂ ʌ ʔ ⁵³ + i ʌ ʔ ¹³	n r t + i n c t + m n c t	二十一	二十一	2892	0
9986	Huhehaote	twenty one	ar⁵⁵səʔ⁴³⁻²¹iəʔ⁴³	a r ⁵⁵ + s ə ʔ ⁴³/²¹ + i ə ʔ ⁴³	n r t + i n c t + m n c t	二十一	二十一	2892	0
9987	Beijing	twenty one	ər⁵¹ʂʅ¹i⁵⁵	ə r ⁵¹ + ʂ ʅ ¹ + i ⁵⁵	n r t + i n t + n t	二十一	二十一	2892	0
9988	Tianjin	twenty one	ər⁵³ʂʅ⁴⁵i²¹	ə r ⁵³ + ʂ ʅ ⁴⁵ + i ²¹	n r t + i n t + n t	二十一	二十一	2892	0
9989	Tianjin	twenty one	ər⁵³⁻⁴⁵i²¹	ə r ⁵³/⁴⁵ + i ²¹	n r t + n t	二一	二一	2893	0
9990	Jinan	twenty one	ər²¹⁻⁵⁴⁴ʂʅ⁰i²¹³	ə r ²¹/⁵⁴⁴ + ʂ ʅ ⁰ + i ²¹³	n r t + i n t + n t	二十一	二十一	2892	0
9991	Qingdao	twenty one	ɭə⁴²⁻⁵⁵ʃɿ⁰i⁵⁵	ɭ ə ⁴²/⁵⁵ + ʃ ɿ ⁰ + i ⁵⁵	i n t + i n t + n t	二十一	二十一	2892	0
9992	Qingdao	twenty one	ər⁴²⁻⁵⁵ʃɿ⁰i⁵⁵	ə r ⁴²/⁵⁵ + ʃ ɿ ⁰ + i ⁵⁵	n r t + i n t + n t	二十一	二十一	2892	0
9993	Nanjing	twenty one	ər⁴⁴⁻⁴²ʂʅʔ⁰iʔ⁵	ə r ⁴⁴/⁴² + ʂ ʅ ʔ ⁰ + i ʔ ⁵	n r t + i n c t + n c t	二十一	二十一	2892	0
9994	Hefei	twenty one	a⁵³ʂəʔ⁵⁻²iəʔ⁵	a ⁵³ + ʂ ə ʔ ⁵/² + i ə ʔ ⁵	n t + i n c t + m n c t	二十一	二十一	2892	0
9995	Zhengzhou	twenty one	ʅ³¹²⁻³¹ʂʅ⁰i²⁴	ʅ ³¹²/³¹ + ʂ ʅ ⁰ + i ²⁴	n t + i n t + n t	二十一	二十一	2892	0
9996	Wuhan	twenty one	ɯ³⁵sɿ²¹³⁻²¹i²¹³	ɯ ³⁵ + s ɿ ²¹³/²¹ + i ²¹³	n t + i n t + n t	二十一	二十一	2892	0
9997	Chengdu	twenty one	ər¹³i³¹	ə r ¹³ + i ³¹	n r t + n t	二一	二一	2893	0
9998	Guiyang	twenty one	ɚ²¹³sɿ²¹i²¹	ə r ²¹³ + s ɿ ²¹ + i ²¹	n r t + i n t + n t	二十一	二十一	2892	0
9999	Kunming	twenty one	ə²¹²ʂʅ³¹i³¹	ə ²¹² + ʂ ʅ ³¹ + i ³¹	n t + i n t + n t	二十一	二十一	2892	0
10000	Haerbin	twenty one	ɚ⁵³ʂʅ⁰i⁴⁴	ə r ⁵³ + ʂ ʅ ⁰ + i ⁴⁴	n r t + i n t + n t	二十一	二十一	2892	0
10001	Xi'an	twenty one	ər⁴⁴ʂʅ²⁴i²¹	ə r ⁴⁴ + ʂ ʅ ²⁴ + i ²¹	n r t + i n t + n t	二十一	二十一	2892	0
10002	Yinchuan	twenty one	ər¹³ʂʅ⁰i¹³	ə r ¹³ + ʂ ʅ ⁰ + i ¹³	n r t + i n t + n t	二十一	二十一	2892	0
10003	Lanzhou	twenty one	ɯ¹³⁻²²ʂʅ¹³⁻²²i¹³	ɯ ¹³/²² + ʂ ʅ ¹³/²² + i ¹³	n t + i n t + n t	二十一	二十一	2892	0
10004	Xining	twenty one	ɛ²¹³ʂʅ⁰j̩⁴⁴	ɛ ²¹³ + ʂ ʅ ⁰ + i ⁴⁴	n t + i n t + n t	二十一	二十一	2892	0
10005	Xining	twenty one	ɛ²¹³j⁴⁴	ɛ ²¹³ + i ⁴⁴	n t + n t	廿一	廿一	2891	0
10006	Wulumuqi	twenty one	ɚ²¹³⁻¹³ʂʅ⁰i²¹³	ə r ²¹³/¹³ + ʂ ʅ ⁰ + i ²¹³	n r t + i n t + n t	二十一	二十一	2892	0
9440	Shanghai	two	ȵi¹³	ɲ i ¹³	i n t	二	二	2872	0
9441	Suzhou	two	liã³¹	l i ã ∼ ³¹	i m n c t	两	两	2873	0
9442	Suzhou	two	ȵi	ɲ i ⁰	i n t	二	二	2872	0
9443	Hangzhou	two	əl⁴⁴⁵	ə l ⁴⁴⁵	n r t	二	二	2872	0
9444	Wenzhou	two	ŋ̍²²	ŋ ŋ̍ ∼ ²²	i n c t	二	二	2872	0
9445	Guangzhou	two	ji²²	j i ²²	i n t	二	二	2872	0
9446	Nanning	two	ji²²	j i ²²	i n t	二	二	2872	0
9447	Xianggang	two	ji²²	j i ²²	i n t	二	二	2872	0
9448	Xiamen	two	nŋ̍²²	n ŋ̍ ∼ ²²	i m c t	两	两	2873	0
9449	Xiamen	two	li²²	l i ²²	i n t	二	二	2872	0
9450	Fuzhou	two	nɛi²⁴²	n ɛ i ²⁴²	i n N t	二	二	2872	0
9451	Fuzhou	two	lɑŋ²⁴²	l ɑ ŋ ²⁴²	i n c t	两	两	2873	0
9452	Jian'ou	two	ni⁴⁴	n i ⁴⁴	i n t	二	二	2872	0
9453	Jian'ou	two	niɔŋ⁴²	n i ɔ ŋ ⁴²	i m n c t	二	二	2872	0
9454	Shantou	two	nõ³⁵	n õ ∼ ³⁵	i n c t	两	两	2873	0
9455	Haikou	two	zi²³	z i ²³	i n t	二	二	2872	0
9456	Haikou	two	no³³	n o ³³	i n t	二	二	2872	0
9457	Taibei	two	lŋ̍³³	l ŋ̍ ∼ ³³	i m c t	两	两	2873	0
9458	Taibei	two	li³³	l i ³³	i n t	二	二	2872	0
9459	Meixian	two	ŋi⁵³	ŋ i ⁵³	i n t	二	二	2872	0
9460	Taoyuan	two	ŋi⁵⁵	ŋ i ⁵⁵	i n t	二	二	2872	0
9461	Nanchang	two	ɵ²¹	ɵ ²¹	n t	二	二	2872	0
9462	Changsha	two	ə¹¹	ə ¹¹	n t	二	二	2872	0
9463	Xiangtan	two	e²¹	e ²¹	n t	二	二	2872	0
9464	Shexian	two	lia³⁵	l i a ³⁵	i m n t	二	二	2872	0
9465	Tunxi	two	liau²⁴	l i a u ²⁴	i m n N t	两	两	2873	0
9466	Tunxi	two	n̩¹¹	n n̩ ∼ ¹¹	i n c t	二	二	2872	0
9467	Taiyuan	two	ər⁴⁵	ə r ⁴⁵	n r t	二	二	2872	0
9468	Pingyao	two	ər³⁵	ə r ³⁵	n r t	二	二	2872	0
9469	Huhehaote	two	ar⁵⁵	a r ⁵⁵	n r t	二	二	2872	0
9470	Beijing	two	ər⁵¹	ə r ⁵¹	n r t	二	二	2872	0
9471	Beijing	two	ar⁵¹	a r ⁵¹	n r t	二	二	2872	0
9472	Tianjin	two	ər⁵³	ə r ⁵³	n r t	二	二	2872	0
9473	Jinan	two	ər²¹	ə r ²¹	n r t	二	二	2872	0
9474	Qingdao	two	ɭə⁴²	ɭ ə ⁴²	i n t	二	二	2872	0
9475	Qingdao	two	ər⁴²	ə r ⁴²	n r t	二	二	2872	0
9476	Nanjing	two	ər⁴⁴	ə r ⁴⁴	n r t	二	二	2872	0
9477	Hefei	two	a⁵³	a ⁵³	n t	二	二	2872	0
9478	Zhengzhou	two	ʅ³¹²	ʅ ³¹²	n t	二	二	2872	0
9479	Wuhan	two	ɯ³⁵	ɯ ³⁵	n t	二	二	2872	0
9480	Wuhan	two	niaŋ⁴²	n i a ŋ ⁴²	i m n c t	两	两	2873	0
9481	Chengdu	two	ər¹³	ə r ¹³	n r t	二	二	2872	0
9482	Guiyang	two	ɚ²¹³	ə r ²¹³	n r t	二	二	2872	0
9483	Kunming	two	ə²¹²	ə ²¹²	n t	二	二	2872	0
9484	Haerbin	two	ɚ⁵³	ə r ⁵³	n r t	二	二	2872	0
9485	Xi'an	two	ər⁴⁴	ə r ⁴⁴	n r t	二	二	2872	0
9486	Yinchuan	two	ər¹³	ə r ¹³	n r t	二	二	2872	0
9487	Lanzhou	two	ɯ¹³	ɯ ¹³	n t	二	二	2872	0
9488	Xining	two	ɛ²¹³	ɛ ²¹³	n t	二	二	2872	0
9489	Wulumuqi	two	ɚ²¹³	ə r ²¹³	n r t	二	二	2872	0
10087	Shanghai	two miles	liã¹³⁻²²li¹³⁻⁴⁴	l i ã ∼ ¹³/²² + l i ¹³/⁴⁴	i m n c t + i n t	两里	两里	2899	0
10088	Suzhou	two miles	liã³¹⁻¹³li⁵¹⁻²¹	l i ã ∼ ³¹/¹³ + l i ⁵¹/²¹	i m n c t + i n t	两里	两里	2899	0
10089	Hangzhou	two miles	liɑŋ⁵³li⁵³⁻³¹	l i ɑ ŋ ⁵³ + l i ⁵³/³¹	i m n c t + i n t	两里	两里	2899	0
10090	Wenzhou	two miles	liɛ³⁵lei³⁵	l i ɛ ³⁵ + l e i ³⁵	i m n t + i n N t	两里	两里	2899	0
10091	Guangzhou	two miles	lœŋ²³lei²³	l œ ŋ ²³ + l e i ²³	i n c t + i n N t	两里	两里	2899	0
10092	Nanning	two miles	lœŋ²⁴li²⁴	l œ ŋ ²⁴ + l i ²⁴	i n c t + i n t	两里	两里	2899	0
10093	Xianggang	two miles	lœŋ¹³mɐi⁵⁵	l œ ŋ ¹³ + m ɐ i ⁵⁵	i n c t + i n N t	两咪	两咪	2902	0
10094	Xiamen	two miles	nŋ̍²²⁻²¹li⁵³	n ŋ̍ ∼ ²²/²¹ + l i ⁵³	i m c t + i n t	两里	两里	2899	0
10095	Fuzhou	two miles	tɛ²⁴²⁻⁵³ɛiʔ²⁴	t ɛ ²⁴²/⁵³ + ɛ i ʔ ²⁴	i n t + n N c t	第二	第二	2897	0
10096	Jian'ou	two miles	niɔŋ⁴²li²¹	n i ɔ ŋ ⁴² + l i ²¹	i m n c t + i n t	两里	两里	2899	0
10097	Shantou	two miles	nõ³⁵⁻³¹li⁵³	n õ ∼ ³⁵/³¹ + l i ⁵³	i n c t + i n t	两里	两里	2899	0
10098	Haikou	two miles	no³³li²¹³	n o ³³ + l i ²¹³	i n t + i n t	两里	两里	2899	0
10099	Taibei	two miles	lŋ̍³³⁻¹¹li⁵³	l ŋ̍ ∼ ³³/¹¹ + l i ⁵³	i m c t + i n t	两里	两里	2899	0
10100	Meixian	two miles	lioŋ³¹li⁴⁴	l i o ŋ ³¹ + l i ⁴⁴	i m n c t + i n t	两里	两里	2899	0
10101	Taoyuan	two miles	lioŋ³¹li²⁴	l i o ŋ ³¹ + l i ²⁴	i m n c t + i n t	两里	两里	2899	0
10102	Nanchang	two miles	liɔŋ²¹³⁻²⁴li²¹³	l i ɔ ŋ ²¹³/²⁴ + l i ²¹³	i m n c t + i n t	两里	两里	2899	0
10103	Changsha	two miles	lian⁴¹li⁴¹	l i a n ⁴¹ + l i ⁴¹	i m n c t + i n t	两里	两里	2899	0
10104	Xiangtan	two miles	nian⁴²ni⁴²	n i a n ⁴² + n i ⁴²	i m n c t + i n t	两里	两里	2899	0
10105	Shexian	two miles	lia³⁵li³⁵	l i a ³⁵ + l i ³⁵	i m n t + i n t	两里	两里	2899	0
10106	Tunxi	two miles	liau²⁴li²⁴	l i a u ²⁴ + l i ²⁴	i m n N t + i n t	两里	两里	2899	0
10107	Taiyuan	two miles	ər⁴⁵li⁵³	ə r ⁴⁵ + l i ⁵³	n r t + i n t	二里	二里	2900	0
10108	Taiyuan	two miles	ər⁴⁵li⁵³	ə r ⁴⁵ + l i ⁵³	n r t + i n t	二里	二里	2900	0
10109	Pingyao	two miles	ər³⁵li⁵³	ə r ³⁵ + l i ⁵³	n r t + i n t	二里	二里	2900	0
10110	Huhehaote	two miles	lia⁵³⁻³¹li⁵³	l i a ⁵³/³¹ + l i ⁵³	i m n t + i n t	两里	两里	2899	0
10111	Beijing	two miles	ər⁵¹li²¹⁴	ə r ⁵¹ + l i ²¹⁴	n r t + i n t	二里	二里	2900	0
10112	Tianjin	two miles	ər⁵³li¹³	ə r ⁵³ + l i ¹³	n r t + i n t	二里	二里	2900	0
10113	Jinan	two miles	ər²¹⁻⁵⁴⁴li	ə r ²¹/⁵⁴⁴ + l i ⁰	n r t + i n t	二里	二里	2900	0
10114	Jinan	two miles	liaŋ⁵⁵⁻²¹³li	l i a ŋ ⁵⁵/²¹³ + l i ⁰	i m n c t + i n t	两里	两里	2899	0
10115	Qingdao	two miles	ti⁴²⁻³¹ɭə⁴²	t i ⁴²/³¹ + ɭ ə ⁴²	i n t + i n t	第二	第二	2897	0
10116	Qingdao	two miles	ti⁴²⁻³¹ər⁴²	t i ⁴²/³¹ + ə r ⁴²	i n t + n r t	第二	第二	2897	0
10117	Qingdao	two miles	ɭə⁴²⁻⁵⁵li	ɭ ə ⁴²/⁵⁵ + l i ⁰	i n t + i n t	二里	二里	2900	0
10118	Qingdao	two miles	ər⁴²⁻⁵⁵li	ə r ⁴²/⁵⁵ + l i ⁰	n r t + i n t	二里	二里	2900	0
10119	Nanjing	two miles	liaŋ²¹²⁻¹²li²¹²	l i a ŋ ²¹²/¹² + l i ²¹²	i m n c t + i n t	两里	两里	2899	0
10120	Hefei	two miles	ʦɿa⁵³	ts ɿ a ⁵³	i m n t	第+二	第+二	2903	0
10121	Hefei	two miles	a⁵³zɿ²⁴	a ⁵³ + z ɿ ²⁴	n t + i n t	二里	二里	2900	0
10122	Zhengzhou	two miles	liaŋ⁵³⁻⁴²li⁵³	l i a ŋ ⁵³/⁴² + l i ⁵³	i m n c t + i n t	两里	两里	2899	0
10123	Wuhan	two miles	niaŋ⁴²ni²¹³	n i a ŋ ⁴² + n i ²¹³	i m n c t + i n t	两里	两里	2899	0
10124	Wuhan	two miles	niaŋ⁴²xua²¹³⁻²¹ni	n i a ŋ ⁴² + x u a ²¹³/²¹ + n i ⁰	i m n c t + i m n t + i n t	两华里	两华里	2904	0
10125	Wuhan	two miles	i²¹³⁻²¹koŋ⁵⁵ni²¹³	i ²¹³/²¹ + k o ŋ ⁵⁵ + n i ²¹³	n t + i n c t + i n t	一公里	一公里	2905	0
10126	Chengdu	two miles	niaŋ⁵³ni⁵³	n i a ŋ ⁵³ + n i ⁵³	i m n c t + i n t	两里	两里	2899	0
10127	Guiyang	two miles	liaŋ⁴²li⁴²	l i a ŋ ⁴² + l i ⁴²	i m n c t + i n t	两里	两里	2899	0
10128	Kunming	two miles	liᴀ̃⁵³li⁵³	l i ᴀ̃ ∼ ⁵³ + l i ⁵³	i m n N t + i n t	两里	两里	2899	0
10129	Haerbin	two miles	ɚ⁵³li²¹³	ə r ⁵³ + l i ²¹³	n r t + i n t	二里	二里	2900	0
10130	Xi'an	two miles	ər⁴⁴li	ə r ⁴⁴ + l i ⁰	n r t + i n t	二里	二里	2900	0
10131	Yinchuan	two miles	liɑŋ⁵³li⁵³	l i ɑ ŋ ⁵³ + l i ⁵³	i m n c t + i n t	两里	两里	2899	0
10132	Yinchuan	two miles	ər¹³li⁵³	ə r ¹³ + l i ⁵³	n r t + i n t	二里	二里	2900	0
10133	Lanzhou	two miles	ɯ¹³⁻¹¹li⁴⁴²	ɯ ¹³/¹¹ + l i ⁴⁴²	n t + i n t	二里	二里	2900	0
10134	Lanzhou	two miles	liɑ̃⁴⁴²⁻⁵³li⁴⁴²	l i ɑ̃ ∼ ⁴⁴²/⁵³ + l i ⁴⁴²	i m n c t + i n t	两里	两里	2899	0
10135	Xining	two miles	liɔ̃⁵³⁻²¹l̩⁵³	l i ɔ̃ ∼ ⁵³/²¹ + l̩ r ⁵³	i m n c t + n c t	两里	两里	2899	0
