ID	DOCULECT	CONCEPT	VALUE	SEGMENTS	STRUCTURE	BENZI	CHARACTERS	COGNATE_SET	COGNATE_SETS
649	Yinchuan	Dragon Boat Festival	tan⁴⁴vu⁰	t a n ⁴⁴ + v u ⁰	i n c t + i n t	端午	端午	136	0
650	Yinchuan	Dragon Boat Festival	tan⁴⁴vu⁰ʨie¹³	t a n ⁴⁴ + v u ⁰ + tɕ i e ¹³	i n c t + i n t + i m n t	端午节	端午节	137	0
651	Yinchuan	Dragon Boat Festival	vu⁵³⁻³⁵i⁰tan⁴⁴vu⁰	v u ⁵³/³⁵ + i ⁰ + t a n ⁴⁴ + v u ⁰	i n t + n t + i n c t + i n t	五月端午	五月端午	147	0
652	Lanzhou	Dragon Boat Festival	tɑ̃³¹vu²¹	t ɑ̃ ∼ ³¹ + v u ²¹	i n c t + i n t	当午	当午	149	0
653	Lanzhou	Dragon Boat Festival	tuɛ̃n³¹iɑ̃²¹	t u ɛ̃ n ³¹ + i ɑ̃ ∼ ²¹	i m n c t + m n c t	端阳	端阳	144	0
654	Xining	Dragon Boat Festival	tɔ̃⁴⁴v̩⁵³	t ɔ̃ ∼ ⁴⁴ + v̩ ⁵³	i n c t + n t	端午	端午	136	0
655	Xining	Dragon Boat Festival	v̩⁵³yu⁰tɔ̃⁴⁴v̩⁵³	v̩ ⁵³ + y u ⁰ + t ɔ̃ ∼ ⁴⁴ + v̩ ⁵³	n t + m n t + i n c t + n t	五月端午	五月端午	147	0
656	Wulumuqi	Dragon Boat Festival	tuan⁴⁴yɤ	t u a n ⁴⁴ + y ɤ ⁰	i m n c t + m n t	端午	端午	136	0
657	Wulumuqi	Dragon Boat Festival	vu⁵¹⁻¹³yɤ⁰tuan⁴⁴yɤ	v u ⁵¹/¹³ + y ɤ ⁰ + t u a n ⁴⁴ + y ɤ ⁰	i n t + m n t + i m n c t + m n t	五月端午	五月端午	147	0
6238	Shanghai	I	ŋu¹³	ŋ u ¹³	i n t	我	我	1949	0
6239	Suzhou	I	ŋəu³¹	ŋ ə u ³¹	i n N t	吾	吾	1950	0
6240	Hangzhou	I	ŋo⁵³	ŋ o ⁵³	i n t	我	我	1949	0
6241	Wenzhou	I	ŋ̍³⁵	ŋ ŋ̍ ∼ ³⁵	i n c t	我	我	1949	0
6242	Guangzhou	I	ŋɔ²³	ŋ ɔ ²³	i n t	我	我	1949	0
6243	Nanning	I	ŋɔ²⁴	ŋ ɔ ²⁴	i n t	我	我	1949	0
