ID	DOCULECT	DOCULECT_IN_SOURCE	CONCEPT	CONCEPTICON_ID	STEDT_ID	VALUE	SEGMENTS	SOURCE
201320	Jianchuan	Bai (Jianchuan)	spade		201320	tshɛ³¹tsi³³	tsh ɛ ³¹ ts i ³³ 	Sun1991
187524	Dali	Bai (Dali)	sparrow		187524	lo³⁵tsɯ³¹tso⁴⁴	l o ³⁵ ts ɯ ³¹ ts o ⁴⁴ 	Sun1991
187525	Bijiang	Bai (Bijiang)	sparrow		187525	lo⁵⁵dzo²¹tso⁵⁵	l o ⁵⁵ dz o ²¹ ts o ⁵⁵ 	Sun1991
187550	Jianchuan	Bai (Jianchuan)	sparrow		187550	tso⁴⁴tsi³³	ts o ⁴⁴ ts i ³³ 	Sun1991
188111	Jianchuan	Bai (Jianchuan)	spider		188111	kui³³	k u i ³³ 	Sun1991
188085	Dali	Bai (Dali)	spider		188085	to³⁵si³⁵o²¹	t o ³⁵ s i ³⁵ o ²¹ 	Sun1991
188086	Bijiang	Bai (Bijiang)	spider		188086	to⁵⁵so⁵⁵lo²¹	t o ⁵⁵ s o ⁵⁵ l o ²¹ 	Sun1991
211290	Dali	Bai (Dali)	spin (yarn)		211290	thuɑ⁴⁴	th u ɑ ⁴⁴ 	Sun1991
211291	Bijiang	Bai (Bijiang)	spin (yarn)		211291	theʴ⁵⁵	th eʴ ⁵⁵ 	Sun1991
211316	Jianchuan	Bai (Jianchuan)	spin (yarn)		211316	fɑ³¹	f ɑ ³¹ 	Sun1991
207618	Dali	Bai (Dali)	spit		207618	tshi⁵⁵	tsh i ⁵⁵ 	Sun1991
207619	Bijiang	Bai (Bijiang)	spit		207619	tɕhɑ⁴⁴	tɕh ɑ ⁴⁴ 	Sun1991
207644	Jianchuan	Bai (Jianchuan)	spit		207644	tshi⁵⁵	tsh i ⁵⁵ 	Sun1991
183546	Dali	Bai (Dali)	spring		183546	tshui⁴⁴tɕi⁵⁵	tsh u i ⁴⁴ tɕ i ⁵⁵ 	Sun1991
183547	Bijiang	Bai (Bijiang)	spring		183547	si⁴⁴ŋu³³ŋuɑ⁴⁴	s i ⁴⁴ ŋ u ³³ ŋ u ɑ ⁴⁴ 	Sun1991
183572	Jianchuan	Bai (Jianchuan)	spring		183572	tshṽ⁵⁵	tsh ṽ ⁵⁵ 	Sun1991
181149	Dali	Bai (Dali)	spring (water)		181149	ko⁵³ɕui³³	k o ⁵³ ɕ u i ³³ 	Sun1991
181150	Bijiang	Bai (Bijiang)	spring (water)		181150	ɕui³³nɑ³³sõ³³	ɕ u i ³³ n ɑ ³³ s õ ∼ ³³ 	Sun1991
