ID	CHARACTER	PINYIN	DOCULECT	READING	CONTEXT
479	崖	yá	Middle_Chinese	ŋ ɛ /¹	i n t t
480	崖	yá	Beijing	i a ³⁵	m n t
481	雅	yǎ	Middle_Chinese	ŋ æ /²	i n t
482	雅	yǎ	Beijing	i a ²¹⁴	m n t
483	哑	yǎ	Middle_Chinese	ʔ æ /²	i n t
484	哑	yǎ	Beijing	i a ²¹⁴	m n t
485	亚	yà	Middle_Chinese	ʔ æ /³	i n t
486	亚	yà	Beijing	i a ²¹⁴	m n t
487	讶	yà	Middle_Chinese	ŋ æ /³	i n t
488	讶	yà	Beijing	i a ⁵¹	m n t
489	迓	yà	Middle_Chinese	ŋ æ /³	i n t
490	迓	yà	Beijing	i a ⁵¹	m n t
491	砑	yà	Middle_Chinese	ŋ æ /³	i n t
492	砑	yà	Beijing	i a ⁵¹	m n t
493	亚	yà	Middle_Chinese	ʔ æ /³	i n t
494	亚	yà	Beijing	i a ⁵¹	m n t
495	娅	yà	Middle_Chinese	ʔ æ /³	i n t
496	娅	yà	Beijing	i a ⁵¹	m n t
497	轧	yà	Middle_Chinese	ʔ ɛ t /⁴	i n c t t
498	轧	yà	Beijing	i a ⁵¹	m n t
499	揠	yà	Middle_Chinese	ʔ ɛ t /⁴	i n c t t
500	揠	yà	Beijing	i a ⁵¹	m n t
501	檛	zhuā	Middle_Chinese	ʈ w æ /¹	i m n t t
502	檛	zhuā	Beijing	ʈʂ u a ⁵⁵	i m n t
