OurUnicodeZi	MCascii	Mandarin	PubFull	PubPre	PubIni	PubMed	PubFin	PubSuf	GSRindexStr	OurUnicode	OurGloss
軛	'eak	e4	*qˤ<r>[i]k		qˤ	<r>	[i]k		0844e	U+8EDB	part of a yoke
阨	'eak	e4	*qˤ<r>[i]k		qˤ	<r>	[i]k		0844h	U+9628	a narrow pass
脉	meak	mai4	*C.mˤ<r>[i]k	C.	mˤ	<r>	[i]k		0848b	U+8109	vein
膉	'jiek	yi4	*q[i]k		q		[i]k		0849d	U+8189	throat
隘	'eaH	ai4	*qˤ<r>[i]k-s		qˤ	<r>	[i]k	-s	0849h	U+9698	a narrow pass
避	bjieH	bi4	*[b]ek-s		[b]		ek	-s	0853u	U+907F	avoid
歷	lek	li4	*[r]ˤek		[r]ˤ		ek		0858e	U+6B77	pass by; in turn
鵙	kwek	ju2	*kʷˤek		kʷˤ		ek		0860c	U+9D59	shrike
枝	tsye	zhi1	*ke		k		e		0864b	U+679D	branch (of tree)
肢	tsye	zhi1	*ke		k		e		0864c	U+80A2	limb
技	gjeX	ji4	*[g]reʔ		[g]	r	eʔ		0864k	U+6280	skill
胑	tsye	zhi1	*ke		k		e		0865b	U+80D1	branch, limb
策	tsrheak	ce4	*[tsʰ](ˤ)rek		[tsʰ](ˤ)	r	ek		0868l	U+7B56	tablet, record
蹟	tsjek	ji4	*[ts]ek		[ts]		ek		0868u	U+8E5F	footprint, traces
係	kejH	xi4	*kˤek-s		kˤ		ek	-s	0876c	U+4FC2	tie (v.)
鷄	kej	ji1	*kˤe		kˤ		e		0876p	U+9DC4	fowl, chicken
谿	khej	xi1	*kʰˤe		kʰˤ		e		0876q	U+8C3F	valley with stream in it
啼	dej	ti2	*C.lˤe	C.	lˤ		e		0877g	U+557C	weep, howl
崖	ngea	ya2	*ŋˤrar		ŋˤ	r	ar		0879q	U+5D16	river bank; limit
涯	ngea	ya2	*ŋˤrar		ŋˤ	r	ar		0879r	U+6DAF	river bank; limit
卦	kweaH	gua4	*[k]ʷˤre-s		[k]ʷˤ	r	e	-s	0879s	U+5366	prognosticate with Achillea
蛙	'wea	wa1	*qʷˤre		qʷˤ	r	e		0879z	U+86D9	frog
鐙	tong	deng1	*k-tˤəŋ	k-	tˤ		əŋ		0883i	U+9419	ritual vessel; lamp
燈	tong	deng1	*k-tˤəŋ	k-	tˤ		əŋ		0883j	U+71C8	lamp
增	tsong	zeng1	*s-tˤəŋ	s-	tˤ		əŋ		0884c	U+589E	increase
肱	kwong	gong1	*[k]ʷˤəŋ		[k]ʷˤ		əŋ		0887f	U+80B1	(upper) arm
鷹	'ing	ying1	*[q](r)əŋ		[q]	(r)	əŋ		0890c	U+9DF9	eagle, falcon
丞	dzying	cheng2	*m-təŋ	m-	t		əŋ		0896g	U+4E1E	assist
脀	tsying	zheng1	*təŋ		t		əŋ		0896j	U+8100	present (meat) in sacrifice
陞	sying	sheng1	*s-təŋ	s-	t		əŋ		0897d	U+965E	rise (v.)
冰	ping	bing1	*p.rəŋ	p.	r		əŋ		0899b	U+51B0	ice
憑	bing	ping2	*[b]rəŋ		[b]	r	əŋ		0899e	U+6191	lean on
偝	bwojH	bei4	*m-pˤək-s	m-	pˤ		ək	-s	0909f	U+505D	turn the back on
翌	yik	yi4	*ɢʷrəp		ɢʷ	r	əp		0912b	U+7FCC	wing
襫	syek	shi4	*[qʰ](r)Ak		[qʰ]	(r)	Ak		0913b	U+896B	raincoat of straw
勅	trhik	chi4	*(m-)r̥ək	(m-)	r̥		ək		0917b	U+52C5	correct (v.); to arrange
拭	syik	shi4	*l̥ək		l̥		ək		0918k	U+62ED	to wipe
德	tok	de2	*tˤək		tˤ		ək		0919k	U+5FB7	virtue
蝕	zyik	shi2	*mə-lək	mə-	l		ək		0921d	U+8755	(eat:) eclipse
飤	ziH	si4	*s-m-lək-s	s-m-	l		ək	-s	0921e	U+98E4	feed (v.)
夨	tsrik	ze4	*[ts]rək		[ts]	r	ək		0924a	U+5928	incline the head
𠨮	tsrik	ze4	*[ts]rək		[ts]	r	ək		0924c	U+20A2E	slanting, oblique
仄	tsrik	ze4	*[ts]rək		[ts]	r	ək		0924d	U+4EC4	slanting, oblique
𣅔	tsrik	ze4	*[ts]rək		[ts]	r	ək		0924e	U+23154	sun slanting to west
昃	tsrik	ze4	*[ts]rək		[ts]	r	ək		0924f	U+6603	sun slanting to west
𣅛	tsrik	ze4	*[ts]rək		[ts]	r	ək		0924g	U+2315B	sun slanting to west
穡	srik	se4	*s.rək	s.	r		ək		0926e	U+7A61	reap
域	hwik	yu4	*[ɢ]ʷrək		[ɢ]ʷ	r	ək		0929e	U+57DF	territory
逼	pik	bi1	*prək		p	r	ək		0933p	U+903C	urge, press
箙	bjuwk	fu2	*[b]ək		[b]		ək		0934g	U+7B99	a quiver
該	koj	gai1	*[k]ˤə		[k]ˤ		ə		0937p	U+8A72	all, complete
欬	khojH	kai4	*kʰˤək-s		kʰˤ		ək	-s	0937s	U+6B2C	cough
灾	tsoj	zai1	*[ts]ˤə		[ts]ˤ		ə		0940d	U+707E	calamity
財	dzoj	cai2	*[dz]ˤə		[dz]ˤ		ə		0943h	U+8CA1	wealth
𢦒	tsoj	zai1	*[ts]ˤə		[ts]ˤ		ə		0943l	U+22992	hurt, damage (v.)
𢦏	tsoj	zai1	*[ts]ˤə		[ts]ˤ		ə		0943o	U+2298F	hurt, damage (v.)
烖	tsoj	zai1	*[ts]ˤə		[ts]ˤ		ə		0943z	U+70D6	calamity
箕	ki	ji1	*k(r)ə		k	(r)	ə		0952f	U+7B95	winnowing basket
欺	khi	qi1	*kʰ(r)ə		kʰ	(r)	ə		0952q	U+6B3A	to deceive, cheat
騏	gi	qi2	*[g](r)ə		[g]	(r)	ə		0952a'	U+9A0F	black-mottled grey horse
熹	xi	xi1	*qʰ(r)ə		qʰ	(r)	ə		0955k	U+71B9	shine
熙	xi	xi1	*qʰ(r)ə		qʰ	(r)	ə		0960j	U+7199	splendor
誌	tsyiH	zhi4	*tək-s		t		ək	-s	0962f	U+8A8C	record (n.?)
緇	tsri	zi1	*[ts]rə		[ts]	r	ə		0969e	U+7DC7	black
仕	dzriX	shi4	*[m-s-]rəʔ	[m-s-]	r		əʔ		0970d	U+4ED5	serve
詞	zi	ci2	*sə.lə	sə.	l		ə		0972j	U+8A5E	utterance
嗣	ziH	si4	*sə.lə-s	sə.	l		ə	-s	0972k	U+55E3	succeed, inherit
㠯	yiX	yi3	*ləʔ		l		əʔ		0976a	U+382F	take, use
苡	yiX	yi3	*ləʔ		l		əʔ		0976g	U+82E1	Plantago
貽	yi	yi2	*lə		l		ə		0976x	U+8CBD	to present, give
怠	dojX	dai4	*lˤəʔ		lˤ		əʔ		0976k'	U+6020	idle, negligent
𨽿	dojX	dai4	*lˤəʔ		lˤ		əʔ		0976o'	U+28F7F	come to, until, when
狸	li	li2	*p.rə	p.	r		ə		0978i	U+72F8	kind of wild cat (pron. west of the Hángǔ pass, ap. Fāngyán)
薶	meaj	mai2	*m.rˤə	m.	rˤ		ə		0978m	U+85B6	bury
備	bijH	bei4	*[b]rək-s		[b]	r	ək	-s	0984d	U+5099	complete (adj.)
誡	keajH	jie4	*kˤrək-s		kˤ	r	ək	-s	0990c	U+8AA1	warn
馗	gwij	kui2	*[g]ʷru		[g]ʷ	r	u		0992m	U+9997	thoroughfare
㝌	kjuwH	jiu4	*[k]ʷə(ʔ)-s		[k]ʷ		ə(ʔ)	-s	0993e	U+374C	suffering, distress
佑	hjuwH	you4	*[ɢ]ʷəʔ-s		[ɢ]ʷ		əʔ	-s	0995k	U+4F51	assist
祐	hjuwX	you4	*[ɢ]ʷəʔ		[ɢ]ʷ		əʔ		0995l	U+7950	help, blessing
訧	hjuw	you2	*[ɢ]ʷə		[ɢ]ʷ		ə		0996d	U+8A27	fault, blame
躬	kjuwng	gong1	*k(r)uŋ		k	(r)	uŋ		1006f	U+8EAC	body, person
窮	gjuwng	qiong2	*[g](r)uŋ		[g]	(r)	uŋ		1006h	U+7AAE	poor
彡	yuwng	rong2	*m.rum	m.	r		um		1008c	U+5F61	to sacrifice on a following day
鞫	kjuwk	ju1	*k(r)uk		k	(r)	uk		1017j	U+97AB	exhaust; poverty
稸	xjuwk	xu4	*qʰuk		qʰ		uk		1018d	U+7A38	store; harbor (feelings)
慉	xjuwk	xu4	*qʰuk		qʰ		uk		1018e	U+6149	cherish
滀	trhjuwk	chu4	*qʰ<r>uk		qʰ	<r>	uk		1018f	U+6EC0	accumulated (feelings)
毓	yuwk	yu4	*m-quk	m-	q		uk		1021a	U+6BD3	to produce
儥	yuwk	yu4	*[l][iw]k		[l]		[iw]k		1023c	U+5125	sell
櫝	duwk	du2	*lˤok		lˤ		ok		1023h	U+6ADD	coffer; box
鬻	tsyuwk	zhou1	*t-quk	t-	q		uk		1024b	U+9B3B	rice gruel
竈	tsawH	zao4	*[ts]ˤuk-s		[ts]ˤ		uk	-s	1027b	U+7AC8	cooking-place, stove
裻	towk	du2	*tˤuk		tˤ		uk		1031o	U+88FB	seam in the back of coat
慼	tshek	qi1	*s-tʰˤiwk	s-	tʰˤ		iwk		1031x	U+617C	anxiously thoughtful
鏚	tshek	qi1	*s.tʰˤiwk	s.	tʰˤ		iwk		1031y	U+93DA	axe
誥	kawH	gao4	*kˤuk-s		kˤ		uk	-s	1039e	U+8AA5	announce, inform
皋	kaw	gao1	*[k]ˤu		[k]ˤ		u		1040b	U+768B	announce
導	dawH	dao3	*lˤuʔ-s		lˤ		uʔ	-s	1048d	U+5C0E	to lead
皁	dzawX	zao4	*[dz]ˤuʔ		[dz]ˤ		uʔ		1054b	U+7681	acorn, black-dyeing fruit
媢	mawH	mao4	*mˤuk-s		mˤ		uk	-s	1062c	U+5AA2	jealous
倏	dzyuwk	shu1	*liwk		l		iwk		1077p	U+500F	rapid, sudden
遊	yuw	you2	*[N-]ru	[N-]	r		u		1080g	U+904A	wander about
彫	tew	diao1	*tˤiw		tˤ		iw		1083r	U+5F6B	engrave, carve
帚	tsyuwX	zhou3	*[t.p]əʔ	[t.	p]		əʔ		1087a	U+5E1A	broom
箒	tsyuwX	zhou3	*[t.p]əʔ	[t.	p]		əʔ		1087e	U+7B92	broom
𢏚	drjuw	chou2	*[d]ru		[d]	r	u		1090b	U+223DA	plowed field
禱	tawX	dao3	*[t]ˤuʔ		[t]ˤ		uʔ		1090s	U+79B1	pray
叜	suwX	sou3	*s-ruʔ	s-	r		uʔ		1097a	U+53DC	old man
傁	suwX	sou3	*s-ruʔ	s-	r		uʔ		1097m	U+5081	old man
㕚	tsraewX	zhao3	*[ts]ˤ<r>uʔ		[ts]ˤ	<r>	uʔ		1112a	U+355A	claw
籥	yak	yue4	*lewk		l		ewk		1119c	U+7C65	flute; key; tube
杓	dzyak	shao2	*m-tewk	m-	t		ewk		1120b	U+6753	ladle (n.)
燿	yewH	yao4	*lewk-s		l		ewk	-s	1124j	U+71FF	shine
耀	yewH	yao4	*lewk-s		l		ewk	-s	1124k	U+8000	shine
鑠	syak	shuo4	*r̥ewk		r̥		ewk		1125o	U+9460	melt, infuse
豪	haw	hao2	*[g]ˤaw		[g]ˤ		aw		1129n	U+8C6A	procupine; shaggy animal
嗸	ngaw	ao2	*ŋˤaw		ŋˤ		aw		1130f	U+55F8	distressed cry
照	tsyewH	zhao4	*taw-s		t		aw	-s	1131o	U+7167	shine on
腰	'jiew	yao1	*ʔew		ʔ		ew		1142b	U+8170	waist
窰	yew	yao2	*law		l		aw		1144b	U+7AB0	kiln
徭	yew	yao2	*law		l		aw		1144e	U+5FAD	public or military service
消	sjew	xiao1	*[s]ew		[s]		ew		1149j	U+6D88	dissolve; disappear
尞	ljewH	liao4	*[r][a]w-s		[r]		[a]w	-s	1151b	U+5C1E	burnt offering
票	phjiew	piao4	*pʰew		pʰ		ew		1157b	U+7968	leaping flames (Shuōwén)
杪	mjiewX	miao3	*[m]ewʔ		[m]		ewʔ		1158c	U+676A	the utmost end
貌	maewH	mao4	*mˤrawk-s		mˤ	r	awk	-s	1171b	U+8C8C	appearance, manner
邈	maewk	miao3	*mˤrawk		mˤ	r	awk		1171d	U+9088	distant
功	kuwng	gong1	*kˤoŋ		kˤ		oŋ		1172d	U+529F	work, effort
𢀜	kjowngX	gong3	*k(r)oŋʔ		k	(r)	oŋʔ		1172p	U+2201C	embrace
蒙	muwng	meng2	*mˤoŋ		mˤ		oŋ		1181a	U+8499	cover (v.)
𠬞	kjowngX	gong3	*k(r)oŋʔ		k	(r)	oŋʔ		1182b	U+20B1E	join the hands
拱	kjowngX	gong3	*k(r)oŋʔ		k	(r)	oŋʔ		1182e	U+62F1	join the hands
龏	kjowng	gong1	*k<r>oŋ		k	<r>	oŋ		1182g	U+9F8F	respectful
龔	kjowng	gong1	*k<r>oŋ		k	<r>	oŋ		1182k	U+9F94	respectful
甕	'uwngH	weng4	*qˤoŋ-s		qˤ		oŋ	-s	1184p	U+7515	earthen jar
勇	yowngX	yong3	*loŋʔ		l		oŋʔ		1185k	U+52C7	brave
痛	thuwngH	tong4	*l̥ˤoŋ-s		l̥ˤ		oŋ	-s	1185q	U+75DB	to be pained
鐘	tsyowng	zhong1	*toŋ		t		oŋ		1188x	U+9418	bell
崧	sjuwng	song1	*[s]uŋ		[s]		uŋ		1190f	U+5D27	high
隴	ljowngX	long3	*[r]oŋʔ		[r]		oŋʔ		1193g	U+96B4	mound
琫	puwngX	beng3	*pˤoŋʔ		pˤ		oŋʔ		1197e'	U+742B	scabbard ornament
蜯	baewngX	bang4	*[b]ˤroŋʔ		[b]ˤ	r	oŋʔ		1197g'	U+872F	oyster, mussel
聰	tshuwng	cong1	*s-l̥ˤoŋ	s-	l̥ˤ		oŋ		1199f	U+8070	hear well; intelligent
緫	tsuwngX	zong3	*[ts]ˤoŋʔ		[ts]ˤ		oŋʔ		1199j	U+7DEB	bind together
揔	tsuwngX	zong3	*[ts]ˤoŋʔ		[ts]ˤ		oŋʔ		1199k	U+63D4	bind together
窻	tsrhaewng	chuang1	*s-l̥ˤ<r>oŋ	s-	l̥ˤ	<r>	oŋ		1199l	U+7ABB	window
䆫	tsrhaewng	chuang1	*s-l̥ˤ<r>oŋ	s-	l̥ˤ	<r>	oŋ		1199m	U+41AB	window
駹	maewng	mang2	*mˤroŋ		mˤ	r	oŋ		1201d	U+99F9	variegated animal
耨	nuwH	nou4	*nˤok-s		nˤ		ok	-s	1223f	U+8028	to hoe, to weed
岳	ngaewk	yue4	*[ŋ]ˤrok		[ŋ]ˤ	r	ok		1227a	U+5CB3	mountain, peak
印	'jinH	yin4	*[ʔ]iŋ-s		[ʔ]		iŋ	-s	1251f	U+5370	seal
屑	set	xie4	*s-lˤi[t]	s-	lˤ		i[t]		1256e	U+5C51	detail, trifle; fragment
罷	beaX	ba4	*[b]ˤrajʔ		[b]ˤ	r	ajʔ		0026a	U+7F77	stop, cease
污	'wae	wa1	*qʷˤra		qʷˤ	r	a		0097c'	U+6C61	impure, vile
叩	khuwH	kou4	*kʰˤ(r)oʔ-s		kʰˤ	(r)	oʔ	-s	0110d	U+53E9	strike (v.)
騶	dzrjuwH	zhou4	*m-[ts]ˤro(k)-s	m-	[ts]ˤ	r	o(k)	-s	0132g	U+9A36	to run
繁	bjon	fan2	*[b]ar		[b]		ar		0265b	U+7E41	abundant, numerous
晢	tsyet	zhe2	*t[a]t		t		[a]t		0287j	U+6662	bright
佃	denH	dian4	*lˤiŋ-s		lˤ		iŋ	-s	0362d	U+4F43	hunt
畋	denH	dian4	*lˤiŋ-s		lˤ		iŋ	-s	0362e	U+754B	cultivate a field
藴	'junH	yun4	*ʔunʔ-s		ʔ		unʔ	-s	0426i	U+85F4	accumulate, block up
遯	dwonH	dun4	*lˤu[n]ʔ-s		lˤ		u[n]ʔ	-s	0428d	U+906F	withdraw
晨	zyin	chen2	*sə-[d]ər	sə-	[d]		ər		0455h	U+6668	part of Scorpio; morning
遁	dwonH	dun4	*lˤu[n]ʔ-s		lˤ		u[n]ʔ	-s	0465e	U+9041	withdraw
朌	paen	ban1	*pˤ<r>ə[n]		pˤ	<r>	ə[n]		0471y	U+670C	distribute
誖	bwojH	bei4	*[b]ˤut-s		[b]ˤ		ut	-s	0491e	U+8A96	confused talk
帥	srwijH	shuai4	*s-rut-s	s-	r		ut	-s	0499a	U+5E25	leader (of an army)
妣	pjijH	bi4	*pijʔ-s		p		ijʔ	-s	0566n	U+59A3	deceased mother
譣	tshjemX	qian3	*s.qʰ[a]mʔ	s.	qʰ		[a]mʔ		0613c	U+8B63	insincere, ingratiating
譣	sjem	xian1	*s.qʰ[a]m	s.	qʰ		[a]m		0613c	U+8B63	insincere, ingratiating
㓠	temH	dian4	*tˤemʔ-s		tˤ		emʔ	-s	0618m	U+34E0	black spot, flaw
禀	limX	bing3	*p.rimʔ	p.	r		imʔ		0668b	U+7980	rations
亂	lwanH	luan4	*[r]ˤo[n]-s		[r]ˤ		o[n]	-s	0180c	U+4E82	disorder, rebellion
啗	damH	dan4	*m-rˤamʔ-s	m-	rˤ		amʔ	-s	0672k	U+5557	eat, swallow
爗	hjep	ye4	*[ɢ]ʷ(r)[a]p		[ɢ]ʷ	(r)	[a]p		0682b	U+7217	shine, gleam
曏	xjangH	xiang4	*n̥aŋʔ-s		n̥		aŋʔ	-s	0714k	U+66CF	a short time
曏	syangH	shang4	*n̥aŋ-s		n̥		aŋ	-s	0714k	U+66CF	a short time
曏	syangX	shang3	*n̥aŋʔ		n̥		aŋʔ		0714k	U+66CF	a short time
亨	xaeng	heng1	*qʰˤraŋ		qʰˤ	r	aŋ		0716b	U+4EA8	penetrate
亨	phaeng	peng1	*[p.qʰ]ˤraŋ	[p.	qʰ]ˤ	r	aŋ		0716b	U+4EA8	(loan for) to boil
并	pjiengH	bing4	*peŋ-s		p		eŋ	-s	0824b	U+5E76	combine two things
阸	'eaH	ai4	*qˤ<r>[i]k-s		qˤ	<r>	[i]k	-s	0844g	U+9638	a narrow pass
隘	'eak	e4	*qˤ<r>[i]k		qˤ	<r>	[i]k		0849h	U+9698	a narrow pass
肯	khongX	ken3	*kʰˤəŋʔ		kʰˤ		əŋʔ		0882b	U+80AF	to be willing
抍	tsyingX	zheng3	*təŋʔ		t		əŋʔ		0897e	U+628D	lift up
翌	yik	yi4	*ɢʷrəp	ɢʷ	r		əp		0912b	U+7FCC	next day
祐	hjuwH	you4	*[ɢ]ʷəʔ-s		[ɢ]ʷ		əʔ	-s	0995lz	U+7950	help, blessing
稸	trhjuwk	chu4	*qʰ<r>uk		qʰ	<r>	uk		1018d	U+7A38	store; harbor (feelings)
鬻	yuwk	yu4	*m-quk	m-	q		uk		1024b	U+9B3B	nourish
疇	drjuw	chou2	*[d]ru		[d]	r	u		1090l	U+7587	plowed field
緫	tsuwng	zong1	*[ts]ˤoŋ		[ts]ˤ		oŋ		1199j	U+7DEB	bundle of threads
揔	tsuwng	zong1	*[ts]ˤoŋ		[ts]ˤ		oŋ		1199k	U+63D4	bundle of threads
簸	paH	bo4	*pˤajʔ-s		pˤ		ajʔ	-s	0025n	U+7C38	winnow (v.)
罵	maeH	ma4	*C.mˤra-s	C.	mˤ	r	a	-s	0040h	U+7F75	scold, revile
瓠	huH	hu4	*[ɢ]ʷˤa-s		[ɢ]ʷˤ		a	-s	0043j	U+74E0	bottle-gourd, melon
呼	xuH	hu4	*qʰˤa-s		qʰˤ		a	-s	0055h	U+547C	call out, shout
鋙	ngjoX	yu3	*ŋ(r)aʔ		ŋ	(r)	aʔ		0058v	U+92D9	dzrjoX-ngjoX irregular, uneven
洳	nyoH	ru4	*na-s		n		a	-s	0094q	U+6D33	wet ground
怒	nuH	nu4	*C.nˤaʔ-s	C.	nˤ		aʔ	-s	0094a'	U+6012	anger, angry; vigorous
鈇	pjuX	fu3	*p(r)aʔ		p	(r)	aʔ		0101e	U+9207	axe
簠	pjuX	fu3	*p(r)aʔ		p	(r)	aʔ		0102u	U+7C20	(a kind of ritual vessel)
訽	xuwH	gou4	*qʰˤ(r)o-s		qʰˤ	(r)	o	-s	0108m	U+8A3D	revile, insult
鍭	huwH	hou2	*[g]ˤ(r)o-s		[g]ˤ	(r)	o	-s	0113i	U+936D	arrow with metal point
聚	dzjuH	ju4	*m-tsʰoʔ-s	m-	tsʰ		oʔ	-s	0131k	U+805A	bring together
暵	xanH	han4	*[qʰ]ˤarʔ-s		[qʰ]ˤ		arʔ	-s	0144a	U+66B5	dry
饘	tsyenX	zhan1	*t-qa[n]ʔ	t-	q		a[n]ʔ		0148m	U+9958	thick gruel
嘆	thanH	tan4	*n̥ˤar-s		n̥ˤ		ar	-s	0152a	U+5606	sigh
儺	naX	nuo2	*nˤarʔ		nˤ		arʔ		0152k	U+513A	rich, beautiful
棧	dzraenH	zhan4	*[dz]ˤr[a][n]-s		[dz]ˤ	r	[a][n]	-s	0155d	U+68E7	shed
散	sanH	san4	*mə-sˤa[n]ʔ-s	mə-	sˤ		a[n]ʔ	-s	0156a	U+6563	scatter (v.t.)
貫	kwanH	guan4	*kˤon-s		kˤ		on	-s	0159a	U+8CAB	pass through the center
晅	xjwonX	xuan3	*qʷʰarʔ		qʷʰ		arʔ		0164r	U+6645	to dry in the sun
斷	twanH	duan4	*tˤo[n]ʔ-s		tˤ		o[n]ʔ	-s	0170a	U+65B7	cut off; decide
算	swanH	suan4	*[s]ˤorʔ-s		[s]ˤ		orʔ	-s	0174a	U+7B97	calculate; tally
駽	xwenH	xuan4	*qʷʰˤen-s		qʷʰˤ		en	-s	0228k	U+99FD	bluish-black horse
大	daH	da4	*lˤat-s		lˤ		at	-s	0317a	U+5927	big
嘬	tsrhwaejH	chuai4	*[tsʰ](ˤ)ro[t]-s		[tsʰ](ˤ)	r	o[t]	-s	0325d	U+562C	bite, eat
茹	nyoH	ru2	*naʔ-s		n		aʔ	-s	0094r	U+8339	swallow, eat
瀰	mjieX	mi3	*m.nerʔ	m.	n		erʔ		0359o	U+7030	richly flowing stream
駰	'in	yin1	*ʔ<r>i[n]		ʔ	<r>	i[n]		0370g	U+99F0	grey and white horse
稹	tsyinX	zhen3	*ti[n]ʔ		t		i[n]ʔ		0375b	U+7A39	dense, compact
畛	tsyinX	zhen3	*tə[n]ʔ		t		ə[n]ʔ		0453d	U+755B	path between fields
論	lwonH	lun4	*[r]ˤu[n]-s		[r]ˤ		u[n]	-s	0470b	U+8AD6	discussion, discourse
鎧	khojH	kai3	*C.qʰˤəjʔ-s	C.	qʰˤ		əjʔ	-s	0548e	U+93A7	coat of mail
狶	xj+jX	xi3	*qʰəjʔ		qʰ		əjʔ		0549e	U+72F6	swine
柅	nrijH	ni3	*n<r>[ə]rʔ-s		n	<r>	[ə]rʔ	-s	0563c	U+67C5	a stopper for carriages
庇	pjijH	bi4	*pij-s		p		ij	-s	0566p	U+5E87	cover; protect
魏	ngjw+jH	wei4	*N-qʰuj-s	N-	qʰ		uj	-s	0569k	U+9B4F	high
懠	dzejH	qi2	*[dz]ˤ[i]j-s		[dz]ˤ		[i]j	-s	0593j	U+61E0	angry
隮	tsej	ji1	*[ts]ˤəj		[ts]ˤ		əj		0593r	U+96AE	ascend
視	dzyijH	shi4	*gijʔ-s		g		ijʔ	-s	0553h	U+8996	look, see
晻	'omH	an4	*qˤ[o]m(ʔ)-s		qˤ		[o]m(ʔ)	-s	0614e	U+667B	dark
猒	'jiemH	yan4	*ʔem-s		ʔ		em	-s	0616a	U+7312	satisfaction
苫	syemH	shan4	*s-tem-s	s-	t		em	-s	0618i	U+82EB	thatch
歉	kheamH	qian4	*kʰˤremʔ-s		kʰˤ	r	emʔ	-s	0627e	U+6B49	deficient, modest
枕	tsyimH	zhen4	*[t.k][ə]mʔ-s	[t.	k]		[ə]mʔ	-s	0656g	U+6795	use as a pillow
甚	dzyimH	shen4	*[t.ɢ][ə]mʔ-s	[t.	ɢ]		[ə]mʔ	-s	0658a	U+751A	excessive
潛	dzjemH	qian2	*[dz][o]m-s		[dz]		[o]m	-s	0660n	U+6F5B	to hide; secretly
衽	nyimH	ren4	*n[ə]mʔ-s		n		[ə]mʔ	-s	0667n	U+887D	skirts of robe, flaps; lapel
迎	ngjaengH	ying4	*ŋ<r>aŋ-s		ŋ	<r>	aŋ	-s	0699d	U+8FCE	go to meet
饟	syangX	xiang3	*n̥aŋʔ		n̥		aŋʔ		0730c	U+995F	bring food to (workers in the field)
饟	syangH	xiang3	*n̥aŋ(ʔ)-s		n̥		aŋ(ʔ)	-s	0730c	U+995F	bring food to (workers in the field)
攘	nyangX	rang3	*naŋʔ		n		aŋʔ		0730e	U+6518	oppose; disturb
傍	bangH	bang4	*[b]ˤaŋ-s		[b]ˤ		aŋ	-s	0740m'	U+508D	beside; assist
忘	mjangH	wang4	*maŋ-s		m		aŋ	-s	0742i	U+5FD8	forget
芒	xwangX	huang3	*m̥ˤaŋʔ		m̥ˤ		aŋʔ		0742k	U+8292	obscure, confused
詤	xwangX	huang3	*m̥ˤaŋʔ		m̥ˤ		aŋʔ		0742f'	U+8A64	lies
醵	gjoH	ju4	*[g](r)ak-s		[g]	(r)	ak	-s	0803e	U+91B5	subscription feast
令	ljengH	ling4	*riŋ-s		r		iŋ	-s	0823a	U+4EE4	issue a command
灑	srjeX	xi3	*Cə.s<r>ərʔ	Cə.	s	<r>	ərʔ		0878i	U+7051	sprinkle (v.)
綦	giH	qi2	*[g](r)ə-s		[g]	(r)	ə	-s	0952z	U+7DA6	sandal cord
治	driH	zhi4	*lrə-s		l	r	ə	-s	0976z	U+6CBB	regulate, arrange
糾	kjiwX	jiu1	*k<r>iwʔ		k	<r>	iwʔ		1064b	U+7CFE	plait, unite
膠	kaewX	jiao3	*[k]ˤriwʔ		[k]ˤ	r	iwʔ		1069s	U+81A0	glue
抓	tsraewX	zhua1	*tsˤ<r>uʔ		tsˤ	<r>	uʔ		1111c	U+6293	grasp
膏	kawH	gao1	*[k]ˤaw-s		[k]ˤ		aw	-s	1129i	U+818F	smear with lard (v.)
倒	tawH	dao4	*tˤawʔ-s		tˤ		awʔ	-s	1132c	U+5012	turn over, invert; pour
燥	sawH	sao4	*C.sˤawʔ-s	C.	sˤ		awʔ	-s	1134d	U+71E5	dry
空	khuwngX	kong3	*kʰˤoŋʔ		kʰˤ		oŋʔ		1172h	U+7A7A	hollow, empty; hole
昱	yuwk	yu4	*ɢʷrəp	ɢʷ	r		əp		0694-	U+6631	next day
關	kwaen	guan1	*[k]ˤro[n]		[k]ˤ	r	o[n]		0187b	U+95DC	barrier
關	kwaen	guan1	*[k]ˤro[n]		[k]ˤ	r	o[n]		0187b	U+95DC	關關 kwaen.kwaen [bird’s cry]
雎	tshjo	ju1	*[tsʰ]a		[tsʰ]		a		0046r	U+96CE	雎鳩 tshjo.kjuw an aquatic bird
贛	komH	gan4	*[k]ˤom-s		[k]ˤ		om	-s	1172-	U+8D1B	the Gàn river in Jiangxi
贛	kuwngH	gong4	*[k]ˤom-s		[k]ˤ		om	-s	1172-	U+8D1B	tribute
贛	komX	gan4	*k[o]mʔ		k		[o]mʔ		1172-	U+8D1B	the Gàn river
薛	sjet	xue1	*s.ŋat	s.	ŋ		at		0289e	U+859B	(place name)
在	dzojX	zai4	*[dz]ˤəʔ		[dz]ˤ		əʔ		0943i	U+5728	be at, be present
可	khaX	ke3	*[k]ʰˤa[j]ʔ		[k]ʰˤ		a[j]ʔ		0001a	U+53EF	may; acceptable
何	ha	he2	*[g]ˤaj		[g]ˤ		aj		0001f	U+4F55	what
河	ha	he2	*[C.g]ˤaj	[C.	g]ˤ		aj		0001g	U+6CB3	river
我	ngaX	wo3	*ŋˤajʔ		ŋˤ		ajʔ		0002a	U+6211	we, I
施	sye	shi1	*l̥aj		l̥		aj		0004l'	U+65BD	give, bestow
