OurUnicodeZi	MCascii	Mandarin	PubFull	PubPre	PubIni	PubMed	PubFin	PubSuf	GSRindexStr	OurUnicode	OurGloss
罩	traewH	zhao4	*tˤrawk-s		tˤ	r	awk	-s	1126i	U+7F69	covering basket
召	drjewH	zhao4	*[d]raw-s		[d]	r	aw	-s	1131e	U+53EC	summon
昭	tsyew	zhao1	*taw		t		aw		1131m	U+662D	bright
炤	tsyewH	zhao4	*taw-s		t		aw	-s	1131n	U+70A4	shine on
沼	tsyewX	zhao3	*tawʔ		t		awʔ		1131p	U+6CBC	pool
詔	tsyewH	zhao4	*taw-s		t		aw	-s	1131q	U+8A54	tell, announce
朝	trjew	zhao1	*t<r>aw		t	<r>	aw		1143a	U+671D	morning
兆	drjewX	zhao4	*lr[a]wʔ		l	r	[a]wʔ		1145a	U+5146	great number
趙	drjewX	zhao4	*[d]rewʔ		[d]	r	ewʔ		1149u	U+8D99	(surname)
陳	drinH	zhen4	*lri[n]-s		l	r	i[n]	-s	0373a	U+9673	battle array
真	tsyin	zhen1	*ti[n]		t		i[n]		0375a	U+771F	true, real
鬒	tsyinX	zhen3	*ti[n]ʔ		t		i[n]ʔ		0375d	U+9B12	black hair
鎮	trinH	zhen4	*t<r>i[n]-s		t	<r>	i[n]	-s	0375f	U+93AE	press down
榛	tsrin	zhen1	*tsri[n]		ts	r	i[n]		0380f	U+699B	hazel
㐱	tsyinX	zhen3	*t[ə][n]ʔ		t		[ə][n]ʔ		0453a	U+3431	thick hair
袗	tsyinX	zhen3	*tə[n]ʔ		t		ə[n]ʔ		0453f	U+8897	unlined garment
軫	tsyinX	zhen3	*tə[n]ʔ		t		ə[n]ʔ		0453g	U+8EEB	crossboard at back of carriage
珍	trin	zhen1	*trə[n]		t	r	ə[n]		0453i	U+73CD	precious thing
診	drinH	zhen3	*m-t<r>ə[n]ʔ-s	m-	t	<r>	ə[n]ʔ	-s	0453l	U+8A3A	examine
診	tsyinX	zhen3	*tə[n]ʔ		t		ə[n]ʔ		0453l	U+8A3A	examine
娠	tsyinH	shen1	*tər-s		t		ər	-s	0455q	U+5A20	pregnant
酖	drimH	zhen4	*[l]r[ə]m-s		[l]	r	[ə]m	-s	0656e	U+9156	to poison
枕	tsyimX	zhen3	*[t.k][ə]mʔ	[t.	k]		[ə]mʔ		0656g	U+6795	pillow
椹	trim	zhen1	*tr[ə]m		t	r	[ə]m		0658f	U+6939	chopping-block
斟	tsyim	zhen1	*t.[q][ə]m	t.	[q]		[ə]m		0658h	U+659F	deliberate (v.)
簪	tsrim	zan1	*tsr[ə]m		ts	r	[ə]m		0660g	U+7C2A	hairpin
譖	tsrimH	zen4	*[ts]r[ə]m-s		[ts]	r	[ə]m	-s	0660j	U+8B56	accuse
箴	tsyim	zhen1	*t.[k]əm	t.	[k]		əm		0671n	U+7BB4	needle
朕	drimX	zhen4	*lrəmʔ		l	r	əmʔ		0893f	U+6715	I, we, our
爭	tsreang	zheng1	*[ts]ˤreŋ		[ts]ˤ	r	eŋ		0811a	U+722D	strife, quarrel
正	tsyengH	zheng4	*teŋ-s		t		eŋ	-s	0833j	U+6B63	correct (adj., v.)
正	tsyeng	zheng1	*C.teŋ	C.	t		eŋ		0833j	U+6B63	1st (month)
征	tsyeng	zheng1	*teŋ		t		eŋ		0833o	U+5F81	to correct; to go on a punitive expedition
政	tsyengH	zheng4	*teŋ-s		t		eŋ	-s	0833r	U+653F	government
整	tsyengX	zheng3	*teŋʔ		t		eŋʔ		0833t	U+6574	arrange; orderly
証	tsyengH	zheng4	*teŋ-s		t		eŋ	-s	0833u	U+8A3C	remonstrate
證	tsyingH	zheng4	*təŋ-s		t		əŋ	-s	0883n	U+8B49	testify, prove
徵	tring	zheng1	*trəŋ		t	r	əŋ		0891a	U+5FB5	examine
烝	tsying	zheng1	*təŋ		t		əŋ		0896h	U+70DD	to rise (of steam); steam (v.t.)
拯	tsyingX	zheng3	*təŋʔ		t		əŋʔ		0896i	U+62EF	lift up
