NUMBER  	PB  	PRNUM  	WORD  	TL  	GX  	EQ  	EG  	JM  	JX  	DS  	ZC  	MZL  	JC  	EY  	HQ  	LP  	QLQ  	YL  	XY  	LBZ  	   
1681	tɕʰ|aen,1  	0	listen  	tɕʰiaŋ55  	tɕʰian55  	tɕʰiæ24  	tɕʰia55  	tɕʰiã55  	tɕʰian55  	tɕʰiɚ|en,55  	tɕʰiɛ55  	tɕʰɚ̃55  	  	  	  	  	  	  	  	  	   
1688	tsʰri1  	0	spit (noun or verb?)  	tɕʰi42(/fɚ55tʰɔ21)  	(pfu12tʰua42)  	(fE24tʰo43)  	(fɛ55tʰo42)  	(fe55)  	tsʰi55(tsʰi55tʰou31)  	tʂʰi55  	tsi55  	tɕʰi55  	  	  	  	  	  	  	  	  	   
1707	tʰru1  	0	to smell  	tʰv55  	tʂʰy55  	tʰiu24  	xã55  	ʈʰu55  	tsʰu55  	tʂʰu55  	tʂv55  	tsʰu55  	  	  	  	  	  	  	  	  	   
1708	præ4  	0	ask; question  	tʂua42  	tɕuɛ24  	piæ55  	tɕya44  	tɕua55  	pia44  	piɚ44  	piɛ44  	piɚ44  	  	  	  	  	  	  	  	  	   
1715	tæ1  	0	be blind  	ta55  	ten55  	tæ24  	ta55  	tã55  	tan55  	[ɕa13]  	tɛ35  	tɚ55  	  	  	  	  	  	  	  	  	   
1718	sen5  	0	lay (eggs)  	sen21  	sen42  	sE43  	sɛ42  	sɚ̃42  	sen42  	ɕien42  	se42  	sen42  	  	  	  	  	  	  	  	  	   
1719	ɣu4  	0	(rain) fall  	(ʐi33)luo42  	(ʐi22(w21  	u21  	u42  	u42  	ɣou42  	ɣou42  	ou42(vu33ɕi44)  	ɣo42  	  	  	  	  	  	  	  	  	   
1726	mi2  	0	think  	mi33  	  	  	mi22(/suɛ42)  	mi22  	mi33  	mi33  	mi33  	[ɕaŋ21]  	  	  	  	  	  	  	  	  	   
1733	ɕo4  	0	pare/peel with a knife  	ɕu42  	(bi12)  	ɕo55  	ɕu44  	(la55)  	ɕou44)  	ɕʰou44  	(pe21)  	[ɕo55]  	  	  	  	  	  	  	  	  	   
1735	sʰɔ3  	0	laugh  	sɔ21  	su42  	su43  	sy42  	su42  	sou31  	(ɕʰi31)  	so31  	sǝɯ21  	  	  	  	  	  	  	  	  	   
1745	ja4  	0	press, push down  	jɔ42  	ja24  	ja55  	a44  	a55  	jɑ44  	ja44  	ja44  	ja44  	  	  	  	  	  	  	  	  	   
1746	mj|aen1  	0	(???, Chinese character has to be checked)  	juaŋ55 (Wang 2006 has juang55, probably a spelling error)  	ɲyɛ55  	mia24  	ɲia44  	ɲio55  	mian55  	"mier35 (this is strange: should it be ""miɚ35""?)  "	  	  	  	  	  	  	  	  	  	  	   
1749	njoŋ2  	0	to itch/tickle  	jvŋ33  	joŋ22  	ɲio22  	ɲiõ22  	ɲiõ22  	jõ33  	joŋ33  	jou44  	joŋ33  	  	  	  	  	  	  	  	  	   
1754	qɯ1  	0	scoop up (water); ladle out  	qɚ55  	qe55  	qɯ24  	qɯ55  	  	lɯ55  	kɯ35  	kɯ35  	kǝ55  	  	  	  	  	  	  	  	  	   
