NUMBER  	PB  	PRNUM  	WORD  	TL  	GX  	EQ  	EG  	JM  	JX  	DS  	ZC  	MZL  	JC  	EY  	HQ  	LP  	QLQ  	YL  	XY  	LBZ  	   
1050	sʰjen1  	0	new  	ɕien55  	ɕien55  	si24  	sɛ55  	sẽ55  	ɕien55  	ɕʰien55  	ɕi35  	ɕen55  	  	  	  	  	  	  	  	  	   
1051	gɯ̃3  	0	used, old  	geŋ21  	gɯ42  	gɯ43  	gɯ42  	gɯ̃42  	  	  	kɯ31  	kǝɯ21  	  	  	  	  	  	  	  	  	   
1052	dræn1  	0	good  	diaŋ35  	dzan12  	diæ21  	xo55  	xo22  	xu33  	xu33  	xu33  	xǝ33  	  	  	  	  	  	  	  	  	   
1053	quɛ3(a)  	0	bad (things)  	quɛ21  	quɛ42  	quE43  	quɛ42  	que42  	kua44  	kue42  	  	kuɛ44  	  	  	  	  	  	  	  	  	   
1057	njeŋ1b  	0	tender young (plant)  	jẽ35  	ɲe12  	ɲiǝ21  	ɲi21  	ɲi21  	jẽ21  	ʑẽ21  	(tɕʰiɛ33)  	ɲiǝɯ21  	  	  	  	  	  	  	  	  	   
1062	nje4  	0	hot  	jen42  	ɲi24  	ɲi55  	ɲi44  	ɲi44  	jẽ44  	jen44  	ɲie44  	ɲiɛ44  	  	  	  	  	  	  	  	  	   
1063	kɯ1(thing); gæ1(weather, fɚling)  	0	cold  	kɯ55  	ga12  	kɯ24  	kɯ55  	kɯ55  	kɯ55(thing); kɑ21(weather, fɚling)  	kɯka21  	kɯ35  	kɯ55  	  	  	  	  	  	  	  	  	   
1064	ʔuen1  	0	lukewarm  	uen55  	uen22  	ʔuE24  	ʔuɛ̃55  	uẽ22  	ʔuen55  	uen35  	uɛ35  	(men33tʰen33)  	  	  	  	  	  	  	  	  	   
1068	ɣo4  	0	easy  	(tsi55o33)  	u21  	u21  	u42  	u42  	ɣou42  	ɣou42  	ou42  	  	  	  	  	  	  	  	  	  	   
1069	ɕoŋ1  	0	fragrant (smell)  	ɕoŋ55  	ɕioŋ55  	ɕio24  	mɛ44  	ɕõ55  	ɕiõ55  	ɕoŋ35  	ɕou35  	ɕoŋ55  	  	  	  	  	  	  	  	  	   
1070	tʰru3  	0	stinking,; smelly  	tʰv21  	tsʰu42  	(xæ24)tʰiu43  	tɕʰu42  	ʈʰv42  	tsʰu31  	tʂʰu31  	tsʰu31  	  	  	  	  	  	  	  	  	  	   
1072	sʰuaŋ1  	0	sour  	soŋ55  	suaŋ55  	ɕyE24  	sua55  	tɕã55  	suɑ̃55  	sʰuaŋ55  	sua55  	suaŋ55  	  	  	  	  	  	  	  	  	   
1074	qʰu2  	0	bitter  	qʰo33  	q|hmu22  	qʰu22  	qʰu22  	qʰu22  	qʰu22  	kʰu33  	kʰu31  	kʰu33kʰǝɯ33  	  	  	  	  	  	  	  	  	   
1076	tsʰoŋ3  	0	salty  	tsʰoŋ21  	tsʰoŋ42  	tsʰoŋ43  	tsʰo42  	kʰu42  	tsʰõ31  	tsʰoŋ42  	tsʰou31  	kʰǝɯ33  	  	  	  	  	  	  	  	  	   
1078	sri4  	0	astringent; like unripe  	ʂi4  	tsua24  	sɿ55  	(kʰui42/tsʰi42)  	ʂɚ55  	sa44  	ʂi44  	si55  	si44  	  	  	  	  	  	  	  	  	   
1083	gɔ1  	0	rich  	gɔ35  	gao12  	ko21  	ko21  	ko21  	ko42  	  	ko21  	ko21  	  	  	  	  	  	  	  	  	   
1089	sji2  	0	dead  	ɕi33  	ɕi22  	si22  	si22  	ɕi22  	ɕi33  	ɕi33  	ɕi33  	ɕi33  	  	  	  	  	  	  	  	  	   
1094	mæ1b  	0	loud  	ma35  	mæ12  	mæ12  	(do42)  	ma21  	man21  	mɚ21  	  	mɚ̃21  	  	  	  	  	  	  	  	  	   
1124	pʰræ1  	0	xliffy; precipitous  	tʂua55  	tʂuen55  	pʰiæ24  	tɕya55  	tɕya55  	pʰiɛ55  	pʰiɚ55  	pʰiɛ55  	[tǝɯ21]  	  	  	  	  	  	  	  	  	   
1126	gɔ1  	0	love; like  	gɔ35  	gao112  	ko21  	ko21  	ko21  	kou21  	ku21  	ko21  	ko21  	  	  	  	  	  	  	  	  	   
1129	ja4  	0	press (with palm of finger)  	jɔ42  	ja24  	ja55  	o44  	(a55)  	jo44(/ɑ̃44)  	ja44  	ja44  	ja44  	  	  	  	  	  	  	  	  	   
1131	bræ4  	0	pull up (weeds)  	ʐo42  	dʑua21  	pia21  	tɕia44  	tɕiõ55  	pio42(/mɑ̃21)  	(ma21)  	ma(21)  	[tsʰɛ42]  	  	  	  	  	  	  	  	  	   
1132	bæ1  	0	to rake (the fields)  	ba35  	bæ12  	pæ21  	[to42ɕyi22]  	-  	pɑ44  	pǝ21  	pɛ21  	pɚ21  	  	  	  	  	  	  	  	  	   
1141	bjo4  	0	bind; tie up  	vɚ42  	bvu21  	fo21  	u42  	u21  	fv42  	fv42  	v42  	pʰǝɯ42  	  	  	  	  	  	  	  	  	   
1148	pɯ2  	0	have eaten one's fill  	pɯ33  	pu33  	pɯ22  	pɯ22  	pu22  	pu33  	pu33  	pu33  	pǝɯ33  	  	  	  	  	  	  	  	  	   
1149	bɯ2/pɯ1  	0	hug  	bɯ33  	bu22  	bɯ22  	pɯ22  	bu22  	pu33  	pu33  	po55  	bɯ33  	  	  	  	  	  	  	  	  	   
1151	bjo2  	0	carry (shoulder)  	vɚ33  	  	  	vɛ22  	ve22  	v33  	(jɚ31)  	(jɛ21)  	pa21[/piɛ̃42]  	  	  	  	  	  	  	  	  	   
1155	me1a  	0	xlose (the mouth)  	mi55  	mi55  	mi24  	ɲyi55  	mi55  	me55  	me35  	me35  	mi55  	  	  	  	  	  	  	  	  	   
1156	pren1  	0	to plait  	tɕyen55  	tɕyen55  	tsuE24  	tɕyi55  	tɕyẽ55  	pien55  	pi35  	pi35  	pien55  	  	  	  	  	  	  	  	  	   
1158	pren5  	0	change  	tɕyen21  	tɕyen42  	pE43  	(ka42)pɛ42  	(ka42)pe42  	pien42  	pien42  	pi42  	pieɛ42  	  	  	  	  	  	  	  	  	   
1160	bæn3  	0	to be ill  	baŋ21  	ban42  	bæ43  	(su42)  	(sõ42)  	pan31  	pɚ̃31  	pɛ21  	pɚ̃21  	  	  	  	  	  	  	  	  	   
1161	pu2  	0	patch (clothing)  	pɯ33  	pu22  	pɯ22  	pɯ22  	pu22  	pu33  	pu33  	tse33  	pǝɯ33  	  	  	  	  	  	  	  	  	   
1168	da4  	0	step on; tread  	(uen21)  	da21  	ta21(/tsʰuE43)  	ta42  	ta42  	tɑ42  	ta42  	ta42  	tʰa42  	  	  	  	  	  	  	  	  	   
1169	dzoŋ1  	0	hide  	zoŋ35  	dzoŋ12  	tso21  	tsu21  	tsõ42  	tsõ21  	tsoŋ21  	tsou21  	tsoŋ21  	  	  	  	  	  	  	  	  	   
1171	bɛ4  	0	to poke; insert  	(tɕʰia42)  	(tsʰa24)  	(tɕʰio43)  	pɛ42  	pe42  	pe42  	(tɕʰiɚ44)  	pe42  	pʰɛ42  	  	  	  	  	  	  	  	  	   
1172	pʰjen1  	0	transplant (rice seedling); insert  	fɚ55  	pfu55  	fE24  	(xue55)  	(tɕiõ42)  	fv55  	fv55  	fv55  	pʰien55  	  	  	  	  	  	  	  	  	   
1174	tʰje4  	0	unseam (clothing)  	tʰi42  	tʰua224  	(lo43)  	tʰo55  	ʈʰɚ55  	tʰe44  	tʰe33  	tsʰu33  	tsʰu33  	  	  	  	  	  	  	  	  	   
1186	t|hr,u2  	0	stir-fry; stir  	tʰv33  	tɕyi22  	tʰiu22  	(ŋõ21)  	(õ21)  	tsʰu33  	tʂʰu  	tsʰu33  	tsʰu33  	  	  	  	  	  	  	  	  	   
1188	tsʰuen1  	0	weigh (food)  	tɕien55  	tɕʰyen55  	tsʰuE24  	tsʰuɛ55bɛ22  	tsʰuẽ55  	tɕʰyẽ55  	tɕʰyen55  	tɕʰiue55  	tsʰuen55  	  	  	  	  	  	  	  	  	   
1194	qɯ1  	0	fill (a bowl with rice)  	qɚ55  	qe55  	qɯ24  	qɯ55  	qɯ55  	kɯ55  	kɯ35  	kɯ35  	kǝ55  	  	  	  	  	  	  	  	  	   
1198	jɯ4  	0	eat  	ju42  	ju42  	jɯ55  	ji44  	ji55  	jɯ44  	jɯ44  	jɯ44  	ji44  	  	  	  	  	  	  	  	  	   
1212	tro4  	0	put on (the shoes)  	tju42  	tsu24  	tju55  	tɕu44  	ʈo55  	tsou44  	tʂou33  	tsou44  	tso44  	  	  	  	  	  	  	  	  	   
1218	pʰɯ1  	0	blow (the trumpet)  	pʰɯ55  	pu55  	pʰɯ24  	pʰɯ55  	pʰɯ55  	pʰɯ55  	pʰu55  	pʰǝɯ55  	pʰǝɯ55  	  	  	  	  	  	  	  	  	   
1225	tsʰo4  	0	twist (hemp fivers)  	tsʰu42  	  	tsʰu55  	tsʰo55  	tsʰo55  	tsʰou44  	tsʰou33  	tsʰo44  	tsʰo44  	  	  	  	  	  	  	  	  	   
1234	tæŋ4  	0	fight  	tɔ42  	taŋ24  	(sa24tsa55)  	(so55qa21)  	(so55qã42)  	tan44  	tɚ̃44  	tɛ44  	tɚ̃44  	  	  	  	  	  	  	  	  	   
1240	tu2  	0	to bet  	tv33  	(ta55)tu22  	(sa55bo24)  	(so55pu55)  	(so55pu55)  	(tsʰi55pɔ55)  	tu33  	  	[tɚ55tv21]  	  	  	  	  	  	  	  	  	   
1248	sky+cry  	0	to thunder  	xen55ma35  	hen55mæ12   	xE24mæ21  	xẽ55ma21  	xẽ55ma21  	xen55man21  	xen55mɚ21  	xe55mɛ21  	xen55mɚ21  	  	  	  	  	  	  	  	  	   
1252	tjɯ5  	0	wear (a hat)  	tiɯ24  	di24  	tɚ43  	tɯ42  	tẽ42  	tǝ̃42  	tǝn42  	tɯ42  	tɯ42  	  	  	  	  	  	  	  	  	   
1254	tro4  	0	wear (a bracelet)  	tiu42  	tsu24  	tju55  	tɕu55  	ʈu55  	tsou44  	tʂou33  	  	tso44  	  	  	  	  	  	  	  	  	   
1256	be2  	0	to block (the wind)  	bi33  	bi22  	(ta22tsuE24)  	dʑyi22  	dʑyẽ22  	(tɑ̃31)  	(tã42)  	(la55)  	pɛ22  	  	  	  	  	  	  	  	  	   
1263	tɯ4  	0	get; acquire  	tɯ42  	ti24  	tǝ55  	tɯ44  	tɯ55  	tǝ44  	tjɯ44  	tɯ44  	tǝɯ44  	  	  	  	  	  	  	  	  	   
1264	djɯ2  	0	wait  	tɯ42  	ti24  	tǝ55  	tɯ44  	tɯ55  	tǝ44  	tjɯ44  	tɯ44  	tǝɯ44  	  	  	  	  	  	  	  	  	   
1265	'earth' + 'wag'  	0	earth quake  	ʑi21ʐu21  	dʑi21ju24  	da43dʑi43ju43  	do42tɕi21ju42  	da42tɕi21u42  	tɕi31ju31  	tɕi21ju31  	  	ti31ju31  	  	  	  	  	  	  	  	  	   
1269	ʂu1(a)  	0	to burn  	  	ɕy55  	  	  	  	  	ʂu55  	su55  	sv55  	  	  	  	  	  	  	  	  	   
1269	nji2(b)  	0	to burn  	jen33  	  	(xu24)  	(fi22pɛ22)  	(fv55ji55)  	jĩ33  	  	ɲiɯ33  	  	  	  	  	  	  	  	  	  	   
1274	dua4  	0	to drop  	(u42?)  	tɕɛ24  	dua21  	tua42  	tua42  	tuɑ42  	(nɚ31)  	tua42  	(dʑiaŋ21)  	  	  	  	  	  	  	  	  	   
1287	ʁɯ4  	0	read  	ɣɯ42  	ʁe21  	ʁɯ21  	ɣɯ42  	ɣɯ42  	ɣǝ42  	ɣɯ42  	ɣɯ42  	[tʰou42]  	  	  	  	  	  	  	  	  	   
1298	tɕɯ1  	0	be hungry  	tɕiɯ55qʰɔ42  	tɕi22qʰa55  	tɕiɯ24qʰa55  	tɕʰi55qʰo44  	tɕi55qʰa44  	(ŋõ42)  	tɕi35kʰa44  	(fu44xua55)  	tɕi55kʰa44  	  	  	  	  	  	  	  	  	   
1318	pje1  	0	fly  	fɚ55  	pfu55  	fE24  	xuɛ55  	fi55  	fv55  	fv35  	fv35  	pi55  	  	  	  	  	  	  	  	  	   
1319	pjen1  	0	divide; share (things)  	fɚ55  	pfũ55  	fE24  	xuɛ55  	so55fi55  	fṽ55  	fṽ35  	fv35  	pien55  	  	  	  	  	  	  	  	  	   
1332	tʰa4  	0	pull (a quilt over oneself)  	tʰɔ42  	tʰa24  	tʰua55  	tʰo55  	tʰa55  	tʰɑ44  	tʰa44  	tʰa55  	(pɛ42)  	  	  	  	  	  	  	  	  	   
1339	sʰræ4  	0	cut (meat)  	ɕa42  	sæ24  	ɕiæ55  	ɕa44  	ɕa55qa21  	sa44  	ʂʰɚ44  	sɛ44  	sɚ44  	  	  	  	  	  	  	  	  	   
1343	qæ4  	0	be on the other side of (a river)  	qa42  	qæ24  	qæ55  	qa42  	qa55  	ka44  	kɚ44  	kɛ55  	kɚ44  	  	  	  	  	  	  	  	  	   
1345	zɯ3  	0	give  	zi21  	zi42  	tsɿ43  	zi42  	zi42  	si31  	zi21  	zɯ42  	zǝɯ21  	  	  	  	  	  	  	  	  	   
1347	tso4  	0	plough; till  	tsu42  	tsu24  	tsu55  	  	tso55  	tsou44  	tsou33  	  	tso44  	  	  	  	  	  	  	  	  	   
1348	qɯ1  	0	to hook  	qɚ55  	  	qɯ24  	qɯ55  	qɯ55  	kɯ55  	kɯ35  	[kɯ55]  	kʰv55  	  	  	  	  	  	  	  	  	   
1357	noŋ5  	0	to pen in (sheep)  	noŋ21  	noŋ42  	no43  	nõ42  	noŋ42  	nṽ42  	u33  	no42  	[kǝɯ21]  	  	  	  	  	  	  	  	  	   
