DOCULECT	SOURCE	CLPA	STRUCTURE	NOTE
Yangzhou	iĩ	i ĩ ∼	m n c	
Yangzhou	iɑŋ	i ɑ ŋ	m n c	
Yangzhou	iŋ	i ŋ	n c	
Yangzhou	ioŋ	i o ŋ	m n c	
Yangzhou	iɑʔ	i ɑ ʔ	m n c	
Yangzhou	iæʔ	i æ ʔ	m n c	
Yangzhou	iəʔ	i ə ʔ	m n c	
Yangzhou	ioʔ	i o ʔ	m n c	
Yangzhou	u	u	n	
Yangzhou	uɑ	u ɑ	m n	
Yangzhou	uɛ	u ɛ	m n	
Yangzhou	uəi	u ə i	m n N	
Yangzhou	uə̃	u ə̃ ∼	m n c	
Yangzhou	uɑŋ	u ɑ ŋ	m n c	
Yangzhou	uəŋ	u ə ŋ	m n c	
Yangzhou	uɑʔ	u ɑ ʔ	m n c	
Yangzhou	uæʔ	u æ ʔ	m n c	
Yangzhou	uəʔ	u ə ʔ	m n c	
Yangzhou	ʏ	ʏ	n	
Yangzhou	yĩ	y ĩ ∼	m n c	
Yangzhou	yəŋ	y ə ŋ	m n c	
Yangzhou	yəʔ	y ə ʔ	m n c	
Yangzhou	³¹	³¹	t/ip	
Yangzhou	³⁴	³⁴	t/ap	
Yangzhou	⁴²	⁴²	t/s	
Yangzhou	⁵⁵	⁵⁵	t/q	
Yangzhou	⁴	⁴	t/r	
Kunming	p	p	i	
Kunming	p’	pʰ	i	
Kunming	m	m	i	
Kunming	f	f	i	
Kunming	t	t	i	
Kunming	t’	tʰ	i	
Kunming	n	n	i	
Kunming	l	l	i	
Kunming	ts	ts	i	
Kunming	ts’	tsʰ	i	
Kunming	s	s	i	
Kunming	tʂ	ʈʂ	i	
Kunming	tʂ’	ʈʂʰ	i	
Kunming	ʂ	ʂ	i	
Kunming	ʐ	ʐ	i	
Kunming	tɕ	tɕ	i	
Kunming	tɕ’	tɕʰ	i	
Kunming	ɕ	ɕ	i	
Kunming	k	k	i	
Kunming	k’	kʰ	i	
Kunming	x	x	i	
Kunming	Ø	NULL	i	
Kunming	ɿ	ɿ	n	
Kunming	ʅ	ʅ	n	
Kunming	a	a	n	
Kunming	ɛ	ɛ	n	
Kunming	e	e	n	
Kunming	o	o	n	
Kunming	ə	ə	n	
Kunming	au	a u	n N	
Kunming	əu	ə u	n N	
Kunming	ã	ã ∼	n c	
Kunming	ə̃	ə̃ ∼	n c	
Kunming	oŋ	o ŋ	n c	
Kunming	i	i	n	
Kunming	ia	i a	m n	
Kunming	iɛ	i ɛ	m n	
Kunming	ie	i e	m n	
Kunming	io	i o	m n	
Kunming	iau	i a u	m n N	
Kunming	iã	i ã ∼	n m c	
Kunming	ĩ	ĩ ∼	n c	
Kunming	ioŋ	i o ŋ	m n c	
Kunming	u	u	n	
Kunming	ua	u a	m n	
Kunming	uɛ	u ɛ	m n	
Kunming	ue	u e	m n	
Kunming	uo	u o	m n	
Kunming	uã	u ã ∼	m n c	
Kunming	uə̃	u ə̃ ∼	m n c	
Kunming	⁴⁴	⁴⁴	t/ip	
Kunming	³¹	³¹	t/ap	
Kunming	⁵³	⁵³	t/s	
Kunming	¹³	¹³	t/q	
Wenzhou	p	p	i	
Wenzhou	p’	pʰ	i	
Wenzhou	b	b	i	
Wenzhou	m	m	i	
Wenzhou	f	f	i	
Wenzhou	v	v	i	
Wenzhou	t	t	i	
Wenzhou	t’	tʰ	i	
Wenzhou	d	d	i	
Wenzhou	n	n	i	
Wenzhou	l	l	i	
Wenzhou	ts	ts	i	
Wenzhou	ts’	tsʰ	i	
Wenzhou	dz	dz	i	
Wenzhou	s	s	i	
Wenzhou	z	z	i	
Wenzhou	tɕ	tɕ	i	
Wenzhou	tɕ’	tɕʰ	i	
Wenzhou	dʑ	dʑ	i	
Wenzhou	ȵ	ɲ	i	
Wenzhou	ɕ	ɕ	i	
Wenzhou	k	k	i	
Wenzhou	k’	kʰ	i	
Wenzhou	g	g	i	
Wenzhou	ŋ	ŋ	i	
Wenzhou	h	h	i	
Wenzhou	ɦ	ɦ	i	
Wenzhou	Ø	NULL	i	
Wenzhou	ɿ	ɿ	n	
Wenzhou	a	a	n	
Wenzhou	o	o	n	
Wenzhou	ɜ	ɜ	n	
Wenzhou	ø	ø	n	
Wenzhou	ᴇ	ᴇ	n	
Wenzhou	ɛ	ɛ	n	
Wenzhou	ai	a i	n N	
Wenzhou	ei	e i	n N	
Wenzhou	au	a u	n N	
Wenzhou	əu	ə u	n N	
Wenzhou	øy	ø y	n N	
Wenzhou	aŋ	a ŋ	n c	
Wenzhou	oŋ	o ŋ	n c	
Wenzhou	əŋ	ə ŋ	n c	
Wenzhou	i	i	n	
Wenzhou	ia	i a	m n	
Wenzhou	iɛ	i ɛ	m n	
Wenzhou	iai	i a i	m n N	
Wenzhou	iau	i a u	m n N	
Wenzhou	iu	i u	m n	
Wenzhou	iaŋ	i a ŋ	m n c	
Wenzhou	u	u	n	
Wenzhou	ua	u a	m n	
Wenzhou	uɔ	u ɔ	m n	
Wenzhou	uai	u a i	m n N	
Wenzhou	y	y	n	
Wenzhou	yɔ	y ɔ	m n	
Wenzhou	yo	y o	m n	
Wenzhou	yoŋ	y o ŋ	m n c	
Wenzhou	m̩	m̩ ∼	n c	
Wenzhou	n̩	n̩ ∼	n c	
Wenzhou	ŋ̍	ŋ̍ ∼	n c	
Wenzhou	⁴⁴	⁴⁴	t/ip	
Wenzhou	³¹	³¹	t/ap	
Wenzhou	⁴⁵	⁴⁵	t/is	
Wenzhou	²⁴	²⁴	t/as	
Wenzhou	⁴²	⁴²	t/iq	
Wenzhou	¹¹	¹¹	t/aq	
Wenzhou	²³	²³	t/ir	
Wenzhou	¹²	¹²	t/ar	
Changsha	p	p	i	
Changsha	p’	pʰ	i	
Changsha	m	m	i	
Changsha	f	f	i	
Changsha	t	t	i	
Changsha	t’	tʰ	i	
Changsha	n	l	i	
Changsha	ts	ts	i	
Changsha	ts’	tsʰ	i	
Changsha	s	s	i	
Changsha	z	z	i	
Changsha	tɕ	tɕ	i	
Changsha	tɕ’	tɕʰ	i	
Changsha	ȵ	ɲ	i	
Changsha	ɕ	ɕ	i	
Changsha	k	k	i	
Changsha	k’	kʰ	i	
Changsha	ŋ	ŋ	i	
Changsha	x	x	i	
Changsha	Ø	NULL	i	
Changsha	ɿ	ɿ	n	
Changsha	a	a	n	
Changsha	o	o	n	
Changsha	ə	ə	n	
Changsha	ai	a i	n N	
Changsha	ei	e i	n N	
Changsha	au	a u	n N	
Changsha	əu	ə u	n N	
Changsha	ɔ̃	ɔ̃ ∼	n c	
Changsha	an	a n	n c	
Changsha	ɤn	ɤ n	n c	
Changsha	ən	ə n	n c	
Changsha	i	i	n	
Changsha	ia	i a	m n	
Changsha	io	i o	m n	
Changsha	ie	i e	m n	
Changsha	iau	i a u	m n N	
Changsha	iəu	i ə u	m n N	
Changsha	ĩ	ĩ ∼	n c	
Changsha	ian	i a n	m n c	
Changsha	in	i n	n c	
Changsha	u	u	n	
Changsha	ua	u a	m n	
Changsha	uə	u ə	m n	
Changsha	uai	u a i	m n N	
Changsha	uei	u e i	m n N	
Changsha	uan	u a n	m n c	
Changsha	uən	u ə n	m n c	
Changsha	y	y	n	
Changsha	ya	y a	m n	
Changsha	ye	y e	m n	
Changsha	yai	y a i	m n N	
Changsha	yei	y e i	m n N	
Changsha	yẽ	y ẽ ∼	m n c	
Changsha	yan	y a n	m n c	
Changsha	yn	y n	n c	
Changsha	n̩	n̩ ∼	n c	
Changsha	³³	³³	t/ip	
Changsha	¹³	¹³	t/ap	
Changsha	⁴¹	⁴¹	t/s	
Changsha	⁵⁵	⁵⁵	t/iq	
Changsha	²¹	²¹	t/aq	
Changsha	²⁴	²⁴	t/r	
Chaozhou	p	p	i	
Chaozhou	p’	pʰ	i	
Chaozhou	b	b	i	
Chaozhou	m	m	i	
Chaozhou	t	t	i	
Chaozhou	t?	tʰ	i	
Chaozhou	n	n	i	
Chaozhou	l	l	i	
Chaozhou	ts	ts	i	
Chaozhou	ts’	tsʰ	i	
Chaozhou	s	s	i	
Chaozhou	z	z	i	
Chaozhou	k	k	i	
Chaozhou	k?	kʰ	i	
Chaozhou	g	g	i	
Chaozhou	ŋ	ŋ	i	
Chaozhou	h	h	i	
Chaozhou	Ø	NULL	i	
Chaozhou	ɿ	ɿ	n	
Chaozhou	a	a	n	
Chaozhou	o	o	n	
Chaozhou	e	e	n	
Chaozhou	ɯ	ɯ	n	
Chaozhou	ai	a i	n N	
Chaozhou	oi	o i	n N	
Chaozhou	au	a u	n N	
Chaozhou	ou	o u	n N	
Chaozhou	ã	ã ∼	n c	
Chaozhou	ẽ	ẽ ∼	n c	
Chaozhou	ãĩ	ã i ∼	n N c	
Chaozhou	õĩ	õ i ∼	n N c	
Chaozhou	ãũ	ã u ∼	n N c	
Chaozhou	õũ	õ u ∼	n N c	
