ID	DOCULECT	CONCEPT	CONCEPTICON_ID	VALUE	SEGMENTS	STRUCTURE	COGIDS
2612	Eryuan	able to	972	la⁴⁴	l a ⁴⁴	i n t	1280
2613	Heqing	able to	972	la⁴⁴	l a ⁴⁴	i n t	1280
2614	Lanping	able to	972	sũẽ³³	s u ẽ ∼ ³³	i m n c t	1279
2615	Qiliqiao	able to	972	te³³	t e ³³	i n t	1281
2616	Yunlong	able to	972	xue⁵⁵	x u e ⁵⁵	i m n t	1282
2617	Xiangyun	able to	972	la⁴⁴	l a ⁴⁴	i n t	1280
2618	Luobenzhuo	able to	972	qʰɤ³³	qʰ ɤ ³³	i n t	1283
2619	Zhoucheng	able to	972	tɛ³³	t ɛ ³³	i n t	1427
3952	Jianchuan	afterwards	2093	ɣɯ³³	ɣ ɯ ³³	i n t	1527
3953	Eryuan	afterwards	2093	ɣɯ³³	ɣ ɯ ³³	i n t	1527
3954	Heqing	afterwards	2093	ɣɯ³³	ɣ ɯ ³³	i n t	1527
3955	Lanping	afterwards	2093	ɣɯ³³	ɣ ɯ ³³	i n t	1527
3956	Qiliqiao	afterwards	2093	ɯ³³	ɯ ³³	n t	1527
3957	Yunlong	afterwards	2093	dɔ³¹xɯ⁴⁴	d ɔ ³¹ + x ɯ ⁴⁴	i n t + i n t	1528 1527
3958	Xiangyun	afterwards	2093	ɣou³³	ɣ o u ³³	i n c t	1527
3959	Luobenzhuo	afterwards	2093	tɯ̃³¹xɯ̃³³	t ɯ̃ ∼ ³¹ + x ɯ̃ ∼ ³³	i n c t + i n c t	1528 1527
3960	Zhoucheng	afterwards	2093	ɣɯ³³	ɣ ɯ ³³	i n t	1527
4015	Jianchuan	again	204	tse⁴⁴	ts e ⁴⁴	i n t	1557
4016	Eryuan	again	204	tse⁴⁴	ts e ⁴⁴	i n t	1557
4017	Heqing	again	204	tse⁵⁵	ts e ⁵⁵	i n t	1557
4018	Lanping	again	204	tse⁴²	ts e ⁴²	i n t	1557
4019	Qiliqiao	again	204	tse⁴⁴	ts e ⁴⁴	i n t	1557
4020	Yunlong	again	204	tsɛ⁴⁴	ts ɛ ⁴⁴	i n t	1557
4021	Xiangyun	again	204	tse⁴⁴	ts e ⁴⁴	i n t	1557
4022	Luobenzhuo	again	204	di⁴⁴	d i ⁴⁴	i n t	1557
4023	Zhoucheng	again	204	tse⁴⁴	ts e ⁴⁴	i n t	1557
1054	Jianchuan	alcohol (drink)	404	tsɤ̃³³	ts ɤ̃ ∼ ³³	i n c t	1
1055	Eryuan	alcohol (drink)	404	tsɤ³³	ts ɤ ³³	i n t	1
1056	Heqing	alcohol (drink)	404	tsũɔ̃³³	ts u ɔ̃ ∼ ³³	i m n c t	1
1057	Lanping	alcohol (drink)	404	tsõ⁴⁴	ts õ ∼ ⁴⁴	i n c t	1
1058	Qiliqiao	alcohol (drink)	404	tsɿ³³	ts ɿ ³³	i n t	1
1059	Yunlong	alcohol (drink)	404	dzɿ³³	dz ɿ ³³	i n t	1
1060	Xiangyun	alcohol (drink)	404	jɛ̃³³	j ɛ̃ ∼ ³³	i n c t	2
1061	Luobenzhuo	alcohol (drink)	404	tsõ³³	ts õ ∼ ³³	i n c t	1
1062	Zhoucheng	alcohol (drink)	404	tsɿ³³	ts ɿ ³³	i n t	1
3988	Jianchuan	all	98	tsa³⁵	ts a ³⁵	i n t	1546
3989	Eryuan	all	98	tɕʰɔ⁵⁵ku⁵⁵	tɕʰ ɔ ⁵⁵ + k u ⁵⁵	i n t + i n t	1547 1548
3990	Heqing	all	98	tsa³⁵ɕɯ⁵⁵	ts a ³⁵ + ɕ ɯ ⁵⁵	i n t + i n t	1546 1549
3991	Lanping	all	98	tɕʰɛ̃⁵⁵(tɯ³¹ku³³)	tɕʰ ɛ̃ ∼ ⁵⁵ + t ɯ ³¹ + k u ³³	i n c t + i n t + i n t	1547 1550 1548
3992	Qiliqiao	all	98	ji³⁵so³¹	j i ³⁵ + s o ³¹	i n t + i n t	1551 1552
3993	Yunlong	all	98	tsa⁵⁵tɕʰi³¹	ts a ⁵⁵ + tɕʰ i ³¹	i n t + i n t	1546 1553
3994	Xiangyun	all	98	tɕʰuɛ⁵⁵	tɕʰ u ɛ ⁵⁵	i m n t	1554
3995	Luobenzhuo	all	98	da⁵⁵tɕã³¹	d a ⁵⁵ + tɕ ã ∼ ³¹	i n t + i n c t	1555 1556
3996	Zhoucheng	all	98	tu⁵⁵	t u ⁵⁵	i n t	1561
595	Jianchuan	ancestor	1669	to⁵⁵po⁵⁵	t o ⁵⁵ + p o ⁵⁵	i n t + i n t	884 885
596	Eryuan	ancestor	1669	tɔ³⁵pɔ³⁵	t ɔ ³⁵ + p ɔ ³⁵	i n t + i n t	884 885
597	Heqing	ancestor	1669	tɔu³⁵pɔu³⁵	t ɔ u ³⁵ + p ɔ u ³⁵	i n c t + i n c t	884 885
598	Lanping	ancestor	1669	tu⁵⁵pu⁵⁵	t u ⁵⁵ + p u ⁵⁵	i n t + i n t	884 885
599	Qiliqiao	ancestor	1669	tɔ³⁵pɔ³⁵	t ɔ ³⁵ + p ɔ ³⁵	i n t + i n t	884 885
600	Yunlong	ancestor	1669	tɯ³³pao³³	t ɯ ³³ + p a o ³³	i n t + i n c t	884 885
601	Xiangyun	ancestor	1669	tsu²¹kõ³⁵	ts u ²¹ + k õ ∼ ³⁵	i n t + i n c t	886 887
602	Luobenzhuo	ancestor	1669	sɿ⁵⁵pɤ⁵⁵	s ɿ ⁵⁵ + p ɤ ⁵⁵	i n t + i n t	888 885
603	Zhoucheng	ancestor	1669	tɔ³⁵pɔ³⁵	t ɔ ³⁵ + p ɔ ³⁵	i n t + i n t	884 885
2458	Jianchuan	angry	1826	xu³¹kʰɯ³³	x u ³¹ + kʰ ɯ ³³	i n t + i n t	1248 1249
2459	Eryuan	angry	1826	xɔ³¹kʰɯ³³	x ɔ ³¹ + kʰ ɯ ³³	i n t + i n t	1248 1249
2460	Heqing	angry	1826	kuɔ⁴⁴fɛ⁴⁴	k u ɔ ⁴⁴ + f ɛ ⁴⁴	i m n t + i n t	1250 1251
2461	Lanping	angry	1826	xɔ³³kʰɯ⁴⁴	x ɔ ³³ + kʰ ɯ ⁴⁴	i n t + i n t	1248 1249
2462	Qiliqiao	angry	1826	xa⁴²kʰɯ³³	x a ⁴² + kʰ ɯ ³³	i n t + i n t	1248 1249
2463	Yunlong	angry	1826	tɕʰi³¹tsa³³	tɕʰ i ³¹ + ts a ³³	i n t + i n t	1252 1253
2464	Xiangyun	angry	1826	xue³³kʰou³³	x u e ³³ + kʰ o u ³³	i m n t + i n c t	1248 1249
2465	Luobenzhuo	angry	1826	xẽ⁵⁵tsẽ⁵⁵	x ẽ ∼ ⁵⁵ + ts ẽ ∼ ⁵⁵	i n c t + i n c t	1248 1254
2466	Zhoucheng	angry	1826	tsɿ⁴⁴	ts ɿ ⁴⁴	i n t	1562
1243	Jianchuan	animal faeces,dung	2057	tɕʰi⁵⁵	tɕʰ i ⁵⁵	i n t	1036
1244	Eryuan	animal faeces,dung	2057	tɕʰi⁵⁵	tɕʰ i ⁵⁵	i n t	1036
1245	Heqing	animal faeces,dung	2057	tɕʰi⁵⁵	tɕʰ i ⁵⁵	i n t	1036
1246	Lanping	animal faeces,dung	2057	tɕʰi⁵⁵	tɕʰ i ⁵⁵	i n t	1036
1247	Qiliqiao	animal faeces,dung	2057	tɕʰi⁵⁵	tɕʰ i ⁵⁵	i n t	1036
1248	Yunlong	animal faeces,dung	2057	tɕʰi⁵⁵	tɕʰ i ⁵⁵	i n t	1036
1249	Xiangyun	animal faeces,dung	2057	tɕʰi⁵⁵	tɕʰ i ⁵⁵	i n t	1036
1250	Luobenzhuo	animal faeces,dung	2057	ʂʅ³³	ʂ ʅ ³³	i n t	1037
1251	Zhoucheng	animal faeces,dung	2057	tɕʰi⁵⁵	tɕʰ i ⁵⁵	i n t	1036
982	Jianchuan	animal oil	1282	tsɿ⁵⁵	ts ɿ ⁵⁵	i n t	192
983	Eryuan	animal oil	1282	tsɿ³⁵	ts ɿ ³⁵	i n t	192
984	Heqing	animal oil	1282	tsɿ⁵⁵	ts ɿ ⁵⁵	i n t	192
985	Lanping	animal oil	1282	tsɿ⁵⁵	ts ɿ ⁵⁵	i n t	192
986	Qiliqiao	animal oil	1282	tsɿ³⁵	ts ɿ ³⁵	i n t	192
987	Yunlong	animal oil	1282	tsɿ³⁵	ts ɿ ³⁵	i n t	192
988	Xiangyun	animal oil	1282	tsɿ³⁵	ts ɿ ³⁵	i n t	192
989	Luobenzhuo	animal oil	1282	tʂʅ⁵⁵	tʂ ʅ ⁵⁵	i n t	192
990	Zhoucheng	animal oil	1282	tsɿ³⁵	ts ɿ ³⁵	i n t	192
2359	Jianchuan	answer	1275	ta⁵⁵jɯ̃⁴⁴	t a ⁵⁵ + j ɯ̃ ∼ ⁴⁴	i n t + i n c t	1215 1216
2360	Eryuan	answer	1275	ta³⁵jɯ⁴⁴	t a ³⁵ + j ɯ ⁴⁴	i n t + i n t	1215 1216
2361	Heqing	answer	1275	ta⁵⁵jɯ̃⁴⁴	t a ⁵⁵ + j ɯ̃ ∼ ⁴⁴	i n t + i n c t	1215 1216
2362	Lanping	answer	1275	ta³³pɯ⁵⁵tɔ̃³¹	t a ³³ + p ɯ ⁵⁵ + t ɔ̃ ∼ ³¹	i n t + i n t + i n c t	1215 1217 1218
2363	Qiliqiao	answer	1275	ta³⁵jo³³	t a ³⁵ + j o ³³	i n t + i n t	1215 1216
2364	Yunlong	answer	1275	ta³⁵jɯ⁴⁴	t a ³⁵ + j ɯ ⁴⁴	i n t + i n t	1215 1216
2365	Xiangyun	answer	1275	tã⁴²	t ã ∼ ⁴²	i n c t	1218
2366	Luobenzhuo	answer	1275	ti⁴⁴tõ²¹	t i ⁴⁴ + t õ ∼ ²¹	i n t + i n c t	1219 1218
2367	Zhoucheng	answer	1275	ta³⁵lɯ⁴⁴	t a ³⁵ + l ɯ ⁴⁴	i n t + i n t	1215 1563
4249	Jianchuan	ant	587	pĩ²¹po²¹tsɿ³³	p ĩ ∼ ²¹ + p o ²¹ + ts ɿ ³³	i n c t + i n t + i n t	3 4 5
4250	Eryuan	ant	587	pi²¹pɯ³¹	p i ²¹ + p ɯ ³¹	i n t + i n t	3 4
4251	Heqing	ant	587	pi²¹pɯ²¹tsɿ³³	p i ²¹ + p ɯ ²¹ + ts ɿ ³³	i n t + i n t + i n t	3 4 5
4252	Lanping	ant	587	pi³³pao³³tsɿ⁴⁴	p i ³³ + p a o ³³ + ts ɿ ⁴⁴	i n t + i n c t + i n t	3 4 5
4253	Qiliqiao	ant	587	pi²¹pɯ³¹	p i ²¹ + p ɯ ³¹	i n t + i n t	3 4
4254	Yunlong	ant	587	pi²¹pɯ³¹	p i ²¹ + p ɯ ³¹	i n t + i n t	3 4
4255	Xiangyun	ant	587	pi²¹pou²¹tsɿ³³	p i ²¹ + p o u ²¹ + ts ɿ ³³	i n t + i n c t + i n t	3 4 5
4256	Luobenzhuo	ant	587	tɕi³¹pɯ²¹	tɕ i ³¹ + p ɯ ²¹	i n t + i n t	1564 4
4257	Zhoucheng	ant	587	pi²¹pɯ³¹	p i ²¹ + p ɯ ³¹	i n t + i n t	3 4
793	Jianchuan	apron	2046	pe³³tɕi³¹	p e ³³ + tɕ i ³¹	i n t + i n t	923 924
794	Eryuan	apron	2046	pe³³se⁴⁴pɯ⁴⁴	p e ³³ + s e ⁴⁴ + p ɯ ⁴⁴	i n t + i n t + i n t	923 925 926
795	Heqing	apron	2046	u³⁵pɯ⁴⁴jɔ²¹	u ³⁵ + p ɯ ⁴⁴ + j ɔ ²¹	n t + i n t + i n t	927 1565 928
796	Lanping	apron	2046	pi³³tɕi³¹kʰo⁵⁵	p i ³³ + tɕ i ³¹ + kʰ o ⁵⁵	i n t + i n t + i n t	923 924 929
797	Qiliqiao	apron	2046	kʰɔ⁵⁵se⁴²	kʰ ɔ ⁵⁵ + s e ⁴²	i n t + i n t	930 925
798	Yunlong	apron	2046	wu³³tɕʰu³³	w u ³³ + tɕʰ u ³³	i n t + i n t	931 932
799	Xiangyun	apron	2046	ɣɔ³⁵tɕʰỹ⁵⁵	ɣ ɔ ³⁵ + tɕʰ ỹ ∼ ⁵⁵	i n t + i n c t	931 932
800	Luobenzhuo	apron	2046	tɕɤ³³pɯ⁵⁵	tɕ ɤ ³³ + p ɯ ⁵⁵	i n t + i n t	933 1565
801	Zhoucheng	apron	2046	we³⁵tɕʰɯ⁵⁵pɯ⁴⁴	w e ³⁵ + tɕʰ ɯ ⁵⁵ + p ɯ ⁴⁴	i n t + i n t + i n t	931 932 1565
2350	Jianchuan	ask	1309	piɛ⁴⁴	p i ɛ ⁴⁴	i m n t	6
2351	Eryuan	ask	1309	piɛ⁴⁴	p i ɛ ⁴⁴	i m n t	6
2352	Heqing	ask	1309	piɛ⁴⁴	p i ɛ ⁴⁴	i m n t	6
2353	Lanping	ask	1309	piɛ⁴⁴	p i ɛ ⁴⁴	i m n t	6
2354	Qiliqiao	ask	1309	piɛ⁴⁴	p i ɛ ⁴⁴	i m n t	6
2355	Yunlong	ask	1309	piɛ⁴⁴	p i ɛ ⁴⁴	i m n t	6
2356	Xiangyun	ask	1309	piɛ⁴⁴	p i ɛ ⁴⁴	i m n t	6
2357	Luobenzhuo	ask	1309	ʧua⁴⁴	ʧ u a ⁴⁴	i m n t	6
2358	Zhoucheng	ask	1309	piɛ⁴⁴	p i ɛ ⁴⁴	i m n t	6
3178	Jianchuan	bad	1292	xe⁴⁴	x e ⁴⁴	i n t	7
3179	Eryuan	bad	1292	xe⁴⁴	x e ⁴⁴	i n t	7
3180	Heqing	bad	1292	xe³³	x e ³³	i n t	7
3181	Lanping	bad	1292	xe⁴⁴	x e ⁴⁴	i n t	7
3182	Qiliqiao	bad	1292	xe⁴⁴	x e ⁴⁴	i n t	7
3183	Yunlong	bad	1292	xɛ³³	x ɛ ³³	i n t	7
3184	Xiangyun	bad	1292	xɛ⁴⁴	x ɛ ⁴⁴	i n t	7
3185	Luobenzhuo	bad	1292	ʈʰɯ³³	ʈʰ ɯ ³³	i n t	8
3186	Zhoucheng	bad	1292	tua³³	t u a ³³	i m n t	1566
4429	Jianchuan	bamboo	1927	tsɤ⁴⁴	ts ɤ ⁴⁴	i n t	9
4430	Eryuan	bamboo	1927	tʂɤ⁴⁴	tʂ ɤ ⁴⁴	i n t	9
4431	Heqing	bamboo	1927	tsuɔ⁴⁴	ts u ɔ ⁴⁴	i m n t	9
4432	Lanping	bamboo	1927	tsao⁵⁵tsɯ³³	ts a o ⁵⁵ + ts ɯ ³³	i n c t + i n t	9 10
4433	Qiliqiao	bamboo	1927	tsɤ⁴⁴	ts ɤ ⁴⁴	i n t	9
4434	Yunlong	bamboo	1927	tsɤ⁴⁴	ts ɤ ⁴⁴	i n t	9
4435	Xiangyun	bamboo	1927	tsɛ⁴⁴	ts ɛ ⁴⁴	i n t	9
4436	Luobenzhuo	bamboo	1927	tɕo⁵⁵ɖɯ³¹	tɕ o ⁵⁵ + ɖ ɯ ³¹	i n t + i n t	9 10
4437	Zhoucheng	bamboo	1927	tsɤ⁴⁴	ts ɤ ⁴⁴	i n t	9
847	Jianchuan	bamboo hat	2160	lou⁵⁵wa⁴⁴	l o u ⁵⁵ + w a ⁴⁴	i n c t + i n t	948 949
848	Eryuan	bamboo hat	2160	lɔ⁵⁵ja⁴⁴tɯ⁴²	l ɔ ⁵⁵ + j a ⁴⁴ + t ɯ ⁴²	i n t + i n t + i n t	948 950 951
849	Heqing	bamboo hat	2160	tɯ⁴²mɔu³³pʰi⁴²	t ɯ ⁴² + m ɔ u ³³ + pʰ i ⁴²	i n t + i n c t + i n t	951 952 953
850	Lanping	bamboo hat	2160	lo⁵⁵ja⁴⁴	l o ⁵⁵ + j a ⁴⁴	i n t + i n t	948 954
