ID	CHARACTER	SIMPLIFIED_CHARACTER	PINYIN	DOCULECT	DOCULECT_IN_SOURCE	READING	SEGMENTS	CONTEXT	CONCEPT	COGNATE_CLASS
3278	浪	浪	láng	Middle_Chinese	MC	lang	l a ŋ /¹	i n c t	(name of a river)	1640
3279	浪	浪	láng	Old_Chinese	OC	*rˁaŋ {*[r]ˁaŋ}	rˤ a ŋ	i n c	(name of a river)	1640
387	蔡	蔡	cài	Middle_Chinese	MC	tshajH	tsʰ a j /³	i n c t	(name of a state)	194
388	蔡	蔡	cài	Old_Chinese	OC	*s.r̥ˁat-s	s r̥ˤ a t s	P i n c S	(name of a state)	194
4925	沈	沈	shěn	Middle_Chinese	MC	syimX	ɕ i m /²	i n c t	(name of a state)	2464
4926	沈	沈	shěn	Old_Chinese	OC	*l̥əmʔ {*[l̥][ə]mʔ}	l̥ ə m ʔ	i n c C	(name of a state)	2464
4904	參	参	shēn	Middle_Chinese	MC	srim	ʂ i m /¹	i n c t	(name of constellation)	2453
4905	參	参	shēn	Old_Chinese	OC	*srum {*sr[u]m}	s r u m	i m n i	(name of constellation)	2453
1531	弗	弗	fú	Middle_Chinese	MC	pjut	p j u t /⁴	i m n c t	(negation)	766
1532	弗	弗	fú	Old_Chinese	OC	*put	p u t	i n c	(negation)	766
4650	人	人	rén	Middle_Chinese	MC	nyin	ɲ i n /¹	i n c t	(other) person	2326
4651	人	人	rén	Old_Chinese	OC	*niŋ	n i ŋ	i n c	(other) person	2326
7418	哉	哉	zāi	Middle_Chinese	MC	tsoj	ts o j /¹	i n c t	(particle)	3711
7419	哉	哉	zāi	Old_Chinese	OC	*tsˁə {*[ts]ˁə}	tsˤ ə	i n	(particle)	3711
3792	孟	孟	mèng	Middle_Chinese	MC	mængH	m æ ŋ /³	i n c t	(personal name)	1897
3793	孟	孟	mèng	Old_Chinese	OC	*mˁraŋ-s	mˤ r a ŋ s	i m n c S	(personal name)	1897
1917	媯	妫	guī	Middle_Chinese	MC	kjwe	k ɥ e /¹	i m n t	(place and family name)	959
1918	媯	妫	guī	Old_Chinese	OC	*C.qʷaj {*C.qʷ(r)aj}	/C qʷ a j	P i n c	(place and family name)	959
6026	郤	郤	xì	Middle_Chinese	MC	khjæk	kʰ j æ k /⁴	i m n c t	(place and family name)	3015
6027	郤	郤	xì	Old_Chinese	OC	*kʰrak {*[k]ʰrak}	kʰ r a k	i m n c	(place and family name)	3015
