ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
363	temple	911	TEMPLE
364	grave	1773	GRAVE
365	granary		
366	vegetable garden		
367	enclosure		
368	nest	539	NEST
369	scarf for the head / turban		
370	hat	771	HAT
371	hat (bamboo)		
372	earring	770	EARRING
373	bracelet	1754	BRACELET
374	wristwatch		
375	ring	1374	RING
376	clothes	1895	CLOTHES
377	sleeve		
378	raincoat (of leaves, hemp fibe		
379	pants / trousers	809	TROUSERS
380	skirt	1600	SKIRT
381	legging		
382	shoe	1381	SHOE
383	socks		
384	mosquito net		
385	quilt	2048	QUILT
386	mat	195	MAT
387	pillow	1044	PILLOW
388	cloth	1616	CLOTH
389	silk (cloth)	1641	SILK
390	rice (uncooked)		
391	flour	1594	FLOUR
392	rice (cooked)		
393	breakfast	1322	BREAKFAST
394	lunch	768	LUNCH
395	dinner	1833	DINNER (SUPPER)
396	gruel	1167	GRUEL
397	oil	1484	OIL (ORGANIC SUBSTANCE)
398	salt	1274	SALT
399	meat / flesh	634	MEAT
400	dish	481	DISH
401	soup	1547	SOUP
402	liquor	842	LIQUOR
403	noodles		
404	sugar	862	SUGAR
405	bran	2362	BRAN
406	husk	2501	RICE HUSK
407	feed	739	FEED
408	ax		
409	knife	1352	KNIFE
410	sickle	341	SICKLE
411	flail		
412	hoe	284	HOE
413	wedge		
414	plough	1921	PLOUGH
415	rake	338	RAKE
416	yoke	14	YOKE
417	loom	1787	LOOM
418	spade	1176	SPADE
419	saw	1948	SAW
420	needle	1382	NEEDLE (FOR SEWING)
421	thread	1161	THREAD
422	rope	1218	ROPE
423	gun	1566	GUN
424	cannon		
425	bullet	1114	BULLET
426	gunpowder	1798	GUNPOWDER
427	bow (weapon)	994	BOW
428	arrow	977	ARROW
429	stick	1295	STICK
430	whip	2630	WHIP
431	saddle		
432	dustpan / winnowing sieve	2051	DUSTPAN
433	sieve	86	SIEVE
434	mill	636	MILL
435	pestle	225	PESTLE
436	mortar		
437	basket (bamboo, large)	1539	BASKET
438	lock	1596	LOCK
439	key	1472	KEY
440	broom	245	BROOM
441	pot / wok	1462	POT
442	lid	2319	LID (COVER, CAP)
443	barrel / pail / bucket	2548	BARREL
444	hoop		
445	washbasin		
446	chopper		
447	bowl	1530	BOWL
448	chopsticks	1987	CHOPSTICKS
449	plate	480	PLATE
450	cup	476	CUP
451	bottle	1321	BOTTLE
452	table	1775	TABLE
453	chair	1476	CHAIR
454	stool	2058	STOOL
455	bed	1663	BED
456	ladder	1464	LADDER
457	trunk / box	1465	BOX
458	mirror	1171	MIRROR
459	comb	1475	COMB
460	scissors	1328	SCISSORS
461	brush	1821	BRUSH
462	soap	788	SOAP
463	lamp	625	LAMP
464	candle	1273	CANDLE
465	match	1133	MATCH
466	steelyard		
467	metal weight on steelyard		
468	firewood	10	FIREWOOD
469	wood	1803	WOOD
470	fertilizer		
471	dung / manure	2057	DUNG (ANIMAL FAECES)
472	ashes		
473	garbage	909	GARBAGE
474	road / way	667	ROAD
475	railroad		
476	highway		
