ID	LID	DOCULECT	CONCEPT	CONCEPT_ID	CHINESE	CONCEPTICON_ID	VALUE	CROSSREF	PARTIAL_IDS	TOKENS
3688	Allen2007-3688	Xiangyun	CLS for rope	468	条（绳子）	2084	tɕɛ⁴⁴	7665	1433	tɕ ɛ ⁴⁴
3689	Allen2007-3689	Luobenzhuo	CLS for rope	468	条（绳子）	2084	tʂæ⁵⁵	7666	1433	tʂ æ ⁵⁵
3690	Allen2007-3690	Zhoucheng	CLS for rope	468	条（绳子）	2084	ɲɯ³²	0	1432	ɲ ɯ ³²
3691	Allen2007-3691	Jianchuan	CLS for stick	469	根（棍）	2085	kua⁴⁴	7667	1434	k u a ⁴⁴
3692	Allen2007-3692	Eryuan	CLS for stick	469	根（棍）	2085	kua⁴⁴	7668	1434	k u a ⁴⁴
3693	Allen2007-3693	Heqing	CLS for stick	469	根（棍）	2085	kua⁴⁴	7669	1434	k u a ⁴⁴
3694	Allen2007-3694	Lanping	CLS for stick	469	根（棍）	2085	kua⁴⁴	7670	1434	k u a ⁴⁴
3695	Allen2007-3695	Qiliqiao	CLS for stick	469	根（棍）	2085	kua⁴⁴	7671	1434	k u a ⁴⁴
3696	Allen2007-3696	Yunlong	CLS for stick	469	根（棍）	2085	kua⁴⁴	7672	1434	k u a ⁴⁴
3697	Allen2007-3697	Xiangyun	CLS for stick	469	根（棍）	2085	kua⁴⁴	7673	1434	k u a ⁴⁴
3698	Allen2007-3698	Luobenzhuo	CLS for stick	469	根（棍）	2085	qua⁵⁵	7674	1434	q u a ⁵⁵
3699	Allen2007-3699	Zhoucheng	CLS for stick	469	根（棍）	2085	kua⁴⁴	0	1434	k u a ⁴⁴
3745	Allen2007-3745	Jianchuan	I(1 p.s.)	474	我	1209	ŋo³¹	1556	223	ŋ o ³¹
3746	Allen2007-3746	Eryuan	I(1 p.s.)	474	我	1209	ŋɔ³¹	1557	223	ŋ ɔ ³¹
3747	Allen2007-3747	Heqing	I(1 p.s.)	474	我	1209	ŋɔ³¹	1558	223	ŋ ɔ ³¹
3748	Allen2007-3748	Lanping	I(1 p.s.)	474	我	1209	ŋɔ̃³¹	1559	223	ŋ ɔ̃ ³¹
3749	Allen2007-3749	Qiliqiao	I(1 p.s.)	474	我	1209	ŋɔ³¹	1560	223	ŋ ɔ ³¹
3750	Allen2007-3750	Yunlong	I(1 p.s.)	474	我	1209	ŋɔ³¹	1561	223	ŋ ɔ ³¹
3751	Allen2007-3751	Xiangyun	I(1 p.s.)	474	我	1209	ŋɔ³¹	1562	223	ŋ ɔ ³¹
3752	Allen2007-3752	Luobenzhuo	I(1 p.s.)	474	我	1209	ɴɔ⁴²	1563	223	ɴ ɔ ⁴²
3753	Allen2007-3753	Zhoucheng	I(1 p.s.)	474	我	1209	ŋɔ³¹	0	223	ŋ ɔ ³¹
2611	Allen2007-2611	Jianchuan	able to	360	会	972	sẽ³³	7243	1279	s ẽ ³³
2612	Allen2007-2612	Eryuan	able to	360	会	972	la⁴⁴	7244	1280	l a ⁴⁴
2613	Allen2007-2613	Heqing	able to	360	会	972	la⁴⁴	7245	1280	l a ⁴⁴
2614	Allen2007-2614	Lanping	able to	360	会	972	sũẽ³³	7246	1279	s ũ ẽ ³³
2615	Allen2007-2615	Qiliqiao	able to	360	会	972	te³³	7247	1281	t e ³³
2616	Allen2007-2616	Yunlong	able to	360	会	972	xue⁵⁵	7248	1282	x u e ⁵⁵
2617	Allen2007-2617	Xiangyun	able to	360	会	972	la⁴⁴	7249	1280	l a ⁴⁴
2618	Allen2007-2618	Luobenzhuo	able to	360	会	972	qʰɤ³³	7250	1283	qʰ ɤ ³³
2619	Allen2007-2619	Zhoucheng	able to	360	会	972	tɛ³³	0	1427	t ɛ ³³
3952	Allen2007-3952	Jianchuan	afterwards	495	后	2093	ɣɯ³³	7833	1527	ɣ ɯ ³³
3953	Allen2007-3953	Eryuan	afterwards	495	后	2093	ɣɯ³³	7834	1527	ɣ ɯ ³³
3954	Allen2007-3954	Heqing	afterwards	495	后	2093	ɣɯ³³	7835	1527	ɣ ɯ ³³
3955	Allen2007-3955	Lanping	afterwards	495	后	2093	ɣɯ³³	7836	1527	ɣ ɯ ³³
3956	Allen2007-3956	Qiliqiao	afterwards	495	后	2093	ɯ³³	7837	1527	ɯ ³³
3957	Allen2007-3957	Yunlong	afterwards	495	后	2093	dɔ³¹xɯ⁴⁴	7838	1528 1527	d ɔ ³¹ x ɯ ⁴⁴
3958	Allen2007-3958	Xiangyun	afterwards	495	后	2093	ɣou³³	7839	1527	ɣ o u ³³
3959	Allen2007-3959	Luobenzhuo	afterwards	495	后	2093	tɯ̃³¹xɯ̃³³	7840	1528 1527	t ɯ̃ ³¹ x ɯ̃ ³³
3960	Allen2007-3960	Zhoucheng	afterwards	495	后	2093	ɣɯ³³	0	1527	ɣ ɯ ³³
4015	Allen2007-4015	Jianchuan	again	500	再	204	tse⁴⁴	7873	1557	ts e ⁴⁴
4016	Allen2007-4016	Eryuan	again	500	再	204	tse⁴⁴	7874	1557	ts e ⁴⁴
4017	Allen2007-4017	Heqing	again	500	再	204	tse⁵⁵	7875	1557	ts e ⁵⁵
4018	Allen2007-4018	Lanping	again	500	再	204	tse⁴²	7876	1557	ts e ⁴²
4019	Allen2007-4019	Qiliqiao	again	500	再	204	tse⁴⁴	7877	1557	ts e ⁴⁴
4020	Allen2007-4020	Yunlong	again	500	再	204	tsɛ⁴⁴	7878	1557	ts ɛ ⁴⁴
4021	Allen2007-4021	Xiangyun	again	500	再	204	tse⁴⁴	7879	1557	ts e ⁴⁴
4022	Allen2007-4022	Luobenzhuo	again	500	再	204	di⁴⁴	7880	1557	d i ⁴⁴
4023	Allen2007-4023	Zhoucheng	again	500	再	204	tse⁴⁴	0	1557	ts e ⁴⁴
1054	Allen2007-1054	Jianchuan	alcohol (drink)	204	酒	404	tsɤ̃³³	10	1	ts ɤ̃ ³³
1055	Allen2007-1055	Eryuan	alcohol (drink)	204	酒	404	tsɤ³³	11	1	ts ɤ ³³
1056	Allen2007-1056	Heqing	alcohol (drink)	204	酒	404	tsũɔ̃³³	12	1	ts ũ ɔ̃ ³³
1057	Allen2007-1057	Lanping	alcohol (drink)	204	酒	404	tsõ⁴⁴	13	1	ts õ ⁴⁴
1058	Allen2007-1058	Qiliqiao	alcohol (drink)	204	酒	404	tsɿ³³	14	1	ts ɿ ³³
1059	Allen2007-1059	Yunlong	alcohol (drink)	204	酒	404	dzɿ³³	15	1	dz ɿ ³³
1060	Allen2007-1060	Xiangyun	alcohol (drink)	204	酒	404	jɛ̃³³	16	2	j ɛ̃ ³³
1061	Allen2007-1061	Luobenzhuo	alcohol (drink)	204	酒	404	tsõ³³	17	1	ts õ ³³
1062	Allen2007-1062	Zhoucheng	alcohol (drink)	204	酒	404	tsɿ³³	0	1	ts ɿ ³³
3988	Allen2007-3988	Jianchuan	all	499	都	98	tsa³⁵	7865	1546	ts a ³⁵
3989	Allen2007-3989	Eryuan	all	499	都	98	tɕʰɔ⁵⁵ku⁵⁵	7866	1547 1548	tɕʰ ɔ ⁵⁵ k u ⁵⁵
3990	Allen2007-3990	Heqing	all	499	都	98	tsa³⁵ɕɯ⁵⁵	7867	1546 1549	ts a ³⁵ ɕ ɯ ⁵⁵
3991	Allen2007-3991	Lanping	all	499	都	98	tɕʰɛ̃⁵⁵(tɯ³¹ku³³)	7868	1547 1550 1548	tɕʰ ɛ̃ ⁵⁵ ( t ɯ ³¹ k u ³³ )
3992	Allen2007-3992	Qiliqiao	all	499	都	98	ji³⁵so³¹	7869	1551 1552	j i ³⁵ s o ³¹
3993	Allen2007-3993	Yunlong	all	499	都	98	tsa⁵⁵tɕʰi³¹	7870	1546 1553	ts a ⁵⁵ tɕʰ i ³¹
3994	Allen2007-3994	Xiangyun	all	499	都	98	tɕʰuɛ⁵⁵	7871	1554	tɕʰ u ɛ ⁵⁵
3995	Allen2007-3995	Luobenzhuo	all	499	都	98	da⁵⁵tɕã³¹	7872	1555 1556	d a ⁵⁵ tɕ ã ³¹
3996	Allen2007-3996	Zhoucheng	all	499	都	98	tu⁵⁵	0	1561	t u ⁵⁵
595	Allen2007-595	Jianchuan	ancestor	159	祖宗	1669	to⁵⁵po⁵⁵	6347	884 885	t o ⁵⁵ p o ⁵⁵
596	Allen2007-596	Eryuan	ancestor	159	祖宗	1669	tɔ³⁵pɔ³⁵	6348	884 885	t ɔ ³⁵ p ɔ ³⁵
597	Allen2007-597	Heqing	ancestor	159	祖宗	1669	tɔu³⁵pɔu³⁵	6349	884 885	t ɔ u ³⁵ p ɔ u ³⁵
598	Allen2007-598	Lanping	ancestor	159	祖宗	1669	tu⁵⁵pu⁵⁵	6350	884 885	t u ⁵⁵ p u ⁵⁵
599	Allen2007-599	Qiliqiao	ancestor	159	祖宗	1669	tɔ³⁵pɔ³⁵	6351	884 885	t ɔ ³⁵ p ɔ ³⁵
600	Allen2007-600	Yunlong	ancestor	159	祖宗	1669	tɯ³³pao³³	6352	884 885	t ɯ ³³ p a o ³³
601	Allen2007-601	Xiangyun	ancestor	159	祖宗	1669	tsu²¹kõ³⁵	6353	886 887	ts u ²¹ k õ ³⁵
602	Allen2007-602	Luobenzhuo	ancestor	159	祖宗	1669	sɿ⁵⁵pɤ⁵⁵	6354	888 885	s ɿ ⁵⁵ p ɤ ⁵⁵
603	Allen2007-603	Zhoucheng	ancestor	159	祖宗	1669	tɔ³⁵pɔ³⁵	0	884 885	t ɔ ³⁵ p ɔ ³⁵
2458	Allen2007-2458	Jianchuan	angry	345	生气	1826	xu³¹kʰɯ³³	7163	1248 1249	x u ³¹ kʰ ɯ ³³
2459	Allen2007-2459	Eryuan	angry	345	生气	1826	xɔ³¹kʰɯ³³	7164	1248 1249	x ɔ ³¹ kʰ ɯ ³³
2460	Allen2007-2460	Heqing	angry	345	生气	1826	kuɔ⁴⁴fɛ⁴⁴	7165	1250 1251	k u ɔ ⁴⁴ f ɛ ⁴⁴
