Character	Beijing	Changsha	Chengdu	Fuzhou	Guangzhou	Guiyang	Haerbin	Haikou	Hangzhou	Hefei	Huhehaote	Jian_ou	Jinan	Kunming	Lanzhou	Meixian	Nanchang	Nanjing	Nanning	Pingyao	Qingdao	Shanghai	Shantou	Shexian	Suzhou	Taibei	Taiyuan	Taoyuan	Tianjin	Tunxi	Wenzhou	Wuhan	Wulumuqi	Xi_an	Xiamen	Xianggang	Xiangtan	Xining	Yinchuan	Zhengzhou
师	1	2	2	1	0	1	1	0	1	0	2	1	1	1	1	2	1	1	0	0	1	1	1	1	1	1	2	0	1	1	4	1	0	0	2	1	2	1	1	1
淡	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	2	1	1	1	1	0
闪	1	1	1	0	1	2	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	3	0	1	1	0	2	1	0	0	1	1	0	1	1	1	1	2
雹	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1
午	3	1	4	0	3	2	0	1	1	1	3	0	4	1	2	0	1	1	0	2	1	2	0	1	1	0	2	0	1	2	0	2	5	1	3	3	2	4	5	3
鼠	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	2	2	1	1
宜	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
天	2	1	6	0	0	7	4	2	2	2	3	0	5	1	3	1	0	5	1	1	1	2	0	2	0	1	3	2	1	1	2	5	7	0	0	0	1	2	5	5
从	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1
只	1	4	1	2	4	1	1	0	3	1	0	0	1	1	0	1	5	1	1	0	0	3	2	3	3	3	0	2	1	3	1	1	1	0	3	4	3	0	1	1
叔	1	2	0	2	1	3	3	1	0	0	2	2	3	0	0	2	3	2	2	0	2	3	1	1	1	1	2	1	0	1	1	4	2	0	1	1	2	0	3	1
雀	1	1	2	0	1	2	1	0	0	0	3	0	2	2	1	0	2	1	1	3	1	1	1	1	1	0	2	0	1	1	2	2	1	1	0	1	2	1	4	0
酱	1	1	1	0	0	1	1	0	1	1	1	1	2	2	2	0	1	1	0	1	2	1	0	1	1	0	1	0	1	1	1	1	2	2	0	0	1	2	2	1
肚	2	2	2	0	2	1	3	0	1	0	1	0	1	3	1	2	2	2	2	1	1	0	0	0	2	0	1	6	2	2	1	2	1	0	0	1	3	2	3	2
腿	1	1	4	1	0	2	1	1	0	1	1	1	2	1	2	0	0	1	1	1	2	0	0	2	0	1	1	0	4	0	2	1	1	1	2	0	3	1	3	1
额	0	2	1	1	2	1	0	1	2	1	0	1	1	2	0	2	0	1	1	0	1	1	1	2	1	2	0	1	0	1	2	1	0	1	1	2	1	1	0	1
床	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1
节	4	2	2	2	1	0	2	2	0	2	0	2	1	1	1	2	2	6	0	0	0	4	1	4	5	3	0	1	2	2	1	0	0	2	6	1	2	0	2	2
净	1	1	1	0	2	1	2	0	1	0	3	0	1	1	1	1	2	1	1	2	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	2	0	1	1	1
姆	1	2	1	2	1	1	1	0	4	0	1	3	1	1	0	5	3	1	1	0	0	3	2	5	2	0	1	0	0	1	1	2	1	0	2	1	2	2	0	1
花	2	1	4	1	1	1	3	0	1	2	1	0	2	3	2	0	1	2	0	2	1	1	0	1	0	1	2	1	2	0	1	2	2	1	1	0	1	0	3	0
医	1	1	1	1	2	3	0	1	2	1	1	1	0	1	0	1	1	1	1	1	0	2	2	0	0	2	1	2	0	1	2	2	0	0	2	2	1	0	1	1
保	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1
结	1	0	1	1	1	2	0	2	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1
干	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	2	1	1	1	1	0	0	1	2	0	1	0	1	0	1	1	2	1	2	1	0	1	2	1
打	2	1	1	0	1	1	2	0	1	2	2	0	3	0	2	0	2	2	1	2	3	1	0	4	0	0	1	1	4	1	2	2	1	0	0	1	1	0	2	5
昨	1	2	1	1	0	1	1	2	0	2	1	1	1	1	2	0	1	3	0	0	0	2	0	2	1	1	0	1	1	1	1	2	1	0	1	0	2	0	2	1
意	1	1	0	2	0	2	1	1	0	1	0	0	1	2	1	2	0	2	0	1	0	1	0	1	1	2	2	0	1	2	1	1	1	1	3	0	2	1	1	1
亮	1	4	1	2	1	1	1	0	1	2	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1
伯	0	3	5	2	4	4	0	2	4	3	0	3	0	0	0	3	4	2	4	0	0	5	2	2	2	1	0	2	3	2	3	6	2	1	1	3	5	0	0	3
起	0	1	1	1	0	1	0	1	1	1	2	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	2	1	1	0	2	0	2	1	2	0
端	1	1	3	0	1	2	0	0	1	1	2	0	2	1	1	0	2	1	0	1	1	2	0	1	1	0	1	0	0	2	0	2	2	0	2	1	2	2	3	2
秋	1	1	2	1	1	0	0	1	0	1	1	2	1	1	0	2	2	2	0	0	0	2	1	2	1	1	0	0	0	2	1	1	1	0	3	1	2	0	1	1
拳	1	1	0	2	1	0	1	1	1	1	0	1	2	0	0	1	1	1	2	0	0	1	2	0	1	1	0	1	1	1	3	1	0	0	2	1	1	0	1	1
看	0	1	1	1	0	2	1	0	2	0	1	0	1	0	1	1	1	1	0	1	2	2	0	1	2	2	1	3	1	0	0	1	1	1	2	0	1	1	0	3
过	0	1	0	1	1	2	0	1	0	1	1	2	2	0	0	1	1	1	2	0	1	0	1	2	1	0	0	1	2	1	2	2	1	0	1	1	0	1	2	1
番	0	1	1	3	3	0	0	3	3	0	2	3	0	1	0	2	1	1	2	1	0	1	3	1	1	0	1	1	0	1	3	1	0	0	3	3	1	0	1	1
蚕	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	1	1
膝	0	2	1	0	2	1	0	0	1	1	2	0	0	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	0	2	1	1	0	2	2	1	1	1
期	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	2	2	2	1
去	1	2	3	3	0	2	1	1	0	1	0	1	2	1	0	0	0	1	1	1	1	1	3	1	0	0	1	0	2	0	1	1	1	0	1	0	2	0	1	1
当	2	0	2	0	0	1	2	1	2	0	2	0	2	0	3	0	1	1	0	4	1	2	0	1	1	0	4	0	3	2	4	1	2	1	0	0	3	4	3	2
厕	1	3	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	2	1	0	0	0	1	0	0	0	0	0	0	1	1	2	1	1	1	1	2	1	1	2
薯	1	1	0	2	2	1	0	2	2	1	1	3	0	1	0	2	2	0	2	1	0	0	2	0	2	2	1	2	0	0	1	0	1	0	0	2	2	1	2	1
洋	1	3	1	0	0	1	1	0	1	1	0	2	2	2	2	0	1	1	0	1	1	1	0	4	1	0	0	0	1	1	0	0	2	2	0	0	1	2	3	2
边	6	2	9	4	6	2	6	6	4	0	0	5	6	2	0	0	2	6	4	0	6	0	0	4	0	4	0	0	4	2	0	6	2	0	0	6	4	0	2	6
落	0	2	2	1	2	1	0	2	2	0	0	2	1	0	0	2	2	0	2	0	0	3	3	5	2	3	1	3	0	2	2	2	0	0	7	2	2	0	2	0
条	1	1	3	0	1	3	1	1	1	2	2	0	2	1	4	2	0	2	1	0	0	1	0	1	1	0	0	1	1	0	0	2	1	0	0	0	0	1	2	2
夜	0	1	1	0	0	1	0	2	2	0	4	0	1	0	0	1	2	0	1	1	1	2	0	2	2	0	3	1	1	2	2	1	2	1	0	0	1	2	0	1
哪	5	4	4	0	0	4	2	0	3	1	2	0	4	4	4	0	6	6	0	4	2	1	0	8	0	0	4	2	2	4	0	4	2	0	0	0	4	0	5	3
