ID	TAXA	TAXA_WITH_TONES	CHINESE_TAXA	GLOSS	PINYIN	NUMBER	READING	IPA	TOKENS	ALIGNMENT	PROTO	PROTO_TOKENS	BAXTER	ZGYY	COGID
64	Shexian	Shèxiàn	歙县	拔	fá	2	pʻa²²	pʰa²²	pʰ a ²²	pʰ - a - ²²	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
65	Wuhan	Wǔhàn	武汉	拔	fá	2	pa²¹³	pa²¹³	p a ²¹³	p - a - ²¹³	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
66	Shantou	Shàntóu	汕头	拔	fá	2	puak⁵poiɁ⁵	puak⁵	p u a k ⁵	p u a k ⁵	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
67	Jinan	Jìnán	济南	拔	fá	2	pa⁴²	pa⁴²	p a ⁴²	p - a - ⁴²	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
68	Haikou	Hǎikǒu	海口	拔	fá	2	Ɂbuak⁵Ɂbe³³	ʔbuak⁵	ʔb u a k ⁵	ʔb u a k ⁵	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
69	Wenzhou	Wēnzhōu	温州	拔	fá	2	bo²¹³	bo²¹³	b o ²¹³	b - o - ²¹³	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
70	Xiangtan	Xiāngtán	湘潭	拔	fá	2	pʻɒ²⁴	pʰɒ²⁴	pʰ ɒ ²⁴	pʰ - ɒ - ²⁴	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
71	Fuzhou	Fúzhōu	福州	拔	fá	2	pɛiɁ⁵	pɛiʔ⁵	p ɛi ʔ ⁵	p - ɛi ʔ ⁵	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
72	Suzhou	Sūzhōu	苏州	拔	fá	2	baɁ³	baʔ³	b a ʔ ³	b - a ʔ ³	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
73	Xining	Xīníng	西宁	拔	fá	2	pa²⁴	pa²⁴	p a ²⁴	p - a - ²⁴	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
74	Xian	Xīān	西安	拔	fá	2	pa²⁴	pa²⁴	p a ²⁴	p - a - ²⁴	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
75	Guiyang	Guìyáng	贵阳	拔	fá	2	pa²¹	pa²¹	p a ²¹	p - a - ²¹	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
76	Zhengzhou	Zhèngzhōu	郑州	拔	fá	2	pa⁴²	pa⁴²	p a ⁴²	p - a - ⁴²	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
77	Yinchuan	Yínchuān	银川	拔	fá	2	pa¹³	pa¹³	p a ¹³	p - a - ¹³	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
78	Changsha	Chángshā	长沙	拔	fá	2	pʻa²⁴	pʰa²⁴	pʰ a ²⁴	pʰ - a - ²⁴	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
79	Qingdao	Qīngdǎo	青岛	拔	fá	2	pa⁴²	pa⁴²	p a ⁴²	p - a - ⁴²	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
80	Xianggang	Xiānggǎng	香港	拔	fá	2	pɐt²	pɐt²	p ɐ t ²	p - ɐ t ²	bjot⁴	b j o t ⁴	bjot	山开二入黠並	2
81	Shanghai	Shànghǎi	上海	伐	fá	4	vaɁ¹	vaʔ¹	v a ʔ ¹	v - a ʔ ¹	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
82	Wulumuqi	Wūlǔmùqí	乌鲁木齐	伐	fá	4	fa⁵¹	fa⁵¹	f a ⁵¹	f - a - ⁵¹	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
83	Lanzhou	Lánzhōu	兰州	伐	fá	4	fa⁵³	fa⁵³	f a ⁵³	f - a - ⁵³	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
84	Beijing	Běijīng	北京	伐	fá	4	fa³⁵	fa³⁵	f a ³⁵	f - a - ³⁵	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
