# EDICTOR
@modified: 2015-11-25 16:1
@source: Hamed and Wang (2006)
#
ID	DOCULECT	CONCEPT	IPA	WANGID	PARTIAL
2778	Shanghai_B	breathe	呼吸	6	呼吸
2779	Xiamen	breathe	喘气	8	喘气
2780	Xiamen	breathe	SNG?55；嗍[指猛地吸气]	9	B
2781	Anyi	breathe	吸气	4	吸
2782	Anyi	breathe	透氣	10	透气
2783	Beijing	breathe	吸	4	吸
2784	Wenzhou	breathe	吸	4	吸
2785	Taibei	breathe	tshuan53 khui53 喘氣	8	喘气
2786	Wuhan	breathe	吸	4	吸
2787	Wuhan	breathe	呵	1	呵
2788	Wuhan	breathe	嗍	2	嗍
2789	Taiyuan	breathe	吸	4	吸
2790	Yuci	breathe	吸	4	吸
2791	Changsha	breathe	吸	4	吸
2792	Changsha	breathe	嗍	2	嗍
2793	Shuangfeng	breathe	呵	1	呵
2794	Shuangfeng	breathe	嗍	2	嗍
#
278	Guangzhou	burn	烧	1	烧
279	Suzhou	burn	烧	1	烧
280	Meixian	burn	烧	1	烧
281	Nanchang	burn	烧	1	烧
282	Fuzhou	burn	烧	1	烧
283	Ningxia	burn	烧	1	烧
284	Lianchang	burn	烧	1	烧
285	Ningbo	burn	烧	1	烧
286	Yingshan	burn	烧	1	烧
287	Chengdu	burn	烧	1	烧
288	Zhanping	burn	烧	1	烧
289	Shanghai	burn	烧	1	烧
290	Shanghai_B	burn	烧	1	烧
291	Xiamen	burn	烧	1	烧
292	Xiamen	burn	热	3	热
293	Anyi	burn	烧	1	烧
294	Beijing	burn	烧	1	烧
295	Beijing	burn	着	2	着
296	Wenzhou	burn	烧	1	烧
297	Taibei	burn	sio44燒	1	烧
298	Wuhan	burn	烧	1	烧
299	Taiyuan	burn	烧	1	烧
300	Yuci	burn	烧	1	烧
301	Changsha	burn	烧	1	烧
302	Shuangfeng	burn	烧	1	烧
#
2795	Guangzhou	child	细蚊*仔	17	细蚊仔
2796	Suzhou	child	小干*	16	小干
2797	Meixian	child	细人子	2a	细人子
2798	Nanchang	child	细人子	2a	细人子
2799	Nanchang	child	细伢子	11a	细伢子
2800	Fuzhou	child	伲囝	4	伲囝
2801	Fuzhou	child	伲囝哥	5c	伲囝哥
2802	Ningxia	child	娃娃	6d	娃娃
2803	Lianchang	child	细人	2	细人
2804	Ningbo	child	小人	1	小人
2805	Yingshan	child	[小]伢	8	小伢
2806	Chengdu	child	娃儿	6e	娃儿
2807	Zhanping	child	婴仔	7	婴仔
2808	Zhanping	child	囝仔	3	囝仔
2809	Shanghai	child	小人	1	小人
2810	Shanghai_B	child	小人	1	小人
2811	Xiamen	child	囝仔	3	囝仔
2812	Anyi	child	细人嘚	2b	细人嘚
2813	Beijing	child	小孩儿	12e	小孩儿
2814	Wenzhou	child	细儿	13	细儿
2815	Wenzhou	child	妹	14	妹
2816	Taibei	child	ginɫɜ aɫɜ 囝囝	15	囝囝
2817	Wuhan	child	[小]伢	8	小伢
2818	Taiyuan	child	[小]娃娃	6d	娃娃
2819	Taiyuan	child	[小]娃娃	a6d	小娃娃
2820	Yuci	child	[小]娃娃	6d	娃娃
2821	Yuci	child	[小]娃娃	a6d	小娃娃
2822	Changsha	child	细伢子	9	细伢子
2823	Shuangfeng	child	细人基*	10	细人基
#
303	Guangzhou	claw	爪	0	爪
304	Suzhou	claw	脚爪	{10}	脚爪
305	Meixian	claw	脚爪	{10}	脚爪
306	Nanchang	claw	爪子	0a	爪子
307	Nanchang	claw	脚爪子	{10}a	脚爪子
308	Fuzhou	claw	骹	4	骹
309	Ningxia	claw	爪子	0a	爪子
310	Lianchang	claw	脚指爪	{130}	脚指爪
311	Ningbo	claw	爪	0	爪
312	Yingshan	claw	爪子	0a	爪子
313	Chengdu	claw	爪	0	爪
314	Zhanping	claw	gio3	2	A
315	Shanghai	claw	脚爪	{10}	脚爪
316	Shanghai_B	claw	脚爪	{10}	脚爪
317	Xiamen	claw	爪仔	0a	爪子
318	Anyi	claw	脚爪	{10}	脚爪
319	Beijing	claw	爪子	0a	爪子
320	Beijing	claw	爪儿	0c	爪儿
321	Wenzhou	claw	[脚]爪	{(1)0}	脚爪
322	Wenzhou	claw	[脚]爪	{10}	爪
323	Taibei	claw	dziau53爪	0	爪
324	Wuhan	claw	爪子	0a	爪子
325	Taiyuan	claw	爪子	0a	爪子
326	Taiyuan	claw	爪爪	0b	爪爪
327	Yuci	claw	爪子	0a	爪子
328	Yuci	claw	爪爪	0b	爪爪
329	Changsha	claw	爪子	0a	爪子
330	Shuangfeng	claw	爪子	0a	爪子
#
331	Guangzhou	cloud	云	0	云
332	Suzhou	cloud	云	0	云
333	Meixian	cloud	云	0	云
334	Nanchang	cloud	云	0	云
335	Fuzhou	cloud	云	0	云
336	Ningxia	cloud	云	0	云
337	Lianchang	cloud	云	0	云
338	Ningbo	cloud	云彩	0a	云彩
339	Yingshan	cloud	云彩	0a	云彩
340	Chengdu	cloud	云彩	0a	云彩
341	Zhanping	cloud	云	0	云
342	Shanghai	cloud	云	0	云
343	Shanghai_B	cloud	云	0	云
344	Xiamen	cloud	云	0	云
345	Anyi	cloud	雲	0	云
346	Beijing	cloud	云彩	0a	云彩
347	Wenzhou	cloud	云	0	云
348	Taibei	cloud	hun13雲	0	云
349	Wuhan	cloud	云	0	云
350	Taiyuan	cloud	云[彩]	0a	云彩
351	Yuci	cloud	云彩	0a	云彩
352	Changsha	cloud	云	0	云
353	Shuangfeng	cloud	云	0	云
#
354	Guangzhou	cold	冻	3	冻
355	Guangzhou	cold	冷	1	冷
356	Suzhou	cold	冷	1	冷
357	Meixian	cold	冷	1	冷
358	Nanchang	cold	冷	1	冷
359	Fuzhou	cold	清	2	清
360	Fuzhou	cold	冻（天气）	3	冻
361	Ningxia	cold	冻	3	冻
362	Lianchang	cold	冷	1	冷
363	Ningbo	cold	冷	1	冷
364	Yingshan	cold	冷	1	冷
365	Chengdu	cold	冷	1	冷
366	Zhanping	cold	冷	1	冷
367	Zhanping	cold	寒：“冷lin3”多指食物性冷。	0	寒
368	Shanghai	cold	冷	1	冷
369	Shanghai_B	cold	冷	1	冷
370	Xiamen	cold	冷	1	冷
371	Xiamen	cold	寒	0	寒
372	Anyi	cold	冷	1	冷
373	Anyi	cold	寒	0	寒
374	Beijing	cold	冷	1	冷
375	Wenzhou	cold	冷	1	冷
376	Taibei	cold	ling53冷，kuaN13寒	1	冷
377	Wuhan	cold	冷	1	冷
378	Taiyuan	cold	冷	1	冷
379	Yuci	cold	冷	1	冷
380	Changsha	cold	冷	1	冷
381	Changsha	cold	清	2	清
382	Shuangfeng	cold	冷	1	冷
383	Shuangfeng	cold	清（很冷）	2	清
#
384	Guangzhou	come	来	0	来
385	Guangzhou	come	嚟	1	嚟
386	Suzhou	come	来	0	来
387	Meixian	come	来	0	来
388	Nanchang	come	来	0	来
389	Fuzhou	come	来	0	来
390	Ningxia	come	来	0	来
391	Lianchang	come	来	0	来
392	Ningbo	come	来	0	来
393	Yingshan	come	来	0	来
394	Chengdu	come	来	0	来
395	Zhanping	come	来	0	来
396	Shanghai	come	来	0	来
397	Shanghai_B	come	来	0	来
398	Xiamen	come	来	0	来
399	Anyi	come	来	0	来
400	Beijing	come	来	0	来
401	Wenzhou	come	来	0	来
402	Taibei	come	lai13來	0	来
403	Wuhan	come	来	0	来
404	Taiyuan	come	来	0	来
405	Yuci	come	来	0	来
406	Changsha	come	来	0	来
407	Shuangfeng	come	来	0	来
#
4128	Guangzhou	correct	口-岩	5	岩
4129	Suzhou	correct	对	1	对
4130	Meixian	correct	着	2	着
4131	Meixian	correct	口-岩	3	岩
4132	Nanchang	correct	对	1	对
4133	Fuzhou	correct	着	2	着
4134	Fuzhou	correct	毛郑	4	毛郑
4135	Ningxia	correct	对	1	对
4136	Lianchang	correct	着	2	着
4137	Ningbo	correct	对	1	对
4138	Yingshan	correct	是	0	是
4139	Chengdu	correct	对	1	对
4140	Zhanping	correct	着	2	着
4141	Shanghai	correct	对	1	对
4142	Shanghai_B	correct	对	1	对
4143	Xiamen	correct	着	2	着
4144	Anyi	correct	对	1	对
4145	Beijing	correct	对	1	对
4146	Wenzhou	correct	对	1	对
4147	Wenzhou	correct	是	0	是
4148	Taibei	correct	tioh33著	2	着
4149	Wuhan	correct	对	1	对
