ID	DOCULECT	DOCULECT_IN_SOURCE	CONCEPT	CONCEPTICON_ID	VALUE	CHARACTERS	COGIDS
3242	Shanghai_B	Shanghai_B	float	1574	漂	漂	600
3243	Xiamen	Xiamen	float	1574	浮	浮	598
3244	Anyi	Anyi	float	1574	浮	浮	598
3245	Beijing	Beijing	float	1574	漂	漂	600
3246	Wenzhou	Wenzhou	float	1574	浮[vOy2]	浮	598
3247	Wenzhou	Wenzhou	float	1574	推	推	601
3248	Taibei	Taibei	float	1574	phu13浮	浮	598
3249	Wuhan	Wuhan	float	1574	浮	漂	600
3250	Wuhan	Wuhan	float	1574	漂	浮	598
3251	Taiyuan	Taiyuan	float	1574	漂	漂	600
3252	Yuci	Yuci	float	1574	漂	漂	600
3253	Changsha	Changsha	float	1574	漂浮	漂浮	600 598
3254	Shuangfeng	Shuangfeng	float	1574	袍起*	浮起	598 596
5500	Old_Chinese	Old_Chinese	float	1574	漂	漂	600
5501	Old_Chinese	Old_Chinese	float	1574	 浮	 浮	1057 598
3255	Guangzhou	Guangzhou	flow	2003	流	流	539
3256	Suzhou	Suzhou	flow	2003	流	流	539
3257	Meixian	Meixian	flow	2003	流	流	539
3258	Nanchang	Nanchang	flow	2003	流	流	539
3259	Fuzhou	Fuzhou	flow	2003	流	流	539
3260	Ningxia	Ningxia	flow	2003	淌	淌	602
3261	Lianchang	Lianchang	flow	2003	流	流	539
3262	Ningbo	Ningbo	flow	2003	流	流	539
3263	Yingshan	Yingshan	flow	2003	流	流	539
3264	Chengdu	Chengdu	flow	2003	流	流	539
3265	Zhanping	Zhanping	flow	2003	流	流	539
3266	Shanghai	Shanghai	flow	2003	流	流	539
3267	Shanghai_B	Shanghai_B	flow	2003	流	流	539
3268	Xiamen	Xiamen	flow	2003	流	流	539
3269	Anyi	Anyi	flow	2003	流	流	539
3270	Beijing	Beijing	flow	2003	流	流	539
3271	Beijing	Beijing	flow	2003	嘀嗒（da）	A	603
3272	Wenzhou	Wenzhou	flow	2003	流	流	539
3273	Taibei	Taibei	flow	2003	lau13流	流	539
3274	Wuhan	Wuhan	flow	2003	流	流	539
3275	Taiyuan	Taiyuan	flow	2003	流	流	539
3276	Yuci	Yuci	flow	2003	流	流	539
3277	Changsha	Changsha	flow	2003	流	流	539
3278	Shuangfeng	Shuangfeng	flow	2003	流	流	539
5502	Old_Chinese	Old_Chinese	flow	2003	流	流	539
3279	Guangzhou	Guangzhou	flower	239	花	花	604
3280	Suzhou	Suzhou	flower	239	花	花	604
3281	Meixian	Meixian	flower	239	花	花	604
3282	Nanchang	Nanchang	flower	239	花	花	604
3283	Fuzhou	Fuzhou	flower	239	花	花	604
3284	Ningxia	Ningxia	flower	239	花	花	604
3285	Lianchang	Lianchang	flower	239	花	花	604
3286	Ningbo	Ningbo	flower	239	花	花	604
3287	Yingshan	Yingshan	flower	239	花	花	604
3288	Chengdu	Chengdu	flower	239	花	花	604
3289	Zhanping	Zhanping	flower	239	花	花	604
3290	Shanghai	Shanghai	flower	239	花	花	604
3291	Shanghai_B	Shanghai_B	flower	239	花	花	604
3292	Xiamen	Xiamen	flower	239	花	花	604
3293	Anyi	Anyi	flower	239	花	花	604
3294	Beijing	Beijing	flower	239	花儿	花儿	604 17
3295	Wenzhou	Wenzhou	flower	239	花	花	604
3296	Taibei	Taibei	flower	239	hue44花	花	604
3297	Wuhan	Wuhan	flower	239	花	花	604
3298	Taiyuan	Taiyuan	flower	239	花	花	604
3299	Yuci	Yuci	flower	239	花儿	花儿	604 17
3300	Changsha	Changsha	flower	239	花	花	604
3301	Shuangfeng	Shuangfeng	flower	239	花	花	604
5503	Old_Chinese	Old_Chinese	flower	239	花	花	604
735	Guangzhou	Guangzhou	fly	1441	飞	飞	123
736	Suzhou	Suzhou	fly	1441	飞	飞	123
737	Meixian	Meixian	fly	1441	飞	飞	123
738	Nanchang	Nanchang	fly	1441	飞	飞	123
739	Fuzhou	Fuzhou	fly	1441	飞	飞	123
740	Ningxia	Ningxia	fly	1441	飞	飞	123
741	Lianchang	Lianchang	fly	1441	飞	飞	123
742	Ningbo	Ningbo	fly	1441	飞	飞	123
743	Yingshan	Yingshan	fly	1441	飞	飞	123
744	Chengdu	Chengdu	fly	1441	飞	飞	123
745	Zhanping	Zhanping	fly	1441	飞	飞	123
746	Shanghai	Shanghai	fly	1441	飞	飞	123
747	Shanghai_B	Shanghai_B	fly	1441	飞	飞	123
748	Xiamen	Xiamen	fly	1441	飞	飞	123
